,activation_0,dist,id,vel
0,"[ 700.97650146   35.77181625  224.14002991  189.51651001  204.06169128
   21.78383636  501.447052     71.70101166  310.61233521   28.45136642]",24.9596977234,0,2.0
1,"[  35.77181625  224.14002991  189.51651001  204.06169128   21.78383636
  501.447052     71.70101166  310.61233521   28.45136642  493.36862183]",24.9566555023,0,2.0
2,"[  224.14002991   189.51651001   204.06169128    21.78383636   501.447052
    71.70101166   310.61233521    28.45136642   493.36862183  1567.16540527]",24.9403152466,0,2.0
3,"[  189.51651001   204.06169128    21.78383636   501.447052      71.70101166
   310.61233521    28.45136642   493.36862183  1567.16540527  1932.68530273]",24.9175834656,0,2.0
4,"[  204.06169128    21.78383636   501.447052      71.70101166   310.61233521
    28.45136642   493.36862183  1567.16540527  1932.68530273  1572.89941406]",24.8609199524,0,2.0
5,"[   21.78383636   501.447052      71.70101166   310.61233521    28.45136642
   493.36862183  1567.16540527  1932.68530273  1572.89941406  2022.12927246]",24.6522197723,0,2.0
6,"[  501.447052      71.70101166   310.61233521    28.45136642   493.36862183
  1567.16540527  1932.68530273  1572.89941406  2022.12927246   704.08673096]",24.5108375549,0,2.0
7,"[   71.70101166   310.61233521    28.45136642   493.36862183  1567.16540527
  1932.68530273  1572.89941406  2022.12927246   704.08673096   522.85101318]",24.1934776306,0,2.0
8,"[  310.61233521    28.45136642   493.36862183  1567.16540527  1932.68530273
  1572.89941406  2022.12927246   704.08673096   522.85101318   937.54907227]",24.0248432159,0,2.0
9,"[   28.45136642   493.36862183  1567.16540527  1932.68530273  1572.89941406
  2022.12927246   704.08673096   522.85101318   937.54907227   879.61315918]",23.6723060608,0,2.0
10,"[  493.36862183  1567.16540527  1932.68530273  1572.89941406  2022.12927246
   704.08673096   522.85101318   937.54907227   879.61315918   432.3572998 ]",23.4379844666,0,2.0
11,"[ 1567.16540527  1932.68530273  1572.89941406  2022.12927246   704.08673096
   522.85101318   937.54907227   879.61315918   432.3572998    400.09243774]",23.0627326965,0,2.0
12,"[ 1932.68530273  1572.89941406  2022.12927246   704.08673096   522.85101318
   937.54907227   879.61315918   432.3572998    400.09243774   227.03805542]",22.9258880615,0,2.0
13,"[ 1572.89941406  2022.12927246   704.08673096   522.85101318   937.54907227
   879.61315918   432.3572998    400.09243774   227.03805542    97.49327087]",22.7341308594,0,2.0
14,"[ 2022.12927246   704.08673096   522.85101318   937.54907227   879.61315918
   432.3572998    400.09243774   227.03805542    97.49327087  1178.35888672]",22.3465099335,0,2.0
15,"[  704.08673096   522.85101318   937.54907227   879.61315918   432.3572998
   400.09243774   227.03805542    97.49327087  1178.35888672   197.39004517]",22.0968399048,0,2.0
16,"[  522.85101318   937.54907227   879.61315918   432.3572998    400.09243774
   227.03805542    97.49327087  1178.35888672   197.39004517   582.42095947]",21.9544963837,0,2.0
17,"[  937.54907227   879.61315918   432.3572998    400.09243774   227.03805542
    97.49327087  1178.35888672   197.39004517   582.42095947   617.82904053]",21.7008743286,0,2.0
18,"[  879.61315918   432.3572998    400.09243774   227.03805542    97.49327087
  1178.35888672   197.39004517   582.42095947   617.82904053   165.78341675]",21.5564594269,0,2.0
19,"[  432.3572998    400.09243774   227.03805542    97.49327087  1178.35888672
   197.39004517   582.42095947   617.82904053   165.78341675   549.73620605]",21.3560352325,0,2.0
20,"[  400.09243774   227.03805542    97.49327087  1178.35888672   197.39004517
   582.42095947   617.82904053   165.78341675   549.73620605    13.36280727]",21.09740448,0,2.0
21,"[  227.03805542    97.49327087  1178.35888672   197.39004517   582.42095947
   617.82904053   165.78341675   549.73620605    13.36280727    47.99510193]",20.9519042969,0,2.0
