,activation_0,dist,id,vel
0,"[ 193.66242981   41.52047348   29.36877251  255.52108765  221.06636047
   93.35665894  127.26285553  106.57406616  251.92478943  478.70452881]",24.9617042542,0,2.0
1,"[  41.52047348   29.36877251  255.52108765  221.06636047   93.35665894
  127.26285553  106.57406616  251.92478943  478.70452881  118.27812195]",24.9497737885,0,2.0
2,"[  29.36877251  255.52108765  221.06636047   93.35665894  127.26285553
  106.57406616  251.92478943  478.70452881  118.27812195  503.12124634]",24.9204406738,0,2.0
3,"[  255.52108765   221.06636047    93.35665894   127.26285553   106.57406616
   251.92478943   478.70452881   118.27812195   503.12124634  1200.34179688]",24.8637924194,0,2.0
4,"[  221.06636047    93.35665894   127.26285553   106.57406616   251.92478943
   478.70452881   118.27812195   503.12124634  1200.34179688   276.27288818]",24.7723255157,0,2.0
5,"[   93.35665894   127.26285553   106.57406616   251.92478943   478.70452881
   118.27812195   503.12124634  1200.34179688   276.27288818   392.3399353 ]",24.6523113251,0,2.0
6,"[  127.26285553   106.57406616   251.92478943   478.70452881   118.27812195
   503.12124634  1200.34179688   276.27288818   392.3399353    195.07756042]",24.505279541,0,2.0
7,"[  106.57406616   251.92478943   478.70452881   118.27812195   503.12124634
  1200.34179688   276.27288818   392.3399353    195.07756042   864.07354736]",24.357339859,0,2.0
8,"[  251.92478943   478.70452881   118.27812195   503.12124634  1200.34179688
   276.27288818   392.3399353    195.07756042   864.07354736   297.4057312 ]",24.1958522797,0,2.0
9,"[  478.70452881   118.27812195   503.12124634  1200.34179688   276.27288818
   392.3399353    195.07756042   864.07354736   297.4057312   1156.10864258]",24.025396347,0,2.0
10,"[  118.27812195   503.12124634  1200.34179688   276.27288818   392.3399353
   195.07756042   864.07354736   297.4057312   1156.10864258   536.55108643]",23.8509674072,0,2.0
11,"[  503.12124634  1200.34179688   276.27288818   392.3399353    195.07756042
   864.07354736   297.4057312   1156.10864258   536.55108643   451.31869507]",23.6841964722,0,2.0
12,"[ 1200.34179688   276.27288818   392.3399353    195.07756042   864.07354736
   297.4057312   1156.10864258   536.55108643   451.31869507   669.18206787]",23.4856796265,0,2.0
13,"[  276.27288818   392.3399353    195.07756042   864.07354736   297.4057312
  1156.10864258   536.55108643   451.31869507   669.18206787   887.17364502]",23.2971668243,0,2.0
14,"[  392.3399353    195.07756042   864.07354736   297.4057312   1156.10864258
   536.55108643   451.31869507   669.18206787   887.17364502   667.37316895]",23.1068267822,0,2.0
15,"[  195.07756042   864.07354736   297.4057312   1156.10864258   536.55108643
   451.31869507   669.18206787   887.17364502   667.37316895   920.94555664]",22.9129428864,0,2.0
16,"[  864.07354736   297.4057312   1156.10864258   536.55108643   451.31869507
   669.18206787   887.17364502   667.37316895   920.94555664   836.90197754]",22.7333564758,0,2.0
17,"[  297.4057312   1156.10864258   536.55108643   451.31869507   669.18206787
   887.17364502   667.37316895   920.94555664   836.90197754   866.50543213]",22.5199222565,0,2.0
18,"[ 1156.10864258   536.55108643   451.31869507   669.18206787   887.17364502
   667.37316895   920.94555664   836.90197754   866.50543213   872.28070068]",22.3210792542,0,2.0
19,"[ 536.55108643  451.31869507  669.18206787  887.17364502  667.37316895
  920.94555664  836.90197754  866.50543213  872.28070068  763.36175537]",22.1222400665,0,2.0
20,"[ 451.31869507  669.18206787  887.17364502  667.37316895  920.94555664
  836.90197754  866.50543213  872.28070068  763.36175537  162.33651733]",21.9233932495,0,2.0
21,"[ 669.18206787  887.17364502  667.37316895  920.94555664  836.90197754
  866.50543213  872.28070068  763.36175537  162.33651733  750.23529053]",21.7366867065,0,2.0
22,"[ 887.17364502  667.37316895  920.94555664  836.90197754  866.50543213
  872.28070068  763.36175537  162.33651733  750.23529053  772.98486328]",21.5178146362,0,2.0
23,"[ 667.37316895  920.94555664  836.90197754  866.50543213  872.28070068
  763.36175537  162.33651733  750.23529053  772.98486328  830.36791992]",21.3124809265,0,2.0
24,"[ 920.94555664  836.90197754  866.50543213  872.28070068  763.36175537
  162.33651733  750.23529053  772.98486328  830.36791992  922.05407715]",21.1076717377,0,2.0
25,"[  836.90197754   866.50543213   872.28070068   763.36175537   162.33651733
   750.23529053   772.98486328   830.36791992   922.05407715  1168.8951416 ]",20.9013652802,0,2.0
26,"[  866.50543213   872.28070068   763.36175537   162.33651733   750.23529053
   772.98486328   830.36791992   922.05407715  1168.8951416    887.30932617]",20.488275528,0,2.0
27,"[  872.28070068   763.36175537   162.33651733   750.23529053   772.98486328
   830.36791992   922.05407715  1168.8951416    887.30932617   811.03570557]",20.2812786102,0,2.0
28,"[  763.36175537   162.33651733   750.23529053   772.98486328   830.36791992
   922.05407715  1168.8951416    887.30932617   811.03570557   844.96246338]",20.0731830597,0,2.0
29,"[  162.33651733   750.23529053   772.98486328   830.36791992   922.05407715
  1168.8951416    887.30932617   811.03570557   844.96246338   986.0166626 ]",19.8652935028,0,2.0
30,"[  750.23529053   772.98486328   830.36791992   922.05407715  1168.8951416
   887.30932617   811.03570557   844.96246338   986.0166626    777.89385986]",19.6734790802,0,2.0
31,"[  772.98486328   830.36791992   922.05407715  1168.8951416    887.30932617
   811.03570557   844.96246338   986.0166626    777.89385986   615.69824219]",19.4483375549,0,2.0
