,activation_0,dist,id,vel
0,"[ 118.75489044   26.12356567  330.95663452  380.91033936  426.50622559
  477.94848633   23.31014633  258.26495361   41.06489182  279.1546936 ]",24.963224411,0,2.0
1,"[  26.12356567  330.95663452  380.91033936  426.50622559  477.94848633
   23.31014633  258.26495361   41.06489182  279.1546936   492.03985596]",24.9613399506,0,2.0
2,"[ 330.95663452  380.91033936  426.50622559  477.94848633   23.31014633
  258.26495361   41.06489182  279.1546936   492.03985596  214.10368347]",24.946313858,0,2.0
3,"[  380.91033936   426.50622559   477.94848633    23.31014633   258.26495361
    41.06489182   279.1546936    492.03985596   214.10368347  2647.31445312]",24.9156570435,0,2.0
4,"[  426.50622559   477.94848633    23.31014633   258.26495361    41.06489182
   279.1546936    492.03985596   214.10368347  2647.31445312   880.28234863]",24.8512744904,0,2.0
5,"[  477.94848633    23.31014633   258.26495361    41.06489182   279.1546936
   492.03985596   214.10368347  2647.31445312   880.28234863   713.69836426]",24.7537002563,0,2.0
6,"[   23.31014633   258.26495361    41.06489182   279.1546936    492.03985596
   214.10368347  2647.31445312   880.28234863   713.69836426    12.33012295]",24.6298351288,0,2.0
7,"[  258.26495361    41.06489182   279.1546936    492.03985596   214.10368347
  2647.31445312   880.28234863   713.69836426    12.33012295  1240.34814453]",24.4872169495,0,2.0
8,"[   41.06489182   279.1546936    492.03985596   214.10368347  2647.31445312
   880.28234863   713.69836426    12.33012295  1240.34814453   781.35150146]",24.3305854797,0,2.0
9,"[  279.1546936    492.03985596   214.10368347  2647.31445312   880.28234863
   713.69836426    12.33012295  1240.34814453   781.35150146  1266.36279297]",24.1659049988,0,2.0
10,"[  492.03985596   214.10368347  2647.31445312   880.28234863   713.69836426
    12.33012295  1240.34814453   781.35150146  1266.36279297   361.97338867]",23.9934825897,0,2.0
11,"[  214.10368347  2647.31445312   880.28234863   713.69836426    12.33012295
  1240.34814453   781.35150146  1266.36279297   361.97338867   715.11859131]",23.816160202,0,2.0
12,"[ 2647.31445312   880.28234863   713.69836426    12.33012295  1240.34814453
   781.35150146  1266.36279297   361.97338867   715.11859131  1599.02124023]",23.4481182098,0,2.0
13,"[  880.28234863   713.69836426    12.33012295  1240.34814453   781.35150146
  1266.36279297   361.97338867   715.11859131  1599.02124023  1143.79211426]",23.2595481873,0,2.0
14,"[  713.69836426    12.33012295  1240.34814453   781.35150146  1266.36279297
   361.97338867   715.11859131  1599.02124023  1143.79211426  1650.89331055]",23.0681972504,0,2.0
15,"[   12.33012295  1240.34814453   781.35150146  1266.36279297   361.97338867
   715.11859131  1599.02124023  1143.79211426  1650.89331055   176.05508423]",22.8754920959,0,2.0
