,activation_0,activation_1,activation_2,dist,id,vel
0,"[  657.76843262   657.76843262   251.95329285   251.95329285   251.95329285
  1522.18383789  1522.18383789  1106.30554199  1106.30554199   330.72418213]","[ 75.70431519  75.70431519  33.51947784  33.51947784  33.51947784
  49.68774033  49.68774033  68.70256042  68.70256042   3.39594579]","[ 507.63571167  507.63571167   56.30896378   56.30896378   56.30896378
   96.47220612   96.47220612  544.83276367  544.83276367  315.11422729]",24.9506931305,0,2.0
1,"[  657.76843262   251.95329285   251.95329285   251.95329285  1522.18383789
  1522.18383789  1106.30554199  1106.30554199   330.72418213   330.72418213]","[ 75.70431519  33.51947784  33.51947784  33.51947784  49.68774033
  49.68774033  68.70256042  68.70256042   3.39594579   3.39594579]","[ 507.63571167   56.30896378   56.30896378   56.30896378   96.47220612
   96.47220612  544.83276367  544.83276367  315.11422729  315.11422729]",24.9505023956,0,2.0
2,"[  251.95329285   251.95329285   251.95329285  1522.18383789  1522.18383789
  1106.30554199  1106.30554199   330.72418213   330.72418213   330.72418213]","[ 33.51947784  33.51947784  33.51947784  49.68774033  49.68774033
  68.70256042  68.70256042   3.39594579   3.39594579   3.39594579]","[  56.30896378   56.30896378   56.30896378   96.47220612   96.47220612
  544.83276367  544.83276367  315.11422729  315.11422729  315.11422729]",24.9505958557,0,2.0
3,"[  251.95329285   251.95329285  1522.18383789  1522.18383789  1106.30554199
  1106.30554199   330.72418213   330.72418213   330.72418213   149.929245  ]","[ 33.51947784  33.51947784  49.68774033  49.68774033  68.70256042
  68.70256042   3.39594579   3.39594579   3.39594579  39.77003479]","[   56.30896378    56.30896378    96.47220612    96.47220612   544.83276367
   544.83276367   315.11422729   315.11422729   315.11422729  1637.22192383]",24.9436645508,0,2.0
4,"[  251.95329285  1522.18383789  1522.18383789  1106.30554199  1106.30554199
   330.72418213   330.72418213   330.72418213   149.929245     149.929245  ]","[ 33.51947784  49.68774033  49.68774033  68.70256042  68.70256042
   3.39594579   3.39594579   3.39594579  39.77003479  39.77003479]","[   56.30896378    96.47220612    96.47220612   544.83276367   544.83276367
   315.11422729   315.11422729   315.11422729  1637.22192383  1637.22192383]",24.9371452332,0,2.0
5,"[ 1522.18383789  1522.18383789  1106.30554199  1106.30554199   330.72418213
   330.72418213   330.72418213   149.929245     149.929245     854.32958984]","[ 49.68774033  49.68774033  68.70256042  68.70256042   3.39594579
   3.39594579   3.39594579  39.77003479  39.77003479  20.69926643]","[   96.47220612    96.47220612   544.83276367   544.83276367   315.11422729
   315.11422729   315.11422729  1637.22192383  1637.22192383  1368.88098145]",24.9224567413,0,2.0
6,"[ 1522.18383789  1106.30554199  1106.30554199   330.72418213   330.72418213
   330.72418213   149.929245     149.929245     854.32958984   854.32958984]","[ 49.68774033  68.70256042  68.70256042   3.39594579   3.39594579
   3.39594579  39.77003479  39.77003479  20.69926643  20.69926643]","[   96.47220612   544.83276367   544.83276367   315.11422729   315.11422729
   315.11422729  1637.22192383  1637.22192383  1368.88098145  1368.88098145]",24.9095573425,0,2.0
7,"[ 1106.30554199  1106.30554199   330.72418213   330.72418213   330.72418213
   149.929245     149.929245     854.32958984   854.32958984  1808.38659668]","[  68.70256042   68.70256042    3.39594579    3.39594579    3.39594579
   39.77003479   39.77003479   20.69926643   20.69926643  319.71105957]","[  544.83276367   544.83276367   315.11422729   315.11422729   315.11422729
  1637.22192383  1637.22192383  1368.88098145  1368.88098145  2521.65698242]",24.8960227966,0,2.0
8,"[ 1106.30554199   330.72418213   330.72418213   330.72418213   149.929245
   149.929245     854.32958984   854.32958984  1808.38659668  1808.38659668]","[  68.70256042    3.39594579    3.39594579    3.39594579   39.77003479
   39.77003479   20.69926643   20.69926643  319.71105957  319.71105957]","[  544.83276367   315.11422729   315.11422729   315.11422729  1637.22192383
  1637.22192383  1368.88098145  1368.88098145  2521.65698242  2521.65698242]",24.8810863495,0,2.0
9,"[  330.72418213   330.72418213   330.72418213   149.929245     149.929245
   854.32958984   854.32958984  1808.38659668  1808.38659668  1808.38659668]","[   3.39594579    3.39594579    3.39594579   39.77003479   39.77003479
   20.69926643   20.69926643  319.71105957  319.71105957  319.71105957]","[  315.11422729   315.11422729   315.11422729  1637.22192383  1637.22192383
  1368.88098145  1368.88098145  2521.65698242  2521.65698242  2521.65698242]",24.8549613953,0,2.0
10,"[  330.72418213   330.72418213   149.929245     149.929245     854.32958984
   854.32958984  1808.38659668  1808.38659668  1808.38659668  4021.41967773]","[   3.39594579    3.39594579   39.77003479   39.77003479   20.69926643
   20.69926643  319.71105957  319.71105957  319.71105957   73.3966217 ]","[  315.11422729   315.11422729  1637.22192383  1637.22192383  1368.88098145
  1368.88098145  2521.65698242  2521.65698242  2521.65698242  1589.67712402]",24.805103302,0,2.0
11,"[  330.72418213   149.929245     149.929245     854.32958984   854.32958984
  1808.38659668  1808.38659668  1808.38659668  4021.41967773  4021.41967773]","[   3.39594579   39.77003479   39.77003479   20.69926643   20.69926643
  319.71105957  319.71105957  319.71105957   73.3966217    73.3966217 ]","[  315.11422729  1637.22192383  1637.22192383  1368.88098145  1368.88098145
  2521.65698242  2521.65698242  2521.65698242  1589.67712402  1589.67712402]",24.7657737732,0,2.0
12,"[  149.929245     149.929245     854.32958984   854.32958984  1808.38659668
  1808.38659668  1808.38659668  4021.41967773  4021.41967773   877.8861084 ]","[  39.77003479   39.77003479   20.69926643   20.69926643  319.71105957
  319.71105957  319.71105957   73.3966217    73.3966217    93.83481598]","[ 1637.22192383  1637.22192383  1368.88098145  1368.88098145  2521.65698242
  2521.65698242  2521.65698242  1589.67712402  1589.67712402  4347.13037109]",24.6952667236,0,2.0
13,"[  149.929245     854.32958984   854.32958984  1808.38659668  1808.38659668
  1808.38659668  4021.41967773  4021.41967773   877.8861084    877.8861084 ]","[  39.77003479   20.69926643   20.69926643  319.71105957  319.71105957
  319.71105957   73.3966217    73.3966217    93.83481598   93.83481598]","[ 1637.22192383  1368.88098145  1368.88098145  2521.65698242  2521.65698242
  2521.65698242  1589.67712402  1589.67712402  4347.13037109  4347.13037109]",24.6436252594,0,2.0
14,"[  854.32958984   854.32958984  1808.38659668  1808.38659668  1808.38659668
  4021.41967773  4021.41967773   877.8861084    877.8861084   7985.48242188]","[  20.69926643   20.69926643  319.71105957  319.71105957  319.71105957
   73.3966217    73.3966217    93.83481598   93.83481598  244.74777222]","[ 1368.88098145  1368.88098145  2521.65698242  2521.65698242  2521.65698242
  1589.67712402  1589.67712402  4347.13037109  4347.13037109  8250.03320312]",24.6000556946,0,2.0
15,"[  854.32958984  1808.38659668  1808.38659668  1808.38659668  4021.41967773
  4021.41967773   877.8861084    877.8861084   7985.48242188  7985.48242188]","[  20.69926643  319.71105957  319.71105957  319.71105957   73.3966217
   73.3966217    93.83481598   93.83481598  244.74777222  244.74777222]","[ 1368.88098145  2521.65698242  2521.65698242  2521.65698242  1589.67712402
  1589.67712402  4347.13037109  4347.13037109  8250.03320312  8250.03320312]",24.5015926361,0,2.0
16,"[ 1808.38659668  1808.38659668  1808.38659668  4021.41967773  4021.41967773
   877.8861084    877.8861084   7985.48242188  7985.48242188  3628.30029297]","[ 319.71105957  319.71105957  319.71105957   73.3966217    73.3966217
   93.83481598   93.83481598  244.74777222  244.74777222  580.36846924]","[ 2521.65698242  2521.65698242  2521.65698242  1589.67712402  1589.67712402
  4347.13037109  4347.13037109  8250.03320312  8250.03320312  4847.24072266]",24.4526157379,0,2.0
17,"[ 1808.38659668  1808.38659668  4021.41967773  4021.41967773   877.8861084
   877.8861084   7985.48242188  7985.48242188  3628.30029297  3628.30029297]","[ 319.71105957  319.71105957   73.3966217    73.3966217    93.83481598
   93.83481598  244.74777222  244.74777222  580.36846924  580.36846924]","[ 2521.65698242  2521.65698242  1589.67712402  1589.67712402  4347.13037109
  4347.13037109  8250.03320312  8250.03320312  4847.24072266  4847.24072266]",24.4084148407,0,2.0
18,"[ 1808.38659668  4021.41967773  4021.41967773   877.8861084    877.8861084
  7985.48242188  7985.48242188  3628.30029297  3628.30029297  3628.30029297]","[ 319.71105957   73.3966217    73.3966217    93.83481598   93.83481598
  244.74777222  244.74777222  580.36846924  580.36846924  580.36846924]","[ 2521.65698242  1589.67712402  1589.67712402  4347.13037109  4347.13037109
  8250.03320312  8250.03320312  4847.24072266  4847.24072266  4847.24072266]",24.3443222046,0,2.0
19,"[ 4021.41967773  4021.41967773   877.8861084    877.8861084   7985.48242188
  7985.48242188  3628.30029297  3628.30029297  3628.30029297  2795.98999023]","[  73.3966217    73.3966217    93.83481598   93.83481598  244.74777222
  244.74777222  580.36846924  580.36846924  580.36846924   67.23665619]","[ 1589.67712402  1589.67712402  4347.13037109  4347.13037109  8250.03320312
  8250.03320312  4847.24072266  4847.24072266  4847.24072266  8856.390625  ]",24.2461071014,0,2.0
20,"[ 4021.41967773   877.8861084    877.8861084   7985.48242188  7985.48242188
  3628.30029297  3628.30029297  3628.30029297  2795.98999023  2795.98999023]","[  73.3966217    93.83481598   93.83481598  244.74777222  244.74777222
  580.36846924  580.36846924  580.36846924   67.23665619   67.23665619]","[ 1589.67712402  4347.13037109  4347.13037109  8250.03320312  8250.03320312
  4847.24072266  4847.24072266  4847.24072266  8856.390625    8856.390625  ]",24.1794185638,0,2.0
21,"[  877.8861084    877.8861084   7985.48242188  7985.48242188  3628.30029297
  3628.30029297  3628.30029297  2795.98999023  2795.98999023  3703.08447266]","[  93.83481598   93.83481598  244.74777222  244.74777222  580.36846924
  580.36846924  580.36846924   67.23665619   67.23665619  252.49981689]","[ 4347.13037109  4347.13037109  8250.03320312  8250.03320312  4847.24072266
  4847.24072266  4847.24072266  8856.390625    8856.390625    1069.34765625]",24.125246048,0,2.0
22,"[  877.8861084   7985.48242188  7985.48242188  3628.30029297  3628.30029297
  3628.30029297  2795.98999023  2795.98999023  3703.08447266  3703.08447266]","[  93.83481598  244.74777222  244.74777222  580.36846924  580.36846924
  580.36846924   67.23665619   67.23665619  252.49981689  252.49981689]","[ 4347.13037109  8250.03320312  8250.03320312  4847.24072266  4847.24072266
  4847.24072266  8856.390625    8856.390625    1069.34765625  1069.34765625]",24.007019043,0,2.0
23,"[ 7985.48242188  7985.48242188  3628.30029297  3628.30029297  3628.30029297
  2795.98999023  2795.98999023  3703.08447266  3703.08447266  1951.85742188]","[ 244.74777222  244.74777222  580.36846924  580.36846924  580.36846924
   67.23665619   67.23665619  252.49981689  252.49981689  263.94000244]","[ 8250.03320312  8250.03320312  4847.24072266  4847.24072266  4847.24072266
  8856.390625    8856.390625    1069.34765625  1069.34765625   704.11206055]",23.9509983063,0,2.0
24,"[ 7985.48242188  3628.30029297  3628.30029297  3628.30029297  2795.98999023
  2795.98999023  3703.08447266  3703.08447266  1951.85742188  1951.85742188]","[ 244.74777222  580.36846924  580.36846924  580.36846924   67.23665619
   67.23665619  252.49981689  252.49981689  263.94000244  263.94000244]","[ 8250.03320312  4847.24072266  4847.24072266  4847.24072266  8856.390625
  8856.390625    1069.34765625  1069.34765625   704.11206055   704.11206055]",23.901512146,0,2.0
25,"[ 3628.30029297  3628.30029297  3628.30029297  2795.98999023  2795.98999023
  3703.08447266  3703.08447266  1951.85742188  1951.85742188  1951.85742188]","[ 580.36846924  580.36846924  580.36846924   67.23665619   67.23665619
  252.49981689  252.49981689  263.94000244  263.94000244  263.94000244]","[ 4847.24072266  4847.24072266  4847.24072266  8856.390625    8856.390625
  1069.34765625  1069.34765625   704.11206055   704.11206055   704.11206055]",23.830493927,0,2.0
