,activation_0,activation_1,activation_2,dist,id,vel
0,"[  307.51507568   499.94659424   499.94659424   965.8704834    965.8704834
   965.8704834    980.7734375    980.7734375    980.7734375   1720.37133789]","[ 10.08119965  30.96246529  30.96246529   4.79725504   4.79725504
   4.79725504  43.77801132  43.77801132  43.77801132  72.27006531]","[ 653.62072754  213.84672546  213.84672546   81.87229919   81.87229919
   81.87229919  546.39544678  546.39544678  546.39544678  449.3269043 ]",24.9439983368,0,2.0
1,"[  499.94659424   499.94659424   965.8704834    965.8704834    965.8704834
   980.7734375    980.7734375    980.7734375   1720.37133789  1720.37133789]","[ 30.96246529  30.96246529   4.79725504   4.79725504   4.79725504
  43.77801132  43.77801132  43.77801132  72.27006531  72.27006531]","[ 213.84672546  213.84672546   81.87229919   81.87229919   81.87229919
  546.39544678  546.39544678  546.39544678  449.3269043   449.3269043 ]",24.9439640045,0,2.0
2,"[  499.94659424   965.8704834    965.8704834    965.8704834    980.7734375
   980.7734375    980.7734375   1720.37133789  1720.37133789  1361.6998291 ]","[ 30.96246529   4.79725504   4.79725504   4.79725504  43.77801132
  43.77801132  43.77801132  72.27006531  72.27006531  68.61521149]","[ 213.84672546   81.87229919   81.87229919   81.87229919  546.39544678
  546.39544678  546.39544678  449.3269043   449.3269043   240.87698364]",24.941619873,0,2.0
3,"[  965.8704834    965.8704834    965.8704834    980.7734375    980.7734375
   980.7734375   1720.37133789  1720.37133789  1361.6998291   1361.6998291 ]","[  4.79725504   4.79725504   4.79725504  43.77801132  43.77801132
  43.77801132  72.27006531  72.27006531  68.61521149  68.61521149]","[  81.87229919   81.87229919   81.87229919  546.39544678  546.39544678
  546.39544678  449.3269043   449.3269043   240.87698364  240.87698364]",24.937122345,0,2.0
4,"[  965.8704834    965.8704834    980.7734375    980.7734375    980.7734375
  1720.37133789  1720.37133789  1361.6998291   1361.6998291   1361.6998291 ]","[  4.79725504   4.79725504  43.77801132  43.77801132  43.77801132
  72.27006531  72.27006531  68.61521149  68.61521149  68.61521149]","[  81.87229919   81.87229919  546.39544678  546.39544678  546.39544678
  449.3269043   449.3269043   240.87698364  240.87698364  240.87698364]",24.9307003021,0,2.0
5,"[  965.8704834    980.7734375    980.7734375    980.7734375   1720.37133789
  1720.37133789  1361.6998291   1361.6998291   1361.6998291   1190.04333496]","[  4.79725504  43.77801132  43.77801132  43.77801132  72.27006531
  72.27006531  68.61521149  68.61521149  68.61521149  44.47385406]","[  81.87229919  546.39544678  546.39544678  546.39544678  449.3269043
  449.3269043   240.87698364  240.87698364  240.87698364  521.48120117]",24.9237270355,0,2.0
6,"[  980.7734375    980.7734375    980.7734375   1720.37133789  1720.37133789
  1361.6998291   1361.6998291   1361.6998291   1190.04333496  1190.04333496]","[ 43.77801132  43.77801132  43.77801132  72.27006531  72.27006531
  68.61521149  68.61521149  68.61521149  44.47385406  44.47385406]","[ 546.39544678  546.39544678  546.39544678  449.3269043   449.3269043
  240.87698364  240.87698364  240.87698364  521.48120117  521.48120117]",24.9160366058,0,2.0
7,"[  980.7734375    980.7734375   1720.37133789  1720.37133789  1361.6998291
  1361.6998291   1361.6998291   1190.04333496  1190.04333496  1190.04333496]","[ 43.77801132  43.77801132  72.27006531  72.27006531  68.61521149
  68.61521149  68.61521149  44.47385406  44.47385406  44.47385406]","[ 546.39544678  546.39544678  449.3269043   449.3269043   240.87698364
  240.87698364  240.87698364  521.48120117  521.48120117  521.48120117]",24.903137207,0,2.0
8,"[  980.7734375   1720.37133789  1720.37133789  1361.6998291   1361.6998291
  1361.6998291   1190.04333496  1190.04333496  1190.04333496  3633.48535156]","[ 43.77801132  72.27006531  72.27006531  68.61521149  68.61521149
  68.61521149  44.47385406  44.47385406  44.47385406  23.7226181 ]","[ 546.39544678  449.3269043   449.3269043   240.87698364  240.87698364
  240.87698364  521.48120117  521.48120117  521.48120117  755.67755127]",24.8895530701,0,2.0
9,"[ 1720.37133789  1720.37133789  1361.6998291   1361.6998291   1361.6998291
  1190.04333496  1190.04333496  1190.04333496  3633.48535156  3633.48535156]","[ 72.27006531  72.27006531  68.61521149  68.61521149  68.61521149
  44.47385406  44.47385406  44.47385406  23.7226181   23.7226181 ]","[ 449.3269043   449.3269043   240.87698364  240.87698364  240.87698364
  521.48120117  521.48120117  521.48120117  755.67755127  755.67755127]",24.8485851288,0,2.0
