,activation_0,activation_1,activation_2,dist,id,vel
0,"[ 145.51187134  145.51187134  145.51187134  145.51187134  145.51187134
  325.72277832  325.72277832  325.72277832  826.09460449  826.09460449]","[ 10.20767498  10.20767498  10.20767498  10.20767498  10.20767498
  14.10982323  14.10982323  14.10982323  21.73703575  21.73703575]","[ 383.65731812  383.65731812  383.65731812  383.65731812  383.65731812
  366.32821655  366.32821655  366.32821655  215.35488892  215.35488892]",24.9743652344,0,2.0
1,"[ 145.51187134  145.51187134  145.51187134  145.51187134  325.72277832
  325.72277832  325.72277832  826.09460449  826.09460449   57.25696182]","[ 10.20767498  10.20767498  10.20767498  10.20767498  14.10982323
  14.10982323  14.10982323  21.73703575  21.73703575  10.31401634]","[ 383.65731812  383.65731812  383.65731812  383.65731812  366.32821655
  366.32821655  366.32821655  215.35488892  215.35488892  647.67578125]",24.974111557,0,2.0
2,"[ 145.51187134  145.51187134  145.51187134  325.72277832  325.72277832
  325.72277832  826.09460449  826.09460449   57.25696182   57.25696182]","[ 10.20767498  10.20767498  10.20767498  14.10982323  14.10982323
  14.10982323  21.73703575  21.73703575  10.31401634  10.31401634]","[ 383.65731812  383.65731812  383.65731812  366.32821655  366.32821655
  366.32821655  215.35488892  215.35488892  647.67578125  647.67578125]",24.9734172821,0,2.0
3,"[ 145.51187134  145.51187134  325.72277832  325.72277832  325.72277832
  826.09460449  826.09460449   57.25696182   57.25696182   57.25696182]","[ 10.20767498  10.20767498  14.10982323  14.10982323  14.10982323
  21.73703575  21.73703575  10.31401634  10.31401634  10.31401634]","[ 383.65731812  383.65731812  366.32821655  366.32821655  366.32821655
  215.35488892  215.35488892  647.67578125  647.67578125  647.67578125]",24.971622467,0,2.0
4,"[ 145.51187134  325.72277832  325.72277832  325.72277832  826.09460449
  826.09460449   57.25696182   57.25696182   57.25696182  794.63293457]","[  10.20767498   14.10982323   14.10982323   14.10982323   21.73703575
   21.73703575   10.31401634   10.31401634   10.31401634  926.54571533]","[  383.65731812   366.32821655   366.32821655   366.32821655   215.35488892
   215.35488892   647.67578125   647.67578125   647.67578125  1465.12927246]",24.9674301147,0,2.0
5,"[ 325.72277832  325.72277832  325.72277832  826.09460449  826.09460449
   57.25696182   57.25696182   57.25696182  794.63293457  794.63293457]","[  14.10982323   14.10982323   14.10982323   21.73703575   21.73703575
   10.31401634   10.31401634   10.31401634  926.54571533  926.54571533]","[  366.32821655   366.32821655   366.32821655   215.35488892   215.35488892
   647.67578125   647.67578125   647.67578125  1465.12927246  1465.12927246]",24.9553718567,0,2.0
6,"[ 325.72277832  325.72277832  826.09460449  826.09460449   57.25696182
   57.25696182   57.25696182  794.63293457  794.63293457  291.16015625]","[  14.10982323   14.10982323   21.73703575   21.73703575   10.31401634
   10.31401634   10.31401634  926.54571533  926.54571533  183.864151  ]","[  366.32821655   366.32821655   215.35488892   215.35488892   647.67578125
   647.67578125   647.67578125  1465.12927246  1465.12927246  3122.4753418 ]",24.9483413696,0,2.0
7,"[ 325.72277832  826.09460449  826.09460449   57.25696182   57.25696182
   57.25696182  794.63293457  794.63293457  291.16015625  291.16015625]","[  14.10982323   21.73703575   21.73703575   10.31401634   10.31401634
   10.31401634  926.54571533  926.54571533  183.864151    183.864151  ]","[  366.32821655   215.35488892   215.35488892   647.67578125   647.67578125
   647.67578125  1465.12927246  1465.12927246  3122.4753418   3122.4753418 ]",24.9355049133,0,2.0
8,"[ 826.09460449  826.09460449   57.25696182   57.25696182   57.25696182
  794.63293457  794.63293457  291.16015625  291.16015625  291.16015625]","[  21.73703575   21.73703575   10.31401634   10.31401634   10.31401634
  926.54571533  926.54571533  183.864151    183.864151    183.864151  ]","[  215.35488892   215.35488892   647.67578125   647.67578125   647.67578125
  1465.12927246  1465.12927246  3122.4753418   3122.4753418   3122.4753418 ]",24.922624588,0,2.0
9,"[  826.09460449    57.25696182    57.25696182    57.25696182   794.63293457
   794.63293457   291.16015625   291.16015625   291.16015625  1862.19519043]","[  21.73703575   10.31401634   10.31401634   10.31401634  926.54571533
  926.54571533  183.864151    183.864151    183.864151    430.18002319]","[  215.35488892   647.67578125   647.67578125   647.67578125  1465.12927246
  1465.12927246  3122.4753418   3122.4753418   3122.4753418   2970.83447266]",24.9084148407,0,2.0
10,"[   57.25696182    57.25696182    57.25696182   794.63293457   794.63293457
   291.16015625   291.16015625   291.16015625  1862.19519043  1862.19519043]","[  10.31401634   10.31401634   10.31401634  926.54571533  926.54571533
  183.864151    183.864151    183.864151    430.18002319  430.18002319]","[  647.67578125   647.67578125   647.67578125  1465.12927246  1465.12927246
  3122.4753418   3122.4753418   3122.4753418   2970.83447266  2970.83447266]",24.8591365814,0,2.0
11,"[   57.25696182    57.25696182   794.63293457   794.63293457   291.16015625
   291.16015625   291.16015625  1862.19519043  1862.19519043  2331.39306641]","[  10.31401634   10.31401634  926.54571533  926.54571533  183.864151
  183.864151    183.864151    430.18002319  430.18002319  657.03643799]","[  647.67578125   647.67578125  1465.12927246  1465.12927246  3122.4753418
  3122.4753418   3122.4753418   2970.83447266  2970.83447266   627.25445557]",24.8349456787,0,2.0
12,"[   57.25696182   794.63293457   794.63293457   291.16015625   291.16015625
   291.16015625  1862.19519043  1862.19519043  2331.39306641  2331.39306641]","[  10.31401634  926.54571533  926.54571533  183.864151    183.864151
  183.864151    430.18002319  430.18002319  657.03643799  657.03643799]","[  647.67578125  1465.12927246  1465.12927246  3122.4753418   3122.4753418
  3122.4753418   2970.83447266  2970.83447266   627.25445557   627.25445557]",24.7959041595,0,2.0
