,activation_0,activation_1,activation_2,dist,id,vel
0,"[  467.87081909   467.87081909  1627.79675293  1627.79675293  1627.79675293
  1627.79675293  1627.79675293   880.22296143   880.22296143   880.22296143]","[  70.28224945   70.28224945  231.64530945  231.64530945  231.64530945
  231.64530945  231.64530945  232.30140686  232.30140686  232.30140686]","[  309.51660156   309.51660156   136.33857727   136.33857727   136.33857727
   136.33857727   136.33857727  1170.10144043  1170.10144043  1170.10144043]",24.9490089417,0,2.0
1,"[  467.87081909  1627.79675293  1627.79675293  1627.79675293  1627.79675293
  1627.79675293   880.22296143   880.22296143   880.22296143   880.22296143]","[  70.28224945  231.64530945  231.64530945  231.64530945  231.64530945
  231.64530945  232.30140686  232.30140686  232.30140686  232.30140686]","[  309.51660156   136.33857727   136.33857727   136.33857727   136.33857727
   136.33857727  1170.10144043  1170.10144043  1170.10144043  1170.10144043]",24.9498538971,0,2.0
2,"[ 1627.79675293  1627.79675293  1627.79675293  1627.79675293  1627.79675293
   880.22296143   880.22296143   880.22296143   880.22296143   880.22296143]","[ 231.64530945  231.64530945  231.64530945  231.64530945  231.64530945
  232.30140686  232.30140686  232.30140686  232.30140686  232.30140686]","[  136.33857727   136.33857727   136.33857727   136.33857727   136.33857727
  1170.10144043  1170.10144043  1170.10144043  1170.10144043  1170.10144043]",24.9505672455,0,2.0
3,"[ 1627.79675293  1627.79675293  1627.79675293  1627.79675293   880.22296143
   880.22296143   880.22296143   880.22296143   880.22296143   880.22296143]","[ 231.64530945  231.64530945  231.64530945  231.64530945  232.30140686
  232.30140686  232.30140686  232.30140686  232.30140686  232.30140686]","[  136.33857727   136.33857727   136.33857727   136.33857727  1170.10144043
  1170.10144043  1170.10144043  1170.10144043  1170.10144043  1170.10144043]",24.9505805969,0,2.0
4,"[ 1627.79675293  1627.79675293  1627.79675293   880.22296143   880.22296143
   880.22296143   880.22296143   880.22296143   880.22296143   634.99493408]","[ 231.64530945  231.64530945  231.64530945  232.30140686  232.30140686
  232.30140686  232.30140686  232.30140686  232.30140686  323.63729858]","[  136.33857727   136.33857727   136.33857727  1170.10144043  1170.10144043
  1170.10144043  1170.10144043  1170.10144043  1170.10144043   205.05119324]",24.9436264038,0,2.0
5,"[ 1627.79675293  1627.79675293   880.22296143   880.22296143   880.22296143
   880.22296143   880.22296143   880.22296143   634.99493408   634.99493408]","[ 231.64530945  231.64530945  232.30140686  232.30140686  232.30140686
  232.30140686  232.30140686  232.30140686  323.63729858  323.63729858]","[  136.33857727   136.33857727  1170.10144043  1170.10144043  1170.10144043
  1170.10144043  1170.10144043  1170.10144043   205.05119324   205.05119324]",24.9364089966,0,2.0
6,"[ 1627.79675293   880.22296143   880.22296143   880.22296143   880.22296143
   880.22296143   880.22296143   634.99493408   634.99493408   679.31616211]","[ 231.64530945  232.30140686  232.30140686  232.30140686  232.30140686
  232.30140686  232.30140686  323.63729858  323.63729858  234.65499878]","[  136.33857727  1170.10144043  1170.10144043  1170.10144043  1170.10144043
  1170.10144043  1170.10144043   205.05119324   205.05119324  3293.86962891]",24.9285526276,0,2.0
7,"[ 880.22296143  880.22296143  880.22296143  880.22296143  880.22296143
  880.22296143  634.99493408  634.99493408  679.31616211  679.31616211]","[ 232.30140686  232.30140686  232.30140686  232.30140686  232.30140686
  232.30140686  323.63729858  323.63729858  234.65499878  234.65499878]","[ 1170.10144043  1170.10144043  1170.10144043  1170.10144043  1170.10144043
  1170.10144043   205.05119324   205.05119324  3293.86962891  3293.86962891]",24.9203147888,0,2.0
8,"[ 880.22296143  880.22296143  880.22296143  880.22296143  880.22296143
  634.99493408  634.99493408  679.31616211  679.31616211  679.31616211]","[ 232.30140686  232.30140686  232.30140686  232.30140686  232.30140686
  323.63729858  323.63729858  234.65499878  234.65499878  234.65499878]","[ 1170.10144043  1170.10144043  1170.10144043  1170.10144043  1170.10144043
   205.05119324   205.05119324  3293.86962891  3293.86962891  3293.86962891]",24.9055347443,0,2.0
9,"[  880.22296143   880.22296143   880.22296143   880.22296143   634.99493408
   634.99493408   679.31616211   679.31616211   679.31616211  2893.73071289]","[ 232.30140686  232.30140686  232.30140686  232.30140686  323.63729858
  323.63729858  234.65499878  234.65499878  234.65499878    1.52601004]","[ 1170.10144043  1170.10144043  1170.10144043  1170.10144043   205.05119324
   205.05119324  3293.86962891  3293.86962891  3293.86962891  4190.58837891]",24.8899497986,0,2.0
