,activation_0,activation_1,activation_2,dist,id,vel
0,"[ 377.29275513  377.29275513   49.39134216   49.39134216   49.39134216
  581.61865234  581.61865234   73.45411682   73.45411682   73.45411682]","[ 121.20888519  121.20888519   24.97826004   24.97826004   24.97826004
   46.62155533   46.62155533   28.68033791   28.68033791   28.68033791]","[ 105.41564178  105.41564178   39.77416229   39.77416229   39.77416229
   25.98442841   25.98442841  212.2537384   212.2537384   212.2537384 ]",24.9901351929,0,2.0
1,"[ 377.29275513   49.39134216   49.39134216   49.39134216  581.61865234
  581.61865234   73.45411682   73.45411682   73.45411682  818.63897705]","[ 121.20888519   24.97826004   24.97826004   24.97826004   46.62155533
   46.62155533   28.68033791   28.68033791   28.68033791   19.05496788]","[ 105.41564178   39.77416229   39.77416229   39.77416229   25.98442841
   25.98442841  212.2537384   212.2537384   212.2537384    23.3999157 ]",24.9899177551,0,2.0
2,"[  49.39134216   49.39134216   49.39134216  581.61865234  581.61865234
   73.45411682   73.45411682   73.45411682  818.63897705  818.63897705]","[ 24.97826004  24.97826004  24.97826004  46.62155533  46.62155533
  28.68033791  28.68033791  28.68033791  19.05496788  19.05496788]","[  39.77416229   39.77416229   39.77416229   25.98442841   25.98442841
  212.2537384   212.2537384   212.2537384    23.3999157    23.3999157 ]",24.9898071289,0,2.0
3,"[  49.39134216   49.39134216  581.61865234  581.61865234   73.45411682
   73.45411682   73.45411682  818.63897705  818.63897705  179.35958862]","[ 24.97826004  24.97826004  46.62155533  46.62155533  28.68033791
  28.68033791  28.68033791  19.05496788  19.05496788  73.63228607]","[  39.77416229   39.77416229   25.98442841   25.98442841  212.2537384
  212.2537384   212.2537384    23.3999157    23.3999157   382.12332153]",24.9883766174,0,2.0
4,"[  49.39134216  581.61865234  581.61865234   73.45411682   73.45411682
   73.45411682  818.63897705  818.63897705  179.35958862  179.35958862]","[ 24.97826004  46.62155533  46.62155533  28.68033791  28.68033791
  28.68033791  19.05496788  19.05496788  73.63228607  73.63228607]","[  39.77416229   25.98442841   25.98442841  212.2537384   212.2537384
  212.2537384    23.3999157    23.3999157   382.12332153  382.12332153]",24.9802761078,0,2.0
5,"[ 581.61865234  581.61865234   73.45411682   73.45411682   73.45411682
  818.63897705  818.63897705  179.35958862  179.35958862  179.35958862]","[ 46.62155533  46.62155533  28.68033791  28.68033791  28.68033791
  19.05496788  19.05496788  73.63228607  73.63228607  73.63228607]","[  25.98442841   25.98442841  212.2537384   212.2537384   212.2537384
   23.3999157    23.3999157   382.12332153  382.12332153  382.12332153]",24.9731292725,0,2.0
6,"[  581.61865234    73.45411682    73.45411682    73.45411682   818.63897705
   818.63897705   179.35958862   179.35958862   179.35958862  1432.77001953]","[  46.62155533   28.68033791   28.68033791   28.68033791   19.05496788
   19.05496788   73.63228607   73.63228607   73.63228607  219.64405823]","[   25.98442841   212.2537384    212.2537384    212.2537384     23.3999157
    23.3999157    382.12332153   382.12332153   382.12332153  1383.10302734]",24.9650859833,0,2.0
7,"[   73.45411682    73.45411682    73.45411682   818.63897705   818.63897705
   179.35958862   179.35958862   179.35958862  1432.77001953  1432.77001953]","[  28.68033791   28.68033791   28.68033791   19.05496788   19.05496788
   73.63228607   73.63228607   73.63228607  219.64405823  219.64405823]","[  212.2537384    212.2537384    212.2537384     23.3999157     23.3999157
   382.12332153   382.12332153   382.12332153  1383.10302734  1383.10302734]",24.9568729401,0,2.0
8,"[   73.45411682    73.45411682   818.63897705   818.63897705   179.35958862
   179.35958862   179.35958862  1432.77001953  1432.77001953   706.08599854]","[  28.68033791   28.68033791   19.05496788   19.05496788   73.63228607
   73.63228607   73.63228607  219.64405823  219.64405823  712.25561523]","[  212.2537384    212.2537384     23.3999157     23.3999157    382.12332153
   382.12332153   382.12332153  1383.10302734  1383.10302734  5121.9296875 ]",24.9452285767,0,2.0
9,"[   73.45411682   818.63897705   818.63897705   179.35958862   179.35958862
   179.35958862  1432.77001953  1432.77001953   706.08599854   706.08599854]","[  28.68033791   19.05496788   19.05496788   73.63228607   73.63228607
   73.63228607  219.64405823  219.64405823  712.25561523  712.25561523]","[  212.2537384     23.3999157     23.3999157    382.12332153   382.12332153
   382.12332153  1383.10302734  1383.10302734  5121.9296875   5121.9296875 ]",24.9258499146,0,2.0
