,activation_0,activation_1,activation_2,dist,id,vel
0,"[ 1125.43249512  1125.43249512  1584.82629395  1584.82629395   987.51934814
   987.51934814   987.51934814   287.5668335    287.5668335    656.5022583 ]","[ 41.81853867  41.81853867  47.88467026  47.88467026  96.8609314
  96.8609314   96.8609314   55.10746002  55.10746002  36.69603348]","[ 398.80630493  398.80630493  353.20333862  353.20333862  446.08605957
  446.08605957  446.08605957  726.30407715  726.30407715  389.85827637]",24.9469451904,0,2.0
1,"[ 1125.43249512  1584.82629395  1584.82629395   987.51934814   987.51934814
   987.51934814   287.5668335    287.5668335    656.5022583    656.5022583 ]","[ 41.81853867  47.88467026  47.88467026  96.8609314   96.8609314
  96.8609314   55.10746002  55.10746002  36.69603348  36.69603348]","[ 398.80630493  353.20333862  353.20333862  446.08605957  446.08605957
  446.08605957  726.30407715  726.30407715  389.85827637  389.85827637]",24.946559906,0,2.0
2,"[ 1584.82629395  1584.82629395   987.51934814   987.51934814   987.51934814
   287.5668335    287.5668335    656.5022583    656.5022583    656.5022583 ]","[ 47.88467026  47.88467026  96.8609314   96.8609314   96.8609314
  55.10746002  55.10746002  36.69603348  36.69603348  36.69603348]","[ 353.20333862  353.20333862  446.08605957  446.08605957  446.08605957
  726.30407715  726.30407715  389.85827637  389.85827637  389.85827637]",24.9441490173,0,2.0
3,"[ 1584.82629395   987.51934814   987.51934814   987.51934814   287.5668335
   287.5668335    656.5022583    656.5022583    656.5022583    394.58972168]","[ 47.88467026  96.8609314   96.8609314   96.8609314   55.10746002
  55.10746002  36.69603348  36.69603348  36.69603348  91.72467041]","[  353.20333862   446.08605957   446.08605957   446.08605957   726.30407715
   726.30407715   389.85827637   389.85827637   389.85827637  1942.72570801]",24.9395828247,0,2.0
4,"[ 987.51934814  987.51934814  987.51934814  287.5668335   287.5668335
  656.5022583   656.5022583   656.5022583   394.58972168  394.58972168]","[ 96.8609314   96.8609314   96.8609314   55.10746002  55.10746002
  36.69603348  36.69603348  36.69603348  91.72467041  91.72467041]","[  446.08605957   446.08605957   446.08605957   726.30407715   726.30407715
   389.85827637   389.85827637   389.85827637  1942.72570801  1942.72570801]",24.9330692291,0,2.0
5,"[ 987.51934814  987.51934814  287.5668335   287.5668335   656.5022583
  656.5022583   656.5022583   394.58972168  394.58972168  394.58972168]","[  96.8609314    96.8609314    55.10746002   55.10746002   36.69603348
   36.69603348   36.69603348   91.72467041   91.72467041  255.60461426]","[  446.08605957   446.08605957   726.30407715   726.30407715   389.85827637
   389.85827637   389.85827637  1942.72570801  1942.72570801  1942.72570801]",24.9261379242,0,2.0
6,"[ 987.51934814  287.5668335   287.5668335   656.5022583   656.5022583
  656.5022583   394.58972168  394.58972168  394.58972168  690.04522705]","[  96.8609314    55.10746002   55.10746002   36.69603348   36.69603348
   36.69603348   91.72467041   91.72467041  255.60461426  255.60461426]","[  446.08605957   726.30407715   726.30407715   389.85827637   389.85827637
   389.85827637  1942.72570801  1942.72570801  1942.72570801  4586.94335938]",24.9184875488,0,2.0
7,"[ 287.5668335   287.5668335   656.5022583   656.5022583   656.5022583
  394.58972168  394.58972168  394.58972168  690.04522705  690.04522705]","[  55.10746002   55.10746002   36.69603348   36.69603348   36.69603348
   91.72467041   91.72467041  255.60461426  255.60461426  255.60461426]","[  726.30407715   726.30407715   389.85827637   389.85827637   389.85827637
  1942.72570801  1942.72570801  1942.72570801  4586.94335938  4586.94335938]",24.905626297,0,2.0
8,"[  287.5668335    656.5022583    656.5022583    656.5022583    394.58972168
   394.58972168   394.58972168   690.04522705   690.04522705  1775.60107422]","[  55.10746002   36.69603348   36.69603348   36.69603348   91.72467041
   91.72467041  255.60461426  255.60461426  255.60461426  419.1762085 ]","[  726.30407715   389.85827637   389.85827637   389.85827637  1942.72570801
  1942.72570801  1942.72570801  4586.94335938  4586.94335938  2579.16088867]",24.8772296906,0,2.0
9,"[  656.5022583    656.5022583    656.5022583    394.58972168   394.58972168
   394.58972168   690.04522705   690.04522705  1775.60107422  1775.60107422]","[  36.69603348   36.69603348   36.69603348   91.72467041   91.72467041
  255.60461426  255.60461426  255.60461426  419.1762085   419.1762085 ]","[  389.85827637   389.85827637   389.85827637  1942.72570801  1942.72570801
  1942.72570801  4586.94335938  4586.94335938  2579.16088867  2579.16088867]",24.8512229919,0,2.0
