,activation_0,activation_1,activation_2,dist,id,vel
0,[ 4671.42382812],[ 59.50072479],[ 3044.60913086],17.9655818939,1,2.0
1,[ 4671.42382812  2540.2722168 ],[ 59.50072479  59.80109024],[ 3044.60913086  3911.42480469],17.9076061249,1,2.0
2,[ 4671.42382812  2540.2722168   2540.2722168 ],[ 59.50072479  59.80109024  59.80109024],[ 3044.60913086  3911.42480469  3911.42480469],17.7567157745,1,2.0
3,[ 4671.42382812  2540.2722168   2540.2722168   2540.2722168 ],[ 59.50072479  59.80109024  59.80109024  59.80109024],[ 3044.60913086  3911.42480469  3911.42480469  3911.42480469],17.6981124878,1,2.0
4,[ 4671.42382812  2540.2722168   2540.2722168   2540.2722168   4707.3125    ],[ 59.50072479  59.80109024  59.80109024  59.80109024  68.39557648],[ 3044.60913086  3911.42480469  3911.42480469  3911.42480469  3008.53515625],17.6146965027,1,2.0
5,"[ 4671.42382812  2540.2722168   2540.2722168   2540.2722168   4707.3125
  4707.3125    ]","[ 59.50072479  59.80109024  59.80109024  59.80109024  68.39557648
  68.39557648]","[ 3044.60913086  3911.42480469  3911.42480469  3911.42480469  3008.53515625
  3008.53515625]",17.5481452942,1,2.0
6,"[ 4671.42382812  2540.2722168   2540.2722168   2540.2722168   4707.3125
  4707.3125      3633.25512695]","[ 59.50072479  59.80109024  59.80109024  59.80109024  68.39557648
  68.39557648  35.90652466]","[ 3044.60913086  3911.42480469  3911.42480469  3911.42480469  3008.53515625
  3008.53515625  3096.51269531]",17.4059143066,1,2.0
7,"[ 4671.42382812  2540.2722168   2540.2722168   2540.2722168   4707.3125
  4707.3125      3633.25512695  3633.25512695]","[ 59.50072479  59.80109024  59.80109024  59.80109024  68.39557648
  68.39557648  35.90652466  35.90652466]","[ 3044.60913086  3911.42480469  3911.42480469  3911.42480469  3008.53515625
  3008.53515625  3096.51269531  3096.51269531]",17.3388004303,1,2.0
8,"[ 4671.42382812  2540.2722168   2540.2722168   2540.2722168   4707.3125
  4707.3125      3633.25512695  3633.25512695  3578.47729492]","[ 59.50072479  59.80109024  59.80109024  59.80109024  68.39557648
  68.39557648  35.90652466  35.90652466  45.4040184 ]","[ 3044.60913086  3911.42480469  3911.42480469  3911.42480469  3008.53515625
  3008.53515625  3096.51269531  3096.51269531  2550.33129883]",17.2800140381,1,2.0
9,"[ 4671.42382812  2540.2722168   2540.2722168   2540.2722168   4707.3125
  4707.3125      3633.25512695  3633.25512695  3578.47729492  3578.47729492]","[ 59.50072479  59.80109024  59.80109024  59.80109024  68.39557648
  68.39557648  35.90652466  35.90652466  45.4040184   45.4040184 ]","[ 3044.60913086  3911.42480469  3911.42480469  3911.42480469  3008.53515625
  3008.53515625  3096.51269531  3096.51269531  2550.33129883  2550.33129883]",17.1963272095,1,2.0
10,"[ 2540.2722168   2540.2722168   2540.2722168   4707.3125      4707.3125
  3633.25512695  3633.25512695  3578.47729492  3578.47729492  3578.47729492]","[ 59.80109024  59.80109024  59.80109024  68.39557648  68.39557648
  35.90652466  35.90652466  45.4040184   45.4040184   45.4040184 ]","[ 3911.42480469  3911.42480469  3911.42480469  3008.53515625  3008.53515625
  3096.51269531  3096.51269531  2550.33129883  2550.33129883  2550.33129883]",17.071138382,1,2.0
11,"[ 2540.2722168   2540.2722168   4707.3125      4707.3125      3633.25512695
  3633.25512695  3578.47729492  3578.47729492  3578.47729492  3973.83007812]","[ 59.80109024  59.80109024  68.39557648  68.39557648  35.90652466
  35.90652466  45.4040184   45.4040184   45.4040184   37.22255325]","[ 3911.42480469  3911.42480469  3008.53515625  3008.53515625  3096.51269531
  3096.51269531  2550.33129883  2550.33129883  2550.33129883  2348.45214844]",16.9870662689,1,2.0
12,"[ 2540.2722168   4707.3125      4707.3125      3633.25512695  3633.25512695
  3578.47729492  3578.47729492  3578.47729492  3973.83007812  3973.83007812]","[ 59.80109024  68.39557648  68.39557648  35.90652466  35.90652466
  45.4040184   45.4040184   45.4040184   37.22255325  37.22255325]","[ 3911.42480469  3008.53515625  3008.53515625  3096.51269531  3096.51269531
  2550.33129883  2550.33129883  2550.33129883  2348.45214844  2348.45214844]",16.9198532104,1,2.0
13,"[ 4707.3125      4707.3125      3633.25512695  3633.25512695  3578.47729492
  3578.47729492  3578.47729492  3973.83007812  3973.83007812  3227.75390625]","[ 68.39557648  68.39557648  35.90652466  35.90652466  45.4040184
  45.4040184   45.4040184   37.22255325  37.22255325  23.8008728 ]","[ 3008.53515625  3008.53515625  3096.51269531  3096.51269531  2550.33129883
  2550.33129883  2550.33129883  2348.45214844  2348.45214844  2610.90063477]",16.7772865295,1,2.0
14,"[ 4707.3125      3633.25512695  3633.25512695  3578.47729492  3578.47729492
  3578.47729492  3973.83007812  3973.83007812  3227.75390625  3227.75390625]","[ 68.39557648  35.90652466  35.90652466  45.4040184   45.4040184
  45.4040184   37.22255325  37.22255325  23.8008728   23.8008728 ]","[ 3008.53515625  3096.51269531  3096.51269531  2550.33129883  2550.33129883
  2550.33129883  2348.45214844  2348.45214844  2610.90063477  2610.90063477]",16.7105827332,1,2.0
15,"[ 3633.25512695  3633.25512695  3578.47729492  3578.47729492  3578.47729492
  3973.83007812  3973.83007812  3227.75390625  3227.75390625  3661.40087891]","[ 35.90652466  35.90652466  45.4040184   45.4040184   45.4040184
  37.22255325  37.22255325  23.8008728   23.8008728   56.02381134]","[ 3096.51269531  3096.51269531  2550.33129883  2550.33129883  2550.33129883
  2348.45214844  2348.45214844  2610.90063477  2610.90063477  2930.42822266]",16.6522026062,1,2.0
16,"[ 3633.25512695  3578.47729492  3578.47729492  3578.47729492  3973.83007812
  3973.83007812  3227.75390625  3227.75390625  3661.40087891  3661.40087891]","[ 35.90652466  45.4040184   45.4040184   45.4040184   37.22255325
  37.22255325  23.8008728   23.8008728   56.02381134  56.02381134]","[ 3096.51269531  2550.33129883  2550.33129883  2550.33129883  2348.45214844
  2348.45214844  2610.90063477  2610.90063477  2930.42822266  2930.42822266]",16.5027065277,1,2.0
17,"[ 3578.47729492  3578.47729492  3578.47729492  3973.83007812  3973.83007812
  3227.75390625  3227.75390625  3661.40087891  3661.40087891  2940.85961914]","[ 45.4040184   45.4040184   45.4040184   37.22255325  37.22255325
  23.8008728   23.8008728   56.02381134  56.02381134  31.02734184]","[ 2550.33129883  2550.33129883  2550.33129883  2348.45214844  2348.45214844
  2610.90063477  2610.90063477  2930.42822266  2930.42822266  3577.61669922]",16.4446487427,1,2.0
18,"[ 3578.47729492  3578.47729492  3973.83007812  3973.83007812  3227.75390625
  3227.75390625  3661.40087891  3661.40087891  2940.85961914  2940.85961914]","[ 45.4040184   45.4040184   37.22255325  37.22255325  23.8008728
  23.8008728   56.02381134  56.02381134  31.02734184  31.02734184]","[ 2550.33129883  2550.33129883  2348.45214844  2348.45214844  2610.90063477
  2610.90063477  2930.42822266  2930.42822266  3577.61669922  3577.61669922]",16.3618888855,1,2.0
19,"[ 3578.47729492  3973.83007812  3973.83007812  3227.75390625  3227.75390625
  3661.40087891  3661.40087891  2940.85961914  2940.85961914  2940.85961914]","[ 45.4040184   37.22255325  37.22255325  23.8008728   23.8008728
  56.02381134  56.02381134  31.02734184  31.02734184  31.02734184]","[ 2550.33129883  2348.45214844  2348.45214844  2610.90063477  2610.90063477
  2930.42822266  2930.42822266  3577.61669922  3577.61669922  3577.61669922]",16.2376060486,1,2.0
20,"[ 3973.83007812  3973.83007812  3227.75390625  3227.75390625  3661.40087891
  3661.40087891  2940.85961914  2940.85961914  2940.85961914  3778.92871094]","[ 37.22255325  37.22255325  23.8008728   23.8008728   56.02381134
  56.02381134  31.02734184  31.02734184  31.02734184  59.67653656]","[ 2348.45214844  2348.45214844  2610.90063477  2610.90063477  2930.42822266
  2930.42822266  3577.61669922  3577.61669922  3577.61669922  2657.14868164]",16.1543254852,1,2.0
21,"[ 3973.83007812  3227.75390625  3227.75390625  3661.40087891  3661.40087891
  2940.85961914  2940.85961914  2940.85961914  3778.92871094  3778.92871094]","[ 37.22255325  23.8008728   23.8008728   56.02381134  56.02381134
  31.02734184  31.02734184  31.02734184  59.67653656  59.67653656]","[ 2348.45214844  2610.90063477  2610.90063477  2930.42822266  2930.42822266
  3577.61669922  3577.61669922  3577.61669922  2657.14868164  2657.14868164]",16.0878791809,1,2.0
22,"[ 3227.75390625  3227.75390625  3661.40087891  3661.40087891  2940.85961914
  2940.85961914  2940.85961914  3778.92871094  3778.92871094  2489.85522461]","[ 23.8008728   23.8008728   56.02381134  56.02381134  31.02734184
  31.02734184  31.02734184  59.67653656  59.67653656  34.25738525]","[ 2610.90063477  2610.90063477  2930.42822266  2930.42822266  3577.61669922
  3577.61669922  3577.61669922  2657.14868164  2657.14868164  3067.67163086]",16.029712677,1,2.0
23,"[ 3227.75390625  3661.40087891  3661.40087891  2940.85961914  2940.85961914
  2940.85961914  3778.92871094  3778.92871094  2489.85522461  2489.85522461]","[ 23.8008728   56.02381134  56.02381134  31.02734184  31.02734184
  31.02734184  59.67653656  59.67653656  34.25738525  34.25738525]","[ 2610.90063477  2930.42822266  2930.42822266  3577.61669922  3577.61669922
  3577.61669922  2657.14868164  2657.14868164  3067.67163086  3067.67163086]",15.8807344437,1,2.0
24,"[ 3661.40087891  3661.40087891  2940.85961914  2940.85961914  2940.85961914
  3778.92871094  3778.92871094  2489.85522461  2489.85522461  3505.7487793 ]","[ 56.02381134  56.02381134  31.02734184  31.02734184  31.02734184
  59.67653656  59.67653656  34.25738525  34.25738525  52.33534622]","[ 2930.42822266  2930.42822266  3577.61669922  3577.61669922  3577.61669922
  2657.14868164  2657.14868164  3067.67163086  3067.67163086  2611.72607422]",15.822640419,1,2.0
25,"[ 3661.40087891  2940.85961914  2940.85961914  2940.85961914  3778.92871094
  3778.92871094  2489.85522461  2489.85522461  3505.7487793   3505.7487793 ]","[ 56.02381134  31.02734184  31.02734184  31.02734184  59.67653656
  59.67653656  34.25738525  34.25738525  52.33534622  52.33534622]","[ 2930.42822266  3577.61669922  3577.61669922  3577.61669922  2657.14868164
  2657.14868164  3067.67163086  3067.67163086  2611.72607422  2611.72607422]",15.7392930984,1,2.0
26,"[ 2940.85961914  2940.85961914  2940.85961914  3778.92871094  3778.92871094
  2489.85522461  2489.85522461  3505.7487793   3505.7487793   3505.7487793 ]","[ 31.02734184  31.02734184  31.02734184  59.67653656  59.67653656
  34.25738525  34.25738525  52.33534622  52.33534622  52.33534622]","[ 3577.61669922  3577.61669922  3577.61669922  2657.14868164  2657.14868164
  3067.67163086  3067.67163086  2611.72607422  2611.72607422  2611.72607422]",15.6728134155,1,2.0
27,"[ 2940.85961914  2940.85961914  3778.92871094  3778.92871094  2489.85522461
  2489.85522461  3505.7487793   3505.7487793   3505.7487793   2465.35888672]","[ 31.02734184  31.02734184  59.67653656  59.67653656  34.25738525
  34.25738525  52.33534622  52.33534622  52.33534622  22.0958271 ]","[ 3577.61669922  3577.61669922  2657.14868164  2657.14868164  3067.67163086
  3067.67163086  2611.72607422  2611.72607422  2611.72607422  2922.43334961]",15.5318508148,1,2.0
28,"[ 2940.85961914  3778.92871094  3778.92871094  2489.85522461  2489.85522461
  3505.7487793   3505.7487793   3505.7487793   2465.35888672  2465.35888672]","[ 31.02734184  59.67653656  59.67653656  34.25738525  34.25738525
  52.33534622  52.33534622  52.33534622  22.0958271   22.0958271 ]","[ 3577.61669922  2657.14868164  2657.14868164  3067.67163086  3067.67163086
  2611.72607422  2611.72607422  2611.72607422  2922.43334961  2922.43334961]",15.4657659531,1,2.0
29,"[ 3778.92871094  3778.92871094  2489.85522461  2489.85522461  3505.7487793
  3505.7487793   3505.7487793   2465.35888672  2465.35888672  3473.50097656]","[ 59.67653656  59.67653656  34.25738525  34.25738525  52.33534622
  52.33534622  52.33534622  22.0958271   22.0958271    6.0864377 ]","[ 2657.14868164  2657.14868164  3067.67163086  3067.67163086  2611.72607422
  2611.72607422  2611.72607422  2922.43334961  2922.43334961  3424.16479492]",15.4076852798,1,2.0
30,"[ 3778.92871094  2489.85522461  2489.85522461  3505.7487793   3505.7487793
  3505.7487793   2465.35888672  2465.35888672  3473.50097656  3473.50097656]","[ 59.67653656  34.25738525  34.25738525  52.33534622  52.33534622
  52.33534622  22.0958271   22.0958271    6.0864377    6.0864377 ]","[ 2657.14868164  3067.67163086  3067.67163086  2611.72607422  2611.72607422
  2611.72607422  2922.43334961  2922.43334961  3424.16479492  3424.16479492]",15.3242101669,1,2.0
