,activation_0,activation_1,activation_2,dist,id,vel
0,[ 5975.49316406],[ 45.85840225],[ 2428.87695312],17.8084659576,1,2.0
1,[ 5975.49316406  5975.49316406],[ 45.85840225  45.85840225],[ 2428.87695312  2428.87695312],17.7491378784,1,2.0
2,[ 5975.49316406  5975.49316406  5975.49316406],[ 45.85840225  45.85840225  45.85840225],[ 2428.87695312  2428.87695312  2428.87695312],17.6646461487,1,2.0
3,[ 5975.49316406  5975.49316406  5975.49316406  5244.77246094],[ 45.85840225  45.85840225  45.85840225  33.7172699 ],[ 2428.87695312  2428.87695312  2428.87695312  3709.31152344],17.5972213745,1,2.0
4,[ 5975.49316406  5975.49316406  5975.49316406  5244.77246094  5244.77246094],[ 45.85840225  45.85840225  45.85840225  33.7172699   33.7172699 ],[ 2428.87695312  2428.87695312  2428.87695312  3709.31152344  3709.31152344],17.5377082825,1,2.0
5,"[ 5975.49316406  5975.49316406  5975.49316406  5244.77246094  5244.77246094
  5244.77246094]","[ 45.85840225  45.85840225  45.85840225  33.7172699   33.7172699
  33.7172699 ]","[ 2428.87695312  2428.87695312  2428.87695312  3709.31152344  3709.31152344
  3709.31152344]",17.4527282715,1,2.0
6,"[ 5975.49316406  5975.49316406  5975.49316406  5244.77246094  5244.77246094
  5244.77246094  4798.37451172]","[ 45.85840225  45.85840225  45.85840225  33.7172699   33.7172699
  33.7172699   55.97758102]","[ 2428.87695312  2428.87695312  2428.87695312  3709.31152344  3709.31152344
  3709.31152344  2574.94506836]",17.3850688934,1,2.0
7,"[ 5975.49316406  5975.49316406  5975.49316406  5244.77246094  5244.77246094
  5244.77246094  4798.37451172  4798.37451172]","[ 45.85840225  45.85840225  45.85840225  33.7172699   33.7172699
  33.7172699   55.97758102  55.97758102]","[ 2428.87695312  2428.87695312  2428.87695312  3709.31152344  3709.31152344
  3709.31152344  2574.94506836  2574.94506836]",17.3258533478,1,2.0
8,"[ 5975.49316406  5975.49316406  5975.49316406  5244.77246094  5244.77246094
  5244.77246094  4798.37451172  4798.37451172  4798.37451172]","[ 45.85840225  45.85840225  45.85840225  33.7172699   33.7172699
  33.7172699   55.97758102  55.97758102  55.97758102]","[ 2428.87695312  2428.87695312  2428.87695312  3709.31152344  3709.31152344
  3709.31152344  2574.94506836  2574.94506836  2574.94506836]",17.2415485382,1,2.0
9,"[ 5975.49316406  5975.49316406  5975.49316406  5244.77246094  5244.77246094
  5244.77246094  4798.37451172  4798.37451172  4798.37451172  5406.9375    ]","[ 45.85840225  45.85840225  45.85840225  33.7172699   33.7172699
  33.7172699   55.97758102  55.97758102  55.97758102  42.20346069]","[ 2428.87695312  2428.87695312  2428.87695312  3709.31152344  3709.31152344
  3709.31152344  2574.94506836  2574.94506836  2574.94506836  2097.76660156]",17.1743125916,1,2.0
10,"[ 5975.49316406  5975.49316406  5244.77246094  5244.77246094  5244.77246094
  4798.37451172  4798.37451172  4798.37451172  5406.9375      5406.9375    ]","[ 45.85840225  45.85840225  33.7172699   33.7172699   33.7172699
  55.97758102  55.97758102  55.97758102  42.20346069  42.20346069]","[ 2428.87695312  2428.87695312  3709.31152344  3709.31152344  3709.31152344
  2574.94506836  2574.94506836  2574.94506836  2097.76660156  2097.76660156]",17.0903663635,1,2.0
