,activation_0,activation_1,activation_2,dist,id,vel
0,[ 4786.26708984],[ 103.53910065],[ 1865.27502441],18.1510848999,1,2.0
1,[ 4786.26708984  4786.26708984],[ 103.53910065  103.53910065],[ 1865.27502441  1865.27502441],18.0125751495,1,2.0
2,[ 4786.26708984  4786.26708984  5398.17871094],[ 103.53910065  103.53910065   22.84489441],[ 1865.27502441  1865.27502441  2535.53369141],17.9472503662,1,2.0
3,[ 4786.26708984  4786.26708984  5398.17871094  5398.17871094],[ 103.53910065  103.53910065   22.84489441   22.84489441],[ 1865.27502441  1865.27502441  2535.53369141  2535.53369141],17.8901996613,1,2.0
4,[ 4786.26708984  4786.26708984  5398.17871094  5398.17871094  5529.49755859],[ 103.53910065  103.53910065   22.84489441   22.84489441  100.21414185],[ 1865.27502441  1865.27502441  2535.53369141  2535.53369141  3744.11181641],17.8085975647,1,2.0
5,"[ 4786.26708984  4786.26708984  5398.17871094  5398.17871094  5529.49755859
  5529.49755859]","[ 103.53910065  103.53910065   22.84489441   22.84489441  100.21414185
  100.21414185]","[ 1865.27502441  1865.27502441  2535.53369141  2535.53369141  3744.11181641
  3744.11181641]",17.6860561371,1,2.0
6,"[ 4786.26708984  4786.26708984  5398.17871094  5398.17871094  5529.49755859
  5529.49755859  5529.49755859]","[ 103.53910065  103.53910065   22.84489441   22.84489441  100.21414185
  100.21414185  100.21414185]","[ 1865.27502441  1865.27502441  2535.53369141  2535.53369141  3744.11181641
  3744.11181641  3744.11181641]",17.6042823792,1,2.0
7,"[ 4786.26708984  4786.26708984  5398.17871094  5398.17871094  5529.49755859
  5529.49755859  5529.49755859  6051.109375  ]","[ 103.53910065  103.53910065   22.84489441   22.84489441  100.21414185
  100.21414185  100.21414185   70.58149719]","[ 1865.27502441  1865.27502441  2535.53369141  2535.53369141  3744.11181641
  3744.11181641  3744.11181641  2945.16552734]",17.5388221741,1,2.0
8,"[ 4786.26708984  4786.26708984  5398.17871094  5398.17871094  5529.49755859
  5529.49755859  5529.49755859  6051.109375    6051.109375  ]","[ 103.53910065  103.53910065   22.84489441   22.84489441  100.21414185
  100.21414185  100.21414185   70.58149719   70.58149719]","[ 1865.27502441  1865.27502441  2535.53369141  2535.53369141  3744.11181641
  3744.11181641  3744.11181641  2945.16552734  2945.16552734]",17.481546402,1,2.0
9,"[ 4786.26708984  4786.26708984  5398.17871094  5398.17871094  5529.49755859
  5529.49755859  5529.49755859  6051.109375    6051.109375    4689.86523438]","[ 103.53910065  103.53910065   22.84489441   22.84489441  100.21414185
  100.21414185  100.21414185   70.58149719   70.58149719   73.13264465]","[ 1865.27502441  1865.27502441  2535.53369141  2535.53369141  3744.11181641
  3744.11181641  3744.11181641  2945.16552734  2945.16552734  3667.09912109]",17.3996696472,1,2.0
10,"[ 4786.26708984  5398.17871094  5398.17871094  5529.49755859  5529.49755859
  5529.49755859  6051.109375    6051.109375    4689.86523438  4689.86523438]","[ 103.53910065   22.84489441   22.84489441  100.21414185  100.21414185
  100.21414185   70.58149719   70.58149719   73.13264465   73.13264465]","[ 1865.27502441  2535.53369141  2535.53369141  3744.11181641  3744.11181641
  3744.11181641  2945.16552734  2945.16552734  3667.09912109  3667.09912109]",17.2767429352,1,2.0
11,"[ 5398.17871094  5398.17871094  5529.49755859  5529.49755859  5529.49755859
  6051.109375    6051.109375    4689.86523438  4689.86523438  4689.86523438]","[  22.84489441   22.84489441  100.21414185  100.21414185  100.21414185
   70.58149719   70.58149719   73.13264465   73.13264465   73.13264465]","[ 2535.53369141  2535.53369141  3744.11181641  3744.11181641  3744.11181641
  2945.16552734  2945.16552734  3667.09912109  3667.09912109  3667.09912109]",17.1948490143,1,2.0
12,"[ 5398.17871094  5529.49755859  5529.49755859  5529.49755859  6051.109375
  6051.109375    4689.86523438  4689.86523438  4689.86523438  4689.86523438]","[  22.84489441  100.21414185  100.21414185  100.21414185   70.58149719
   70.58149719   73.13264465   73.13264465   73.13264465   73.13264465]","[ 2535.53369141  3744.11181641  3744.11181641  3744.11181641  2945.16552734
  2945.16552734  3667.09912109  3667.09912109  3667.09912109  3667.09912109]",17.1129188538,1,2.0
13,"[ 5529.49755859  5529.49755859  5529.49755859  6051.109375    6051.109375
  4689.86523438  4689.86523438  4689.86523438  4689.86523438  4689.86523438]","[ 100.21414185  100.21414185  100.21414185   70.58149719   70.58149719
   73.13264465   73.13264465   73.13264465   73.13264465   73.13264465]","[ 3744.11181641  3744.11181641  3744.11181641  2945.16552734  2945.16552734
  3667.09912109  3667.09912109  3667.09912109  3667.09912109  3667.09912109]",17.071931839,1,2.0
14,"[ 5529.49755859  5529.49755859  6051.109375    6051.109375    4689.86523438
  4689.86523438  4689.86523438  4689.86523438  4689.86523438  9307.33300781]","[ 100.21414185  100.21414185   70.58149719   70.58149719   73.13264465
   73.13264465   73.13264465   73.13264465   73.13264465  110.74151611]","[ 3744.11181641  3744.11181641  2945.16552734  2945.16552734  3667.09912109
  3667.09912109  3667.09912109  3667.09912109  3667.09912109  4727.20068359]",16.9899616241,1,2.0
