,activation_0,activation_1,activation_2,dist,id,vel
0,[ 3927.21166992],[ 89.16161346],[ 4550.41357422],17.9058265686,1,2.0
1,[ 3927.21166992  2931.3894043 ],[  89.16161346  121.9633255 ],[ 4550.41357422  5108.50341797],17.7800674438,1,2.0
2,[ 3927.21166992  2931.3894043   2931.3894043 ],[  89.16161346  121.9633255   121.9633255 ],[ 4550.41357422  5108.50341797  5108.50341797],17.6956787109,1,2.0
3,[ 3927.21166992  2931.3894043   2931.3894043   2931.3894043 ],[  89.16161346  121.9633255   121.9633255   121.9633255 ],[ 4550.41357422  5108.50341797  5108.50341797  5108.50341797],17.6283721924,1,2.0
4,[ 3927.21166992  2931.3894043   2931.3894043   2931.3894043   2931.3894043 ],[  89.16161346  121.9633255   121.9633255   121.9633255   121.9633255 ],[ 4550.41357422  5108.50341797  5108.50341797  5108.50341797  5108.50341797],17.5526008606,1,2.0
5,"[ 3927.21166992  2931.3894043   2931.3894043   2931.3894043   2931.3894043
  2931.3894043 ]","[  89.16161346  121.9633255   121.9633255   121.9633255   121.9633255
  121.9633255 ]","[ 4550.41357422  5108.50341797  5108.50341797  5108.50341797  5108.50341797
  5108.50341797]",17.4855442047,1,2.0
6,"[ 3927.21166992  2931.3894043   2931.3894043   2931.3894043   2931.3894043
  2931.3894043   1273.81750488]","[  89.16161346  121.9633255   121.9633255   121.9633255   121.9633255
  121.9633255   197.83192444]","[ 4550.41357422  5108.50341797  5108.50341797  5108.50341797  5108.50341797
  5108.50341797  6504.66748047]",17.3424167633,1,2.0
7,"[ 3927.21166992  2931.3894043   2931.3894043   2931.3894043   2931.3894043
  2931.3894043   1273.81750488  1273.81750488]","[  89.16161346  121.9633255   121.9633255   121.9633255   121.9633255
  121.9633255   197.83192444  197.83192444]","[ 4550.41357422  5108.50341797  5108.50341797  5108.50341797  5108.50341797
  5108.50341797  6504.66748047  6504.66748047]",17.2749099731,1,2.0
8,"[ 3927.21166992  2931.3894043   2931.3894043   2931.3894043   2931.3894043
  2931.3894043   1273.81750488  1273.81750488  1273.81750488]","[  89.16161346  121.9633255   121.9633255   121.9633255   121.9633255
  121.9633255   197.83192444  197.83192444  197.83192444]","[ 4550.41357422  5108.50341797  5108.50341797  5108.50341797  5108.50341797
  5108.50341797  6504.66748047  6504.66748047  6504.66748047]",17.2157669067,1,2.0
9,"[ 3927.21166992  2931.3894043   2931.3894043   2931.3894043   2931.3894043
  2931.3894043   1273.81750488  1273.81750488  1273.81750488  3768.19946289]","[  89.16161346  121.9633255   121.9633255   121.9633255   121.9633255
  121.9633255   197.83192444  197.83192444  197.83192444   76.16967773]","[ 4550.41357422  5108.50341797  5108.50341797  5108.50341797  5108.50341797
  5108.50341797  6504.66748047  6504.66748047  6504.66748047  4450.07861328]",17.131652832,1,2.0
10,"[ 2931.3894043   2931.3894043   2931.3894043   2931.3894043   2931.3894043
  1273.81750488  1273.81750488  1273.81750488  3768.19946289  3768.19946289]","[ 121.9633255   121.9633255   121.9633255   121.9633255   121.9633255
  197.83192444  197.83192444  197.83192444   76.16967773   76.16967773]","[ 5108.50341797  5108.50341797  5108.50341797  5108.50341797  5108.50341797
  6504.66748047  6504.66748047  6504.66748047  4450.07861328  4450.07861328]",17.0646305084,1,2.0
11,"[ 2931.3894043   2931.3894043   2931.3894043   2931.3894043   1273.81750488
  1273.81750488  1273.81750488  3768.19946289  3768.19946289  3768.19946289]","[ 121.9633255   121.9633255   121.9633255   121.9633255   197.83192444
  197.83192444  197.83192444   76.16967773   76.16967773   76.16967773]","[ 5108.50341797  5108.50341797  5108.50341797  5108.50341797  6504.66748047
  6504.66748047  6504.66748047  4450.07861328  4450.07861328  4450.07861328]",17.0059738159,1,2.0
12,"[ 2931.3894043   2931.3894043   2931.3894043   1273.81750488  1273.81750488
  1273.81750488  3768.19946289  3768.19946289  3768.19946289  3172.37841797]","[ 121.9633255   121.9633255   121.9633255   197.83192444  197.83192444
  197.83192444   76.16967773   76.16967773   76.16967773   27.40213013]","[ 5108.50341797  5108.50341797  5108.50341797  6504.66748047  6504.66748047
  6504.66748047  4450.07861328  4450.07861328  4450.07861328  4754.19873047]",16.9224185944,1,2.0
13,"[ 2931.3894043   2931.3894043   1273.81750488  1273.81750488  1273.81750488
  3768.19946289  3768.19946289  3768.19946289  3172.37841797  3172.37841797]","[ 121.9633255   121.9633255   197.83192444  197.83192444  197.83192444
   76.16967773   76.16967773   76.16967773   27.40213013   27.40213013]","[ 5108.50341797  5108.50341797  6504.66748047  6504.66748047  6504.66748047
  4450.07861328  4450.07861328  4450.07861328  4754.19873047  4754.19873047]",16.8557624817,1,2.0
14,"[ 2931.3894043   1273.81750488  1273.81750488  1273.81750488  3768.19946289
  3768.19946289  3768.19946289  3172.37841797  3172.37841797  3771.32763672]","[ 121.9633255   197.83192444  197.83192444  197.83192444   76.16967773
   76.16967773   76.16967773   27.40213013   27.40213013   59.65133286]","[ 5108.50341797  6504.66748047  6504.66748047  6504.66748047  4450.07861328
  4450.07861328  4450.07861328  4754.19873047  4754.19873047  4736.99707031]",16.7142162323,1,2.0
15,"[ 1273.81750488  1273.81750488  1273.81750488  3768.19946289  3768.19946289
  3768.19946289  3172.37841797  3172.37841797  3771.32763672  3771.32763672]","[ 197.83192444  197.83192444  197.83192444   76.16967773   76.16967773
   76.16967773   27.40213013   27.40213013   59.65133286   59.65133286]","[ 6504.66748047  6504.66748047  6504.66748047  4450.07861328  4450.07861328
  4450.07861328  4754.19873047  4754.19873047  4736.99707031  4736.99707031]",16.647808075,1,2.0
16,"[ 1273.81750488  1273.81750488  3768.19946289  3768.19946289  3768.19946289
  3172.37841797  3172.37841797  3771.32763672  3771.32763672  3771.32763672]","[ 197.83192444  197.83192444   76.16967773   76.16967773   76.16967773
   27.40213013   27.40213013   59.65133286   59.65133286   59.65133286]","[ 6504.66748047  6504.66748047  4450.07861328  4450.07861328  4450.07861328
  4754.19873047  4754.19873047  4736.99707031  4736.99707031  4736.99707031]",16.5892562866,1,2.0
17,"[ 1273.81750488  3768.19946289  3768.19946289  3768.19946289  3172.37841797
  3172.37841797  3771.32763672  3771.32763672  3771.32763672  2612.82080078]","[ 197.83192444   76.16967773   76.16967773   76.16967773   27.40213013
   27.40213013   59.65133286   59.65133286   59.65133286   75.52692413]","[ 6504.66748047  4450.07861328  4450.07861328  4450.07861328  4754.19873047
  4754.19873047  4736.99707031  4736.99707031  4736.99707031  6062.42578125]",16.5055465698,1,2.0
18,"[ 3768.19946289  3768.19946289  3768.19946289  3172.37841797  3172.37841797
  3771.32763672  3771.32763672  3771.32763672  2612.82080078  2612.82080078]","[ 76.16967773  76.16967773  76.16967773  27.40213013  27.40213013
  59.65133286  59.65133286  59.65133286  75.52692413  75.52692413]","[ 4450.07861328  4450.07861328  4450.07861328  4754.19873047  4754.19873047
  4736.99707031  4736.99707031  4736.99707031  6062.42578125  6062.42578125]",16.4387302399,1,2.0
19,"[ 3768.19946289  3768.19946289  3172.37841797  3172.37841797  3771.32763672
  3771.32763672  3771.32763672  2612.82080078  2612.82080078  2612.82080078]","[ 76.16967773  76.16967773  27.40213013  27.40213013  59.65133286
  59.65133286  59.65133286  75.52692413  75.52692413  56.94163132]","[ 4450.07861328  4450.07861328  4754.19873047  4754.19873047  4736.99707031
  4736.99707031  4736.99707031  6062.42578125  6062.42578125  6062.42578125]",16.3802509308,1,2.0
20,"[ 3768.19946289  3172.37841797  3172.37841797  3771.32763672  3771.32763672
  3771.32763672  2612.82080078  2612.82080078  2612.82080078  2404.98168945]","[ 76.16967773  27.40213013  27.40213013  59.65133286  59.65133286
  59.65133286  75.52692413  75.52692413  56.94163132  56.94163132]","[ 4450.07861328  4754.19873047  4754.19873047  4736.99707031  4736.99707031
  4736.99707031  6062.42578125  6062.42578125  6062.42578125  5833.70263672]",16.2969551086,1,2.0
21,"[ 3172.37841797  3172.37841797  3771.32763672  3771.32763672  3771.32763672
  2612.82080078  2612.82080078  2612.82080078  2404.98168945  2404.98168945]","[ 27.40213013  27.40213013  59.65133286  59.65133286  59.65133286
  75.52692413  75.52692413  56.94163132  56.94163132  56.94163132]","[ 4754.19873047  4754.19873047  4736.99707031  4736.99707031  4736.99707031
  6062.42578125  6062.42578125  6062.42578125  5833.70263672  5833.70263672]",16.2304706573,1,2.0
22,"[ 3172.37841797  3771.32763672  3771.32763672  3771.32763672  2612.82080078
  2612.82080078  2612.82080078  2404.98168945  2404.98168945  3230.27514648]","[  27.40213013   59.65133286   59.65133286   59.65133286   75.52692413
   75.52692413   56.94163132   56.94163132   56.94163132  122.61629486]","[ 4754.19873047  4736.99707031  4736.99707031  4736.99707031  6062.42578125
  6062.42578125  6062.42578125  5833.70263672  5833.70263672  5522.42675781]",16.0881004333,1,2.0
23,"[ 3771.32763672  3771.32763672  3771.32763672  2612.82080078  2612.82080078
  2612.82080078  2404.98168945  2404.98168945  3230.27514648  3230.27514648]","[  59.65133286   59.65133286   59.65133286   75.52692413   75.52692413
   56.94163132   56.94163132   56.94163132  122.61629486  122.61629486]","[ 4736.99707031  4736.99707031  4736.99707031  6062.42578125  6062.42578125
  6062.42578125  5833.70263672  5833.70263672  5522.42675781  5522.42675781]",16.0211658478,1,2.0
24,"[ 3771.32763672  3771.32763672  2612.82080078  2612.82080078  2612.82080078
  2404.98168945  2404.98168945  3230.27514648  3230.27514648  3230.27514648]","[  59.65133286   59.65133286   75.52692413   75.52692413   56.94163132
   56.94163132   56.94163132  122.61629486  122.61629486  122.61629486]","[ 4736.99707031  4736.99707031  6062.42578125  6062.42578125  6062.42578125
  5833.70263672  5833.70263672  5522.42675781  5522.42675781  5522.42675781]",15.9626026154,1,2.0
25,"[ 3771.32763672  2612.82080078  2612.82080078  2612.82080078  2404.98168945
  2404.98168945  3230.27514648  3230.27514648  3230.27514648  3260.62426758]","[  59.65133286   75.52692413   75.52692413   56.94163132   56.94163132
   56.94163132  122.61629486  122.61629486  122.61629486   35.60634232]","[ 4736.99707031  6062.42578125  6062.42578125  6062.42578125  5833.70263672
  5833.70263672  5522.42675781  5522.42675781  5522.42675781  6016.52099609]",15.8792076111,1,2.0
26,"[ 2612.82080078  2612.82080078  2612.82080078  2404.98168945  2404.98168945
  3230.27514648  3230.27514648  3230.27514648  3260.62426758  3260.62426758]","[  75.52692413   75.52692413   56.94163132   56.94163132   56.94163132
  122.61629486  122.61629486  122.61629486   35.60634232   35.60634232]","[ 6062.42578125  6062.42578125  6062.42578125  5833.70263672  5833.70263672
  5522.42675781  5522.42675781  5522.42675781  6016.52099609  6016.52099609]",15.8126907349,1,2.0
27,"[ 2612.82080078  2612.82080078  2404.98168945  2404.98168945  3230.27514648
  3230.27514648  3230.27514648  3260.62426758  3260.62426758  2612.52734375]","[  75.52692413   56.94163132   56.94163132   56.94163132  122.61629486
  122.61629486  122.61629486   35.60634232   35.60634232   75.21530914]","[ 6062.42578125  6062.42578125  5833.70263672  5833.70263672  5522.42675781
  5522.42675781  5522.42675781  6016.52099609  6016.52099609  6282.83203125]",15.6702594757,1,2.0
28,"[ 2612.82080078  2404.98168945  2404.98168945  3230.27514648  3230.27514648
  3230.27514648  3260.62426758  3260.62426758  2612.52734375  2612.52734375]","[  56.94163132   56.94163132   56.94163132  122.61629486  122.61629486
  122.61629486   35.60634232   35.60634232   75.21530914   75.21530914]","[ 6062.42578125  5833.70263672  5833.70263672  5522.42675781  5522.42675781
  5522.42675781  6016.52099609  6016.52099609  6282.83203125  6282.83203125]",15.6033430099,1,2.0
