,activation_0,activation_1,activation_2,dist,id,vel
0,[ 1105.41564941],[ 35.44254303],[ 4721.21679688],18.5448131561,1,2.0
1,[ 1105.41564941  2958.13330078],[ 35.44254303  30.02526093],[ 4721.21679688  4536.82226562],18.4640960693,1,2.0
2,[ 1105.41564941  2958.13330078  2958.13330078],[ 35.44254303  30.02526093  30.02526093],[ 4721.21679688  4536.82226562  4536.82226562],18.3992271423,1,2.0
3,[ 1105.41564941  2958.13330078  2958.13330078  2958.13330078],[ 35.44254303  30.02526093  30.02526093  30.02526093],[ 4721.21679688  4536.82226562  4536.82226562  4536.82226562],18.3423881531,1,2.0
4,[ 1105.41564941  2958.13330078  2958.13330078  2958.13330078  4659.97607422],[ 35.44254303  30.02526093  30.02526093  30.02526093   1.18413997],[ 4721.21679688  4536.82226562  4536.82226562  4536.82226562  4256.54394531],18.1967868805,1,2.0
5,"[ 1105.41564941  2958.13330078  2958.13330078  2958.13330078  4659.97607422
  4659.97607422]","[ 35.44254303  30.02526093  30.02526093  30.02526093   1.18413997
   1.18413997]","[ 4721.21679688  4536.82226562  4536.82226562  4536.82226562  4256.54394531
  4256.54394531]",18.1413497925,1,2.0
6,"[ 1105.41564941  2958.13330078  2958.13330078  2958.13330078  4659.97607422
  4659.97607422  4659.97607422]","[ 35.44254303  30.02526093  30.02526093  30.02526093   1.18413997
   1.18413997   1.18413997]","[ 4721.21679688  4536.82226562  4536.82226562  4536.82226562  4256.54394531
  4256.54394531  4256.54394531]",18.0615081787,1,2.0
7,"[ 1105.41564941  2958.13330078  2958.13330078  2958.13330078  4659.97607422
  4659.97607422  4659.97607422  3294.3996582 ]","[ 35.44254303  30.02526093  30.02526093  30.02526093   1.18413997
   1.18413997   1.18413997  30.9535141 ]","[ 4721.21679688  4536.82226562  4536.82226562  4536.82226562  4256.54394531
  4256.54394531  4256.54394531  4871.85595703]",17.9972190857,1,2.0
8,"[ 1105.41564941  2958.13330078  2958.13330078  2958.13330078  4659.97607422
  4659.97607422  4659.97607422  3294.3996582   3294.3996582 ]","[ 35.44254303  30.02526093  30.02526093  30.02526093   1.18413997
   1.18413997   1.18413997  30.9535141   30.9535141 ]","[ 4721.21679688  4536.82226562  4536.82226562  4536.82226562  4256.54394531
  4256.54394531  4256.54394531  4871.85595703  4871.85595703]",17.9409732819,1,2.0
9,"[ 1105.41564941  2958.13330078  2958.13330078  2958.13330078  4659.97607422
  4659.97607422  4659.97607422  3294.3996582   3294.3996582   3294.3996582 ]","[ 35.44254303  30.02526093  30.02526093  30.02526093   1.18413997
   1.18413997   1.18413997  30.9535141   30.9535141   30.9535141 ]","[ 4721.21679688  4536.82226562  4536.82226562  4536.82226562  4256.54394531
  4256.54394531  4256.54394531  4871.85595703  4871.85595703  4871.85595703]",17.8601875305,1,2.0
10,"[ 2958.13330078  2958.13330078  2958.13330078  4659.97607422  4659.97607422
  4659.97607422  3294.3996582   3294.3996582   3294.3996582   3687.08300781]","[ 30.02526093  30.02526093  30.02526093   1.18413997   1.18413997
   1.18413997  30.9535141   30.9535141   30.9535141   39.30599213]","[ 4536.82226562  4536.82226562  4536.82226562  4256.54394531  4256.54394531
  4256.54394531  4871.85595703  4871.85595703  4871.85595703  3916.95483398]",17.7958526611,1,2.0
11,"[ 2958.13330078  2958.13330078  4659.97607422  4659.97607422  4659.97607422
  3294.3996582   3294.3996582   3294.3996582   3687.08300781  3687.08300781]","[ 30.02526093  30.02526093   1.18413997   1.18413997   1.18413997
  30.9535141   30.9535141   30.9535141   39.30599213  39.30599213]","[ 4536.82226562  4536.82226562  4256.54394531  4256.54394531  4256.54394531
  4871.85595703  4871.85595703  4871.85595703  3916.95483398  3916.95483398]",17.7407436371,1,2.0
