,activation_0,activation_1,activation_2,activation_3,dist,id,vel
0,"[  24.62633896   27.63328171   44.55698013   36.04943466   22.85149002
   14.53027725   36.16416168   20.69520378   44.57675171  242.27893066]","[  5.74230671   0.09437508  12.88060474   1.89079988  21.52386475
  11.43045616   3.47518945  28.66346931  12.41566849   4.91620159]","[ 12.24170876   0.88137072   7.66222048  16.33971977  13.21246624
   1.49965441   3.75912142  16.66721535   1.03780818   7.40713739]","[ 11.41017151   1.46074629   5.28601694  65.11761475  11.97270584
  36.08153152   3.35497141  12.22097301  26.28560257  62.74834824]",24.964012146,0,2.0
1,"[  27.63328171   44.55698013   36.04943466   22.85149002   14.53027725
   36.16416168   20.69520378   44.57675171  242.27893066  713.76086426]","[  0.09437508  12.88060474   1.89079988  21.52386475  11.43045616
   3.47518945  28.66346931  12.41566849   4.91620159   8.44128132]","[  0.88137072   7.66222048  16.33971977  13.21246624   1.49965441
   3.75912142  16.66721535   1.03780818   7.40713739  86.86767578]","[   1.46074629    5.28601694   65.11761475   11.97270584   36.08153152
    3.35497141   12.22097301   26.28560257   62.74834824  430.12960815]",24.9491767883,0,2.0
2,"[  44.55698013   36.04943466   22.85149002   14.53027725   36.16416168
   20.69520378   44.57675171  242.27893066  713.76086426  151.63317871]","[ 12.88060474   1.89079988  21.52386475  11.43045616   3.47518945
  28.66346931  12.41566849   4.91620159   8.44128132   4.42465782]","[  7.66222048  16.33971977  13.21246624   1.49965441   3.75912142
  16.66721535   1.03780818   7.40713739  86.86767578  21.93515015]","[   5.28601694   65.11761475   11.97270584   36.08153152    3.35497141
   12.22097301   26.28560257   62.74834824  430.12960815   35.42695999]",24.9211807251,0,2.0
3,"[  36.04943466   22.85149002   14.53027725   36.16416168   20.69520378
   44.57675171  242.27893066  713.76086426  151.63317871  585.84912109]","[  1.89079988  21.52386475  11.43045616   3.47518945  28.66346931
  12.41566849   4.91620159   8.44128132   4.42465782  28.65693474]","[ 16.33971977  13.21246624   1.49965441   3.75912142  16.66721535
   1.03780818   7.40713739  86.86767578  21.93515015  33.86142349]","[  65.11761475   11.97270584   36.08153152    3.35497141   12.22097301
   26.28560257   62.74834824  430.12960815   35.42695999  374.58602905]",24.8647174835,0,2.0
4,"[  22.85149002   14.53027725   36.16416168   20.69520378   44.57675171
  242.27893066  713.76086426  151.63317871  585.84912109  261.61590576]","[ 21.52386475  11.43045616   3.47518945  28.66346931  12.41566849
   4.91620159   8.44128132   4.42465782  28.65693474  84.48158264]","[ 13.21246624   1.49965441   3.75912142  16.66721535   1.03780818
   7.40713739  86.86767578  21.93515015  33.86142349  95.02406311]","[  11.97270584   36.08153152    3.35497141   12.22097301   26.28560257
   62.74834824  430.12960815   35.42695999  374.58602905   83.66840363]",24.7814083099,0,2.0
5,"[  14.53027725   36.16416168   20.69520378   44.57675171  242.27893066
  713.76086426  151.63317871  585.84912109  261.61590576  233.67675781]","[ 11.43045616   3.47518945  28.66346931  12.41566849   4.91620159
   8.44128132   4.42465782  28.65693474  84.48158264  21.99135971]","[  1.49965441   3.75912142  16.66721535   1.03780818   7.40713739
  86.86767578  21.93515015  33.86142349  95.02406311  72.58876801]","[  36.08153152    3.35497141   12.22097301   26.28560257   62.74834824
  430.12960815   35.42695999  374.58602905   83.66840363  252.31109619]",24.6646156311,0,2.0
6,"[  36.16416168   20.69520378   44.57675171  242.27893066  713.76086426
  151.63317871  585.84912109  261.61590576  233.67675781  472.96829224]","[  3.47518945  28.66346931  12.41566849   4.91620159   8.44128132
   4.42465782  28.65693474  84.48158264  21.99135971   7.18589497]","[  3.75912142  16.66721535   1.03780818   7.40713739  86.86767578
  21.93515015  33.86142349  95.02406311  72.58876801   3.33444524]","[   3.35497141   12.22097301   26.28560257   62.74834824  430.12960815
   35.42695999  374.58602905   83.66840363  252.31109619  288.85519409]",24.3621006012,0,2.0
7,"[  20.69520378   44.57675171  242.27893066  713.76086426  151.63317871
  585.84912109  261.61590576  233.67675781  472.96829224  448.15875244]","[ 28.66346931  12.41566849   4.91620159   8.44128132   4.42465782
  28.65693474  84.48158264  21.99135971   7.18589497  43.31559372]","[  16.66721535    1.03780818    7.40713739   86.86767578   21.93515015
   33.86142349   95.02406311   72.58876801    3.33444524  103.67375183]","[  12.22097301   26.28560257   62.74834824  430.12960815   35.42695999
  374.58602905   83.66840363  252.31109619  288.85519409  874.52996826]",24.0433349609,0,2.0
8,"[  44.57675171  242.27893066  713.76086426  151.63317871  585.84912109
  261.61590576  233.67675781  472.96829224  448.15875244  165.6526947 ]","[ 12.41566849   4.91620159   8.44128132   4.42465782  28.65693474
  84.48158264  21.99135971   7.18589497  43.31559372  12.13852692]","[   1.03780818    7.40713739   86.86767578   21.93515015   33.86142349
   95.02406311   72.58876801    3.33444524  103.67375183    4.16987038]","[  26.28560257   62.74834824  430.12960815   35.42695999  374.58602905
   83.66840363  252.31109619  288.85519409  874.52996826   69.70380402]",23.868270874,0,2.0
9,"[ 242.27893066  713.76086426  151.63317871  585.84912109  261.61590576
  233.67675781  472.96829224  448.15875244  165.6526947    28.21085167]","[  4.91620159   8.44128132   4.42465782  28.65693474  84.48158264
  21.99135971   7.18589497  43.31559372  12.13852692   3.61999583]","[   7.40713739   86.86767578   21.93515015   33.86142349   95.02406311
   72.58876801    3.33444524  103.67375183    4.16987038   12.11324787]","[  62.74834824  430.12960815   35.42695999  374.58602905   83.66840363
  252.31109619  288.85519409  874.52996826   69.70380402  213.04924011]",23.6724739075,0,2.0
