,activation_0,activation_1,activation_2,activation_3,dist,id,vel
0,"[ 64.38951111   7.35289097   3.64043331  14.72388935   5.24303198
  57.57957077  52.16241837  16.21220589  13.45249748  22.32803726]","[ 2.19030786  7.4627409   0.6657539   0.76146531  4.8196578   3.29760218
  2.7558465   0.75906819  0.64905953  0.56162399]","[  1.14628005  10.52635193   1.04823792   0.39811835   3.72789025
   1.9503659    2.5721488    2.04387784   0.15347853   0.88034159]","[ 12.63244057   9.75203514  44.03899002  17.03258705  52.09341812
  21.44957542  21.95204735  41.25431442   6.75251102  32.81496811]",24.9907398224,2,2.0
1,"[   7.35289097    3.64043331   14.72388935    5.24303198   57.57957077
   52.16241837   16.21220589   13.45249748   22.32803726  160.83885193]","[  7.4627409    0.6657539    0.76146531   4.8196578    3.29760218
   2.7558465    0.75906819   0.64905953   0.56162399  83.97188568]","[  10.52635193    1.04823792    0.39811835    3.72789025    1.9503659
    2.5721488     2.04387784    0.15347853    0.88034159  110.82727051]","[   9.75203514   44.03899002   17.03258705   52.09341812   21.44957542
   21.95204735   41.25431442    6.75251102   32.81496811  925.14135742]",24.9897441864,2,2.0
2,"[   3.64043331   14.72388935    5.24303198   57.57957077   52.16241837
   16.21220589   13.45249748   22.32803726  160.83885193   57.65356064]","[  0.6657539    0.76146531   4.8196578    3.29760218   2.7558465
   0.75906819   0.64905953   0.56162399  83.97188568   1.24948835]","[   1.04823792    0.39811835    3.72789025    1.9503659     2.5721488
    2.04387784    0.15347853    0.88034159  110.82727051   16.30031013]","[  44.03899002   17.03258705   52.09341812   21.44957542   21.95204735
   41.25431442    6.75251102   32.81496811  925.14135742   89.53173065]",24.9764041901,2,2.0
3,"[  14.72388935    5.24303198   57.57957077   52.16241837   16.21220589
   13.45249748   22.32803726  160.83885193   57.65356064   61.09915161]","[  0.76146531   4.8196578    3.29760218   2.7558465    0.75906819
   0.64905953   0.56162399  83.97188568   1.24948835  74.61294556]","[   0.39811835    3.72789025    1.9503659     2.5721488     2.04387784
    0.15347853    0.88034159  110.82727051   16.30031013   62.76069641]","[  17.03258705   52.09341812   21.44957542   21.95204735   41.25431442
    6.75251102   32.81496811  925.14135742   89.53173065   61.21533585]",24.9435214996,2,2.0
4,"[   5.24303198   57.57957077   52.16241837   16.21220589   13.45249748
   22.32803726  160.83885193   57.65356064   61.09915161   68.57457733]","[  4.8196578    3.29760218   2.7558465    0.75906819   0.64905953
   0.56162399  83.97188568   1.24948835  74.61294556  41.32478333]","[   3.72789025    1.9503659     2.5721488     2.04387784    0.15347853
    0.88034159  110.82727051   16.30031013   62.76069641   48.67873383]","[  52.09341812   21.44957542   21.95204735   41.25431442    6.75251102
   32.81496811  925.14135742   89.53173065   61.21533585  225.10716248]",24.888174057,2,2.0
5,"[  57.57957077   52.16241837   16.21220589   13.45249748   22.32803726
  160.83885193   57.65356064   61.09915161   68.57457733  277.81088257]","[  3.29760218   2.7558465    0.75906819   0.64905953   0.56162399
  83.97188568   1.24948835  74.61294556  41.32478333  73.17131042]","[   1.9503659     2.5721488     2.04387784    0.15347853    0.88034159
  110.82727051   16.30031013   62.76069641   48.67873383   40.02659607]","[  21.44957542   21.95204735   41.25431442    6.75251102   32.81496811
  925.14135742   89.53173065   61.21533585  225.10716248  642.95452881]",24.7959270477,2,2.0
6,"[  52.16241837   16.21220589   13.45249748   22.32803726  160.83885193
   57.65356064   61.09915161   68.57457733  277.81088257  142.23208618]","[  2.7558465    0.75906819   0.64905953   0.56162399  83.97188568
   1.24948835  74.61294556  41.32478333  73.17131042   0.09668405]","[   2.5721488     2.04387784    0.15347853    0.88034159  110.82727051
   16.30031013   62.76069641   48.67873383   40.02659607    2.79672098]","[  21.95204735   41.25431442    6.75251102   32.81496811  925.14135742
   89.53173065   61.21533585  225.10716248  642.95452881  319.95510864]",24.6784725189,2,2.0
7,"[  16.21220589   13.45249748   22.32803726  160.83885193   57.65356064
   61.09915161   68.57457733  277.81088257  142.23208618  225.65374756]","[  0.75906819   0.64905953   0.56162399  83.97188568   1.24948835
  74.61294556  41.32478333  73.17131042   0.09668405   8.29726505]","[   2.04387784    0.15347853    0.88034159  110.82727051   16.30031013
   62.76069641   48.67873383   40.02659607    2.79672098   18.40308952]","[  41.25431442    6.75251102   32.81496811  925.14135742   89.53173065
   61.21533585  225.10716248  642.95452881  319.95510864  396.76153564]",24.5406131744,2,2.0
8,"[  13.45249748   22.32803726  160.83885193   57.65356064   61.09915161
   68.57457733  277.81088257  142.23208618  225.65374756  702.10266113]","[  0.64905953   0.56162399  83.97188568   1.24948835  74.61294556
  41.32478333  73.17131042   0.09668405   8.29726505  21.09041405]","[   0.15347853    0.88034159  110.82727051   16.30031013   62.76069641
   48.67873383   40.02659607    2.79672098   18.40308952   33.33189011]","[   6.75251102   32.81496811  925.14135742   89.53173065   61.21533585
  225.10716248  642.95452881  319.95510864  396.76153564  321.40530396]",24.3895492554,2,2.0
9,"[  22.32803726  160.83885193   57.65356064   61.09915161   68.57457733
  277.81088257  142.23208618  225.65374756  702.10266113  348.677948  ]","[  0.56162399  83.97188568   1.24948835  74.61294556  41.32478333
  73.17131042   0.09668405   8.29726505  21.09041405  11.71682739]","[   0.88034159  110.82727051   16.30031013   62.76069641   48.67873383
   40.02659607    2.79672098   18.40308952   33.33189011   23.18502998]","[  32.81496811  925.14135742   89.53173065   61.21533585  225.10716248
  642.95452881  319.95510864  396.76153564  321.40530396  279.44519043]",24.2295761108,2,2.0
10,"[ 160.83885193   57.65356064   61.09915161   68.57457733  277.81088257
  142.23208618  225.65374756  702.10266113  348.677948    183.9584198 ]","[ 83.97188568   1.24948835  74.61294556  41.32478333  73.17131042
   0.09668405   8.29726505  21.09041405  11.71682739   7.82407284]","[ 110.82727051   16.30031013   62.76069641   48.67873383   40.02659607
    2.79672098   18.40308952   33.33189011   23.18502998   15.42954636]","[ 925.14135742   89.53173065   61.21533585  225.10716248  642.95452881
  319.95510864  396.76153564  321.40530396  279.44519043  282.52825928]",24.0634098053,2,2.0
11,"[  57.65356064   61.09915161   68.57457733  277.81088257  142.23208618
  225.65374756  702.10266113  348.677948    183.9584198   194.720047  ]","[  1.24948835  74.61294556  41.32478333  73.17131042   0.09668405
   8.29726505  21.09041405  11.71682739   7.82407284   2.09906197]","[ 16.30031013  62.76069641  48.67873383  40.02659607   2.79672098
  18.40308952  33.33189011  23.18502998  15.42954636   8.87917805]","[  89.53173065   61.21533585  225.10716248  642.95452881  319.95510864
  396.76153564  321.40530396  279.44519043  282.52825928  207.21150208]",23.8920650482,2,2.0
12,"[  61.09915161   68.57457733  277.81088257  142.23208618  225.65374756
  702.10266113  348.677948    183.9584198   194.720047     23.42770004]","[ 74.61294556  41.32478333  73.17131042   0.09668405   8.29726505
  21.09041405  11.71682739   7.82407284   2.09906197   6.7651124 ]","[ 62.76069641  48.67873383  40.02659607   2.79672098  18.40308952
  33.33189011  23.18502998  15.42954636   8.87917805   8.71574688]","[  61.21533585  225.10716248  642.95452881  319.95510864  396.76153564
  321.40530396  279.44519043  282.52825928  207.21150208  201.65365601]",23.7170391083,2,2.0
13,"[  68.57457733  277.81088257  142.23208618  225.65374756  702.10266113
  348.677948    183.9584198   194.720047     23.42770004   83.3052597 ]","[ 41.32478333  73.17131042   0.09668405   8.29726505  21.09041405
  11.71682739   7.82407284   2.09906197   6.7651124    1.86648321]","[ 48.67873383  40.02659607   2.79672098  18.40308952  33.33189011
  23.18502998  15.42954636   8.87917805   8.71574688   2.33148313]","[ 225.10716248  642.95452881  319.95510864  396.76153564  321.40530396
  279.44519043  282.52825928  207.21150208  201.65365601  315.38040161]",23.538269043,2,2.0
14,"[ 277.81088257  142.23208618  225.65374756  702.10266113  348.677948
  183.9584198   194.720047     23.42770004   83.3052597    92.66085815]","[ 73.17131042   0.09668405   8.29726505  21.09041405  11.71682739
   7.82407284   2.09906197   6.7651124    1.86648321  18.5720787 ]","[ 40.02659607   2.79672098  18.40308952  33.33189011  23.18502998
  15.42954636   8.87917805   8.71574688   2.33148313  14.12743282]","[ 642.95452881  319.95510864  396.76153564  321.40530396  279.44519043
  282.52825928  207.21150208  201.65365601  315.38040161  232.46343994]",23.3574848175,2,2.0
15,"[ 142.23208618  225.65374756  702.10266113  348.677948    183.9584198
  194.720047     23.42770004   83.3052597    92.66085815   73.42662811]","[  0.09668405   8.29726505  21.09041405  11.71682739   7.82407284
   2.09906197   6.7651124    1.86648321  18.5720787   45.02634048]","[  2.79672098  18.40308952  33.33189011  23.18502998  15.42954636
   8.87917805   8.71574688   2.33148313  14.12743282  42.96285248]","[ 319.95510864  396.76153564  321.40530396  279.44519043  282.52825928
  207.21150208  201.65365601  315.38040161  232.46343994  139.32655334]",23.1737594604,2,2.0
16,"[ 225.65374756  702.10266113  348.677948    183.9584198   194.720047
   23.42770004   83.3052597    92.66085815   73.42662811   67.15085602]","[  8.29726505  21.09041405  11.71682739   7.82407284   2.09906197
   6.7651124    1.86648321  18.5720787   45.02634048  15.82218742]","[ 18.40308952  33.33189011  23.18502998  15.42954636   8.87917805
   8.71574688   2.33148313  14.12743282  42.96285248   6.72162199]","[ 396.76153564  321.40530396  279.44519043  282.52825928  207.21150208
  201.65365601  315.38040161  232.46343994  139.32655334  271.13284302]",22.9878005981,2,2.0
17,"[ 702.10266113  348.677948    183.9584198   194.720047     23.42770004
   83.3052597    92.66085815   73.42662811   67.15085602    9.76895046]","[ 21.09041405  11.71682739   7.82407284   2.09906197   6.7651124
   1.86648321  18.5720787   45.02634048  15.82218742  35.73416901]","[ 33.33189011  23.18502998  15.42954636   8.87917805   8.71574688
   2.33148313  14.12743282  42.96285248   6.72162199  46.57593536]","[ 321.40530396  279.44519043  282.52825928  207.21150208  201.65365601
  315.38040161  232.46343994  139.32655334  271.13284302   74.05541229]",22.7997684479,2,2.0
18,"[ 348.677948    183.9584198   194.720047     23.42770004   83.3052597
   92.66085815   73.42662811   67.15085602    9.76895046   35.06434631]","[ 11.71682739   7.82407284   2.09906197   6.7651124    1.86648321
  18.5720787   45.02634048  15.82218742  35.73416901  57.62523651]","[ 23.18502998  15.42954636   8.87917805   8.71574688   2.33148313
  14.12743282  42.96285248   6.72162199  46.57593536  76.42696381]","[ 279.44519043  282.52825928  207.21150208  201.65365601  315.38040161
  232.46343994  139.32655334  271.13284302   74.05541229  164.18782043]",22.6099948883,2,2.0
19,"[ 183.9584198   194.720047     23.42770004   83.3052597    92.66085815
   73.42662811   67.15085602    9.76895046   35.06434631   62.24363327]","[  7.82407284   2.09906197   6.7651124    1.86648321  18.5720787
  45.02634048  15.82218742  35.73416901  57.62523651   0.83584267]","[ 15.42954636   8.87917805   8.71574688   2.33148313  14.12743282
  42.96285248   6.72162199  46.57593536  76.42696381   1.8316462 ]","[ 282.52825928  207.21150208  201.65365601  315.38040161  232.46343994
  139.32655334  271.13284302   74.05541229  164.18782043  154.72076416]",22.4186439514,2,2.0
