,activation_0,activation_1,activation_2,activation_3,dist,id,vel
0,"[  37.5922966   192.39311218  114.54969788  110.73688507   77.99674988
   77.64245605  123.9849472    80.39590454   67.25058746   51.89425278]","[ 2.37793994  4.32646942  4.97561646  2.36368036  9.67702866  6.36958027
  2.47423625  8.96691036  1.51331389  1.22117233]","[  3.92698574   0.8624143    1.85000837   0.42795265  10.22637749
   8.54694557   1.08276844   8.62280273   0.01212491   0.57794553]","[ 24.90948105  35.83031464   8.37067318   7.64837646  19.54854584
  12.39462662  17.16599464  17.7107296   17.72949219   8.98849487]",24.9610786438,2,2.0
1,"[ 192.39311218  114.54969788  110.73688507   77.99674988   77.64245605
  123.9849472    80.39590454   67.25058746   51.89425278  345.11605835]","[  4.32646942   4.97561646   2.36368036   9.67702866   6.36958027
   2.47423625   8.96691036   1.51331389   1.22117233  95.31726074]","[  8.62414300e-01   1.85000837e+00   4.27952647e-01   1.02263775e+01
   8.54694557e+00   1.08276844e+00   8.62280273e+00   1.21249137e-02
   5.77945530e-01   9.06648788e+01]","[  35.83031464    8.37067318    7.64837646   19.54854584   12.39462662
   17.16599464   17.7107296    17.72949219    8.98849487  112.0103302 ]",24.9608840942,2,2.0
2,"[ 114.54969788  110.73688507   77.99674988   77.64245605  123.9849472
   80.39590454   67.25058746   51.89425278  345.11605835  274.42303467]","[  4.97561646   2.36368036   9.67702866   6.36958027   2.47423625
   8.96691036   1.51331389   1.22117233  95.31726074  51.12597275]","[  1.85000837e+00   4.27952647e-01   1.02263775e+01   8.54694557e+00
   1.08276844e+00   8.62280273e+00   1.21249137e-02   5.77945530e-01
   9.06648788e+01   6.01881599e+01]","[   8.37067318    7.64837646   19.54854584   12.39462662   17.16599464
   17.7107296    17.72949219    8.98849487  112.0103302   388.80105591]",24.946805954,2,2.0
3,"[ 110.73688507   77.99674988   77.64245605  123.9849472    80.39590454
   67.25058746   51.89425278  345.11605835  274.42303467  285.04031372]","[  2.36368036   9.67702866   6.36958027   2.47423625   8.96691036
   1.51331389   1.22117233  95.31726074  51.12597275  30.17410851]","[  4.27952647e-01   1.02263775e+01   8.54694557e+00   1.08276844e+00
   8.62280273e+00   1.21249137e-02   5.77945530e-01   9.06648788e+01
   6.01881599e+01   1.69547691e+01]","[   7.64837646   19.54854584   12.39462662   17.16599464   17.7107296
   17.72949219    8.98849487  112.0103302   388.80105591  320.92523193]",24.9179897308,2,2.0
4,"[  77.99674988   77.64245605  123.9849472    80.39590454   67.25058746
   51.89425278  345.11605835  274.42303467  285.04031372  629.71655273]","[  9.67702866   6.36958027   2.47423625   8.96691036   1.51331389
   1.22117233  95.31726074  51.12597275  30.17410851  55.9553566 ]","[  1.02263775e+01   8.54694557e+00   1.08276844e+00   8.62280273e+00
   1.21249137e-02   5.77945530e-01   9.06648788e+01   6.01881599e+01
   1.69547691e+01   3.22763176e+01]","[  19.54854584   12.39462662   17.16599464   17.7107296    17.72949219
    8.98849487  112.0103302   388.80105591  320.92523193   23.11026001]",24.8593444824,2,2.0
5,"[  77.64245605  123.9849472    80.39590454   67.25058746   51.89425278
  345.11605835  274.42303467  285.04031372  629.71655273  637.78259277]","[  6.36958027   2.47423625   8.96691036   1.51331389   1.22117233
  95.31726074  51.12597275  30.17410851  55.9553566    1.52455461]","[  8.54694557e+00   1.08276844e+00   8.62280273e+00   1.21249137e-02
   5.77945530e-01   9.06648788e+01   6.01881599e+01   1.69547691e+01
   3.22763176e+01   2.55282230e+01]","[  12.39462662   17.16599464   17.7107296    17.72949219    8.98849487
  112.0103302   388.80105591  320.92523193   23.11026001  569.81445312]",24.7312679291,2,2.0
6,"[ 123.9849472    80.39590454   67.25058746   51.89425278  345.11605835
  274.42303467  285.04031372  629.71655273  637.78259277   37.74655533]","[  2.47423625   8.96691036   1.51331389   1.22117233  95.31726074
  51.12597275  30.17410851  55.9553566    1.52455461   8.52826405]","[  1.08276844e+00   8.62280273e+00   1.21249137e-02   5.77945530e-01
   9.06648788e+01   6.01881599e+01   1.69547691e+01   3.22763176e+01
   2.55282230e+01   1.31737268e+00]","[  17.16599464   17.7107296    17.72949219    8.98849487  112.0103302
  388.80105591  320.92523193   23.11026001  569.81445312  266.00091553]",24.6454792023,2,2.0
7,"[  80.39590454   67.25058746   51.89425278  345.11605835  274.42303467
  285.04031372  629.71655273  637.78259277   37.74655533  289.02920532]","[  8.96691036   1.51331389   1.22117233  95.31726074  51.12597275
  30.17410851  55.9553566    1.52455461   8.52826405  84.81190491]","[  8.62280273e+00   1.21249137e-02   5.77945530e-01   9.06648788e+01
   6.01881599e+01   1.69547691e+01   3.22763176e+01   2.55282230e+01
   1.31737268e+00   1.08755424e+02]","[  17.7107296    17.72949219    8.98849487  112.0103302   388.80105591
  320.92523193   23.11026001  569.81445312  266.00091553  230.59205627]",24.5031585693,2,2.0
8,"[  67.25058746   51.89425278  345.11605835  274.42303467  285.04031372
  629.71655273  637.78259277   37.74655533  289.02920532  391.51446533]","[  1.51331389   1.22117233  95.31726074  51.12597275  30.17410851
  55.9553566    1.52455461   8.52826405  84.81190491  16.57985497]","[  1.21249137e-02   5.77945530e-01   9.06648788e+01   6.01881599e+01
   1.69547691e+01   3.22763176e+01   2.55282230e+01   1.31737268e+00
   1.08755424e+02   3.46730347e+01]","[  17.72949219    8.98849487  112.0103302   388.80105591  320.92523193
   23.11026001  569.81445312  266.00091553  230.59205627  304.81945801]",24.3486995697,2,2.0
9,"[  51.89425278  345.11605835  274.42303467  285.04031372  629.71655273
  637.78259277   37.74655533  289.02920532  391.51446533  385.25390625]","[  1.22117233  95.31726074  51.12597275  30.17410851  55.9553566
   1.52455461   8.52826405  84.81190491  16.57985497  99.81970978]","[   0.57794553   90.66487885   60.18815994   16.95476913   32.2763176
   25.52822304    1.31737268  108.7554245    34.67303467  159.94796753]","[   8.98849487  112.0103302   388.80105591  320.92523193   23.11026001
  569.81445312  266.00091553  230.59205627  304.81945801  390.57424927]",24.1867599487,2,2.0
