,activation_0,activation_1,activation_2,activation_3,activation_4,dist,id,vel
0,"[ 21.89668655  18.09720421  22.25115395   8.26959229   8.83759117
   1.29498827  14.60193062   7.31298542  42.36248779  50.39206696]","[  4.92023516   6.45226669  16.83012581  11.98464012  28.35424423
  20.52984428   1.32273221  14.45898151  11.25786304  11.15431499]","[ 0.29752168  0.2611793   0.56461483  0.3571758   1.04234171  0.79652101
  0.01259983  0.45123896  0.17307051  0.18698908]","[  3.47634649   0.02953556  13.49063778  21.64635468  22.86673164
  15.95838261   0.38734427  21.46436119   4.61963177  10.33515549]","[ 19.78484535  10.25019836   3.30995536  24.33882332  13.71994209
  38.73238373   3.98001313  19.43683624  23.97589302  55.48796844]",24.960515976,0,2.0
1,"[  18.09720421   22.25115395    8.26959229    8.83759117    1.29498827
   14.60193062    7.31298542   42.36248779   50.39206696  260.04956055]","[  6.45226669  16.83012581  11.98464012  28.35424423  20.52984428
   1.32273221  14.45898151  11.25786304  11.15431499  22.99832344]","[  2.61179298e-01   5.64614832e-01   3.57175797e-01   1.04234171e+00
   7.96521008e-01   1.25998333e-02   4.51238960e-01   1.73070505e-01
   1.86989084e-01   1.50372992e+01]","[  2.95355599e-02   1.34906378e+01   2.16463547e+01   2.28667316e+01
   1.59583826e+01   3.87344271e-01   2.14643612e+01   4.61963177e+00
   1.03351555e+01   2.24658325e+02]","[  10.25019836    3.30995536   24.33882332   13.71994209   38.73238373
    3.98001313   19.43683624   23.97589302   55.48796844  604.73510742]",24.9549465179,0,2.0
2,"[  22.25115395    8.26959229    8.83759117    1.29498827   14.60193062
    7.31298542   42.36248779   50.39206696  260.04956055   21.24791718]","[ 16.83012581  11.98464012  28.35424423  20.52984428   1.32273221
  14.45898151  11.25786304  11.15431499  22.99832344  10.76971245]","[  5.64614832e-01   3.57175797e-01   1.04234171e+00   7.96521008e-01
   1.25998333e-02   4.51238960e-01   1.73070505e-01   1.86989084e-01
   1.50372992e+01   4.27901936e+00]","[  13.49063778   21.64635468   22.86673164   15.95838261    0.38734427
   21.46436119    4.61963177   10.33515549  224.6583252    37.35533905]","[   3.30995536   24.33882332   13.71994209   38.73238373    3.98001313
   19.43683624   23.97589302   55.48796844  604.73510742  135.9679718 ]",24.9239616394,0,2.0
3,"[   8.26959229    8.83759117    1.29498827   14.60193062    7.31298542
   42.36248779   50.39206696  260.04956055   21.24791718  545.7366333 ]","[ 11.98464012  28.35424423  20.52984428   1.32273221  14.45898151
  11.25786304  11.15431499  22.99832344  10.76971245  33.790905  ]","[  3.57175797e-01   1.04234171e+00   7.96521008e-01   1.25998333e-02
   4.51238960e-01   1.73070505e-01   1.86989084e-01   1.50372992e+01
   4.27901936e+00   3.78174996e+00]","[  21.64635468   22.86673164   15.95838261    0.38734427   21.46436119
    4.61963177   10.33515549  224.6583252    37.35533905  157.88124084]","[  24.33882332   13.71994209   38.73238373    3.98001313   19.43683624
   23.97589302   55.48796844  604.73510742  135.9679718   222.89212036]",24.8984661102,0,2.0
4,"[   8.83759117    1.29498827   14.60193062    7.31298542   42.36248779
   50.39206696  260.04956055   21.24791718  545.7366333    37.01286697]","[ 28.35424423  20.52984428   1.32273221  14.45898151  11.25786304
  11.15431499  22.99832344  10.76971245  33.790905     6.88841724]","[  1.04234171e+00   7.96521008e-01   1.25998333e-02   4.51238960e-01
   1.73070505e-01   1.86989084e-01   1.50372992e+01   4.27901936e+00
   3.78174996e+00   4.39516258e+00]","[  22.86673164   15.95838261    0.38734427   21.46436119    4.61963177
   10.33515549  224.6583252    37.35533905  157.88124084   36.20835495]","[  13.71994209   38.73238373    3.98001313   19.43683624   23.97589302
   55.48796844  604.73510742  135.9679718   222.89212036  146.08261108]",24.826335907,0,2.0
5,"[   1.29498827   14.60193062    7.31298542   42.36248779   50.39206696
  260.04956055   21.24791718  545.7366333    37.01286697  356.68713379]","[  20.52984428    1.32273221   14.45898151   11.25786304   11.15431499
   22.99832344   10.76971245   33.790905      6.88841724  115.9016571 ]","[  7.96521008e-01   1.25998333e-02   4.51238960e-01   1.73070505e-01
   1.86989084e-01   1.50372992e+01   4.27901936e+00   3.78174996e+00
   4.39516258e+00   4.42406088e-02]","[  15.95838261    0.38734427   21.46436119    4.61963177   10.33515549
  224.6583252    37.35533905  157.88124084   36.20835495   40.09006119]","[  38.73238373    3.98001313   19.43683624   23.97589302   55.48796844
  604.73510742  135.9679718   222.89212036  146.08261108   68.94816589]",24.7229213715,0,2.0
6,"[  14.60193062    7.31298542   42.36248779   50.39206696  260.04956055
   21.24791718  545.7366333    37.01286697  356.68713379  196.4644928 ]","[   1.32273221   14.45898151   11.25786304   11.15431499   22.99832344
   10.76971245   33.790905      6.88841724  115.9016571    36.31222916]","[  1.25998333e-02   4.51238960e-01   1.73070505e-01   1.86989084e-01
   1.50372992e+01   4.27901936e+00   3.78174996e+00   4.39516258e+00
   4.42406088e-02   5.18607855e+00]","[   0.38734427   21.46436119    4.61963177   10.33515549  224.6583252
   37.35533905  157.88124084   36.20835495   40.09006119   82.99617767]","[   3.98001313   19.43683624   23.97589302   55.48796844  604.73510742
  135.9679718   222.89212036  146.08261108   68.94816589  282.99188232]",24.5390148163,0,2.0
7,"[   7.31298542   42.36248779   50.39206696  260.04956055   21.24791718
  545.7366333    37.01286697  356.68713379  196.4644928   366.76400757]","[  14.45898151   11.25786304   11.15431499   22.99832344   10.76971245
   33.790905      6.88841724  115.9016571    36.31222916   69.40532684]","[  0.45123896   0.17307051   0.18698908  15.03729916   4.27901936
   3.78174996   4.39516258   0.04424061   5.18607855   2.59192514]","[  21.46436119    4.61963177   10.33515549  224.6583252    37.35533905
  157.88124084   36.20835495   40.09006119   82.99617767   51.50872421]","[  19.43683624   23.97589302   55.48796844  604.73510742  135.9679718
  222.89212036  146.08261108   68.94816589  282.99188232  340.32904053]",24.3869419098,0,2.0
8,"[  42.36248779   50.39206696  260.04956055   21.24791718  545.7366333
   37.01286697  356.68713379  196.4644928   366.76400757  269.91131592]","[  11.25786304   11.15431499   22.99832344   10.76971245   33.790905
    6.88841724  115.9016571    36.31222916   69.40532684   40.50399399]","[  0.17307051   0.18698908  15.03729916   4.27901936   3.78174996
   4.39516258   0.04424061   5.18607855   2.59192514   2.35640883]","[   4.61963177   10.33515549  224.6583252    37.35533905  157.88124084
   36.20835495   40.09006119   82.99617767   51.50872421   48.12193298]","[  23.97589302   55.48796844  604.73510742  135.9679718   222.89212036
  146.08261108   68.94816589  282.99188232  340.32904053  339.15261841]",24.2262420654,0,2.0
9,"[  50.39206696  260.04956055   21.24791718  545.7366333    37.01286697
  356.68713379  196.4644928   366.76400757  269.91131592  207.24069214]","[  11.15431499   22.99832344   10.76971245   33.790905      6.88841724
  115.9016571    36.31222916   69.40532684   40.50399399   74.1557312 ]","[  0.18698908  15.03729916   4.27901936   3.78174996   4.39516258
   0.04424061   5.18607855   2.59192514   2.35640883   1.24319375]","[  10.33515549  224.6583252    37.35533905  157.88124084   36.20835495
   40.09006119   82.99617767   51.50872421   48.12193298  186.36701965]","[  55.48796844  604.73510742  135.9679718   222.89212036  146.08261108
   68.94816589  282.99188232  340.32904053  339.15261841  333.48077393]",24.1243839264,0,2.0
10,"[ 260.04956055   21.24791718  545.7366333    37.01286697  356.68713379
  196.4644928   366.76400757  269.91131592  207.24069214    1.72732794]","[  22.99832344   10.76971245   33.790905      6.88841724  115.9016571
   36.31222916   69.40532684   40.50399399   74.1557312    10.23216343]","[ 15.03729916   4.27901936   3.78174996   4.39516258   0.04424061
   5.18607855   2.59192514   2.35640883   1.24319375   0.3158828 ]","[ 224.6583252    37.35533905  157.88124084   36.20835495   40.09006119
   82.99617767   51.50872421   48.12193298  186.36701965   37.66679001]","[ 604.73510742  135.9679718   222.89212036  146.08261108   68.94816589
  282.99188232  340.32904053  339.15261841  333.48077393  161.00065613]",23.9508419037,0,2.0
11,"[  21.24791718  545.7366333    37.01286697  356.68713379  196.4644928
  366.76400757  269.91131592  207.24069214    1.72732794   93.6105423 ]","[  10.76971245   33.790905      6.88841724  115.9016571    36.31222916
   69.40532684   40.50399399   74.1557312    10.23216343   50.36437988]","[ 4.27901936  3.78174996  4.39516258  0.04424061  5.18607855  2.59192514
  2.35640883  1.24319375  0.3158828   1.06405199]","[  37.35533905  157.88124084   36.20835495   40.09006119   82.99617767
   51.50872421   48.12193298  186.36701965   37.66679001   26.5648098 ]","[ 135.9679718   222.89212036  146.08261108   68.94816589  282.99188232
  340.32904053  339.15261841  333.48077393  161.00065613  251.19825745]",23.7724723816,0,2.0
12,"[ 545.7366333    37.01286697  356.68713379  196.4644928   366.76400757
  269.91131592  207.24069214    1.72732794   93.6105423   100.55968475]","[  33.790905      6.88841724  115.9016571    36.31222916   69.40532684
   40.50399399   74.1557312    10.23216343   50.36437988    2.78777885]","[ 3.78174996  4.39516258  0.04424061  5.18607855  2.59192514  2.35640883
  1.24319375  0.3158828   1.06405199  0.24212067]","[ 157.88124084   36.20835495   40.09006119   82.99617767   51.50872421
   48.12193298  186.36701965   37.66679001   26.5648098   119.84323883]","[ 222.89212036  146.08261108   68.94816589  282.99188232  340.32904053
  339.15261841  333.48077393  161.00065613  251.19825745  328.87332153]",23.5893707275,0,2.0
13,"[  37.01286697  356.68713379  196.4644928   366.76400757  269.91131592
  207.24069214    1.72732794   93.6105423   100.55968475   40.99314117]","[   6.88841724  115.9016571    36.31222916   69.40532684   40.50399399
   74.1557312    10.23216343   50.36437988    2.78777885   21.81272125]","[ 4.39516258  0.04424061  5.18607855  2.59192514  2.35640883  1.24319375
  0.3158828   1.06405199  0.24212067  0.94540846]","[  36.20835495   40.09006119   82.99617767   51.50872421   48.12193298
  186.36701965   37.66679001   26.5648098   119.84323883   13.02271366]","[ 146.08261108   68.94816589  282.99188232  340.32904053  339.15261841
  333.48077393  161.00065613  251.19825745  328.87332153  266.37542725]",23.4031524658,0,2.0
14,"[ 356.68713379  196.4644928   366.76400757  269.91131592  207.24069214
    1.72732794   93.6105423   100.55968475   40.99314117   33.28441238]","[ 115.9016571    36.31222916   69.40532684   40.50399399   74.1557312
   10.23216343   50.36437988    2.78777885   21.81272125   31.98585892]","[ 0.04424061  5.18607855  2.59192514  2.35640883  1.24319375  0.3158828
  1.06405199  0.24212067  0.94540846  0.97184783]","[  40.09006119   82.99617767   51.50872421   48.12193298  186.36701965
   37.66679001   26.5648098   119.84323883   13.02271366   39.51027679]","[  68.94816589  282.99188232  340.32904053  339.15261841  333.48077393
  161.00065613  251.19825745  328.87332153  266.37542725  111.33639526]",23.2130012512,0,2.0
15,"[ 196.4644928   366.76400757  269.91131592  207.24069214    1.72732794
   93.6105423   100.55968475   40.99314117   33.28441238   20.46942711]","[ 36.31222916  69.40532684  40.50399399  74.1557312   10.23216343
  50.36437988   2.78777885  21.81272125  31.98585892  30.26542282]","[ 5.18607855  2.59192514  2.35640883  1.24319375  0.3158828   1.06405199
  0.24212067  0.94540846  0.97184783  1.33339727]","[  82.99617767   51.50872421   48.12193298  186.36701965   37.66679001
   26.5648098   119.84323883   13.02271366   39.51027679   22.76814079]","[ 282.99188232  340.32904053  339.15261841  333.48077393  161.00065613
  251.19825745  328.87332153  266.37542725  111.33639526  220.11785889]",23.0209541321,0,2.0
16,"[ 366.76400757  269.91131592  207.24069214    1.72732794   93.6105423
  100.55968475   40.99314117   33.28441238   20.46942711  137.265625  ]","[ 69.40532684  40.50399399  74.1557312   10.23216343  50.36437988
   2.78777885  21.81272125  31.98585892  30.26542282  26.87039948]","[ 2.59192514  2.35640883  1.24319375  0.3158828   1.06405199  0.24212067
  0.94540846  0.97184783  1.33339727  0.7304734 ]","[  51.50872421   48.12193298  186.36701965   37.66679001   26.5648098
  119.84323883   13.02271366   39.51027679   22.76814079   54.45896149]","[ 340.32904053  339.15261841  333.48077393  161.00065613  251.19825745
  328.87332153  266.37542725  111.33639526  220.11785889  295.28173828]",22.7472801208,0,2.0
17,"[ 269.91131592  207.24069214    1.72732794   93.6105423   100.55968475
   40.99314117   33.28441238   20.46942711  137.265625    379.97433472]","[ 40.50399399  74.1557312   10.23216343  50.36437988   2.78777885
  21.81272125  31.98585892  30.26542282  26.87039948  45.88703918]","[ 2.35640883  1.24319375  0.3158828   1.06405199  0.24212067  0.94540846
  0.97184783  1.33339727  0.7304734   0.69842297]","[  48.12193298  186.36701965   37.66679001   26.5648098   119.84323883
   13.02271366   39.51027679   22.76814079   54.45896149   18.89150047]","[ 339.15261841  333.48077393  161.00065613  251.19825745  328.87332153
  266.37542725  111.33639526  220.11785889  295.28173828  132.32116699]",22.3544826508,0,2.0
18,"[ 207.24069214    1.72732794   93.6105423   100.55968475   40.99314117
   33.28441238   20.46942711  137.265625    379.97433472   34.22838593]","[ 74.1557312   10.23216343  50.36437988   2.78777885  21.81272125
  31.98585892  30.26542282  26.87039948  45.88703918   4.07341576]","[ 1.24319375  0.3158828   1.06405199  0.24212067  0.94540846  0.97184783
  1.33339727  0.7304734   0.69842297  0.48248062]","[ 186.36701965   37.66679001   26.5648098   119.84323883   13.02271366
   39.51027679   22.76814079   54.45896149   18.89150047   82.41326904]","[ 333.48077393  161.00065613  251.19825745  328.87332153  266.37542725
  111.33639526  220.11785889  295.28173828  132.32116699  305.13504028]",22.1526889801,0,2.0
19,"[   1.72732794   93.6105423   100.55968475   40.99314117   33.28441238
   20.46942711  137.265625    379.97433472   34.22838593  193.79702759]","[ 10.23216343  50.36437988   2.78777885  21.81272125  31.98585892
  30.26542282  26.87039948  45.88703918   4.07341576  25.44500542]","[ 0.3158828   1.06405199  0.24212067  0.94540846  0.97184783  1.33339727
  0.7304734   0.69842297  0.48248062  1.1632421 ]","[  37.66679001   26.5648098   119.84323883   13.02271366   39.51027679
   22.76814079   54.45896149   18.89150047   82.41326904  114.57926178]","[ 161.00065613  251.19825745  328.87332153  266.37542725  111.33639526
  220.11785889  295.28173828  132.32116699  305.13504028  309.00976562]",22.0316982269,0,2.0
20,"[  93.6105423   100.55968475   40.99314117   33.28441238   20.46942711
  137.265625    379.97433472   34.22838593  193.79702759  155.91639709]","[ 50.36437988   2.78777885  21.81272125  31.98585892  30.26542282
  26.87039948  45.88703918   4.07341576  25.44500542  45.22745895]","[ 1.06405199  0.24212067  0.94540846  0.97184783  1.33339727  0.7304734
  0.69842297  0.48248062  1.1632421   1.30498874]","[  26.5648098   119.84323883   13.02271366   39.51027679   22.76814079
   54.45896149   18.89150047   82.41326904  114.57926178   78.00154877]","[ 251.19825745  328.87332153  266.37542725  111.33639526  220.11785889
  295.28173828  132.32116699  305.13504028  309.00976562  203.47827148]",21.7461547852,0,2.0
21,"[ 100.55968475   40.99314117   33.28441238   20.46942711  137.265625
  379.97433472   34.22838593  193.79702759  155.91639709   60.6105957 ]","[  2.78777885  21.81272125  31.98585892  30.26542282  26.87039948
  45.88703918   4.07341576  25.44500542  45.22745895  33.27501678]","[ 0.24212067  0.94540846  0.97184783  1.33339727  0.7304734   0.69842297
  0.48248062  1.1632421   1.30498874  0.97605586]","[ 119.84323883   13.02271366   39.51027679   22.76814079   54.45896149
   18.89150047   82.41326904  114.57926178   78.00154877   26.50575066]","[ 328.87332153  266.37542725  111.33639526  220.11785889  295.28173828
  132.32116699  305.13504028  309.00976562  203.47827148  273.76306152]",21.541519165,0,2.0
22,"[  40.99314117   33.28441238   20.46942711  137.265625    379.97433472
   34.22838593  193.79702759  155.91639709   60.6105957    94.61593628]","[ 21.81272125  31.98585892  30.26542282  26.87039948  45.88703918
   4.07341576  25.44500542  45.22745895  33.27501678  10.54752827]","[ 0.94540846  0.97184783  1.33339727  0.7304734   0.69842297  0.48248062
  1.1632421   1.30498874  0.97605586  0.31049666]","[  13.02271366   39.51027679   22.76814079   54.45896149   18.89150047
   82.41326904  114.57926178   78.00154877   26.50575066   49.29368591]","[ 266.37542725  111.33639526  220.11785889  295.28173828  132.32116699
  305.13504028  309.00976562  203.47827148  273.76306152  420.50134277]",21.4178657532,0,2.0
23,"[  33.28441238   20.46942711  137.265625    379.97433472   34.22838593
  193.79702759  155.91639709   60.6105957    94.61593628   99.37645721]","[ 31.98585892  30.26542282  26.87039948  45.88703918   4.07341576
  25.44500542  45.22745895  33.27501678  10.54752827  30.97192764]","[ 0.97184783  1.33339727  0.7304734   0.69842297  0.48248062  1.1632421
  1.30498874  0.97605586  0.31049666  0.56742722]","[  39.51027679   22.76814079   54.45896149   18.89150047   82.41326904
  114.57926178   78.00154877   26.50575066   49.29368591   73.34335327]","[ 111.33639526  220.11785889  295.28173828  132.32116699  305.13504028
  309.00976562  203.47827148  273.76306152  420.50134277  344.86038208]",21.2114810944,0,2.0
24,"[  20.46942711  137.265625    379.97433472   34.22838593  193.79702759
  155.91639709   60.6105957    94.61593628   99.37645721   61.93706894]","[ 30.26542282  26.87039948  45.88703918   4.07341576  25.44500542
  45.22745895  33.27501678  10.54752827  30.97192764  18.71127319]","[ 1.33339727  0.7304734   0.69842297  0.48248062  1.1632421   1.30498874
  0.97605586  0.31049666  0.56742722  0.5986107 ]","[  22.76814079   54.45896149   18.89150047   82.41326904  114.57926178
   78.00154877   26.50575066   49.29368591   73.34335327   15.70486546]","[ 220.11785889  295.28173828  132.32116699  305.13504028  309.00976562
  203.47827148  273.76306152  420.50134277  344.86038208  136.18041992]",21.0048522949,0,2.0
25,"[ 137.265625    379.97433472   34.22838593  193.79702759  155.91639709
   60.6105957    94.61593628   99.37645721   61.93706894  240.68145752]","[ 26.87039948  45.88703918   4.07341576  25.44500542  45.22745895
  33.27501678  10.54752827  30.97192764  18.71127319  25.13847733]","[ 0.7304734   0.69842297  0.48248062  1.1632421   1.30498874  0.97605586
  0.31049666  0.56742722  0.5986107   1.03560495]","[  54.45896149   18.89150047   82.41326904  114.57926178   78.00154877
   26.50575066   49.29368591   73.34335327   15.70486546   43.01127243]","[ 295.28173828  132.32116699  305.13504028  309.00976562  203.47827148
  273.76306152  420.50134277  344.86038208  136.18041992  292.18600464]",20.7140274048,0,2.0
26,"[ 379.97433472   34.22838593  193.79702759  155.91639709   60.6105957
   94.61593628   99.37645721   61.93706894  240.68145752  555.39404297]","[ 45.88703918   4.07341576  25.44500542  45.22745895  33.27501678
  10.54752827  30.97192764  18.71127319  25.13847733  82.02332306]","[ 0.69842297  0.48248062  1.1632421   1.30498874  0.97605586  0.31049666
  0.56742722  0.5986107   1.03560495  1.13823617]","[  18.89150047   82.41326904  114.57926178   78.00154877   26.50575066
   49.29368591   73.34335327   15.70486546   43.01127243   33.69406891]","[ 132.32116699  305.13504028  309.00976562  203.47827148  273.76306152
  420.50134277  344.86038208  136.18041992  292.18600464  358.7130127 ]",20.2950401306,0,2.0
