,activation_0,activation_1,activation_2,activation_3,activation_4,dist,id,vel
0,"[ 18.83855057  15.40310955  26.61254692  75.33193207  12.20310879
  13.37688541  59.71517181   8.46814823   1.21422088  22.17674446]","[  2.31270456   1.84266531   4.80089617  11.14855671   3.43181396
   4.38853121  11.88616562  31.72699928   3.7618556   10.27566719]","[ 1.26963854  0.2570785   1.11513245  0.54253119  0.50558937  0.31599253
  0.35583422  1.14917934  0.77441931  0.42552665]","[  6.04620028   6.27980614  47.20225143   6.78209496  12.74002934
   1.99697626   1.75172794  18.72069931  14.80467796  33.83860779]","[ 12.95893764  42.01576614  49.29523849  33.50047302  44.27120209
  24.99738503  11.83413124   1.98656058  57.35028839  54.91017532]",24.9910240173,0,2.0
1,"[  15.40310955   26.61254692   75.33193207   12.20310879   13.37688541
   59.71517181    8.46814823    1.21422088   22.17674446  186.34089661]","[  1.84266531   4.80089617  11.14855671   3.43181396   4.38853121
  11.88616562  31.72699928   3.7618556   10.27566719  46.48054504]","[ 0.2570785   1.11513245  0.54253119  0.50558937  0.31599253  0.35583422
  1.14917934  0.77441931  0.42552665  8.00625038]","[  6.27980614  47.20225143   6.78209496  12.74002934   1.99697626
   1.75172794  18.72069931  14.80467796  33.83860779  44.35359955]","[  42.01576614   49.29523849   33.50047302   44.27120209   24.99738503
   11.83413124    1.98656058   57.35028839   54.91017532  320.86166382]",24.987323761,0,2.0
2,"[  26.61254692   75.33193207   12.20310879   13.37688541   59.71517181
    8.46814823    1.21422088   22.17674446  186.34089661  190.29670715]","[   4.80089617   11.14855671    3.43181396    4.38853121   11.88616562
   31.72699928    3.7618556    10.27566719   46.48054504  154.14324951]","[ 1.11513245  0.54253119  0.50558937  0.31599253  0.35583422  1.14917934
  0.77441931  0.42552665  8.00625038  7.90894604]","[  47.20225143    6.78209496   12.74002934    1.99697626    1.75172794
   18.72069931   14.80467796   33.83860779   44.35359955  245.53282166]","[  49.29523849   33.50047302   44.27120209   24.99738503   11.83413124
    1.98656058   57.35028839   54.91017532  320.86166382  153.30696106]",24.9714698792,0,2.0
3,"[  75.33193207   12.20310879   13.37688541   59.71517181    8.46814823
    1.21422088   22.17674446  186.34089661  190.29670715  488.64025879]","[  11.14855671    3.43181396    4.38853121   11.88616562   31.72699928
    3.7618556    10.27566719   46.48054504  154.14324951  153.        ]","[  0.54253119   0.50558937   0.31599253   0.35583422   1.14917934
   0.77441931   0.42552665   8.00625038   7.90894604  16.03656197]","[   6.78209496   12.74002934    1.99697626    1.75172794   18.72069931
   14.80467796   33.83860779   44.35359955  245.53282166  192.03523254]","[  33.50047302   44.27120209   24.99738503   11.83413124    1.98656058
   57.35028839   54.91017532  320.86166382  153.30696106  476.86657715]",24.9379520416,0,2.0
4,"[  12.20310879   13.37688541   59.71517181    8.46814823    1.21422088
   22.17674446  186.34089661  190.29670715  488.64025879  112.97158051]","[   3.43181396    4.38853121   11.88616562   31.72699928    3.7618556
   10.27566719   46.48054504  154.14324951  153.           57.80789566]","[  0.50558937   0.31599253   0.35583422   1.14917934   0.77441931
   0.42552665   8.00625038   7.90894604  16.03656197   3.6918776 ]","[  12.74002934    1.99697626    1.75172794   18.72069931   14.80467796
   33.83860779   44.35359955  245.53282166  192.03523254   22.01727295]","[  44.27120209   24.99738503   11.83413124    1.98656058   57.35028839
   54.91017532  320.86166382  153.30696106  476.86657715  355.79629517]",24.8724441528,0,2.0
5,"[  13.37688541   59.71517181    8.46814823    1.21422088   22.17674446
  186.34089661  190.29670715  488.64025879  112.97158051  428.47991943]","[   4.38853121   11.88616562   31.72699928    3.7618556    10.27566719
   46.48054504  154.14324951  153.           57.80789566  115.32566071]","[  0.31599253   0.35583422   1.14917934   0.77441931   0.42552665
   8.00625038   7.90894604  16.03656197   3.6918776   10.843503  ]","[   1.99697626    1.75172794   18.72069931   14.80467796   33.83860779
   44.35359955  245.53282166  192.03523254   22.01727295   34.35531998]","[  24.99738503   11.83413124    1.98656058   57.35028839   54.91017532
  320.86166382  153.30696106  476.86657715  355.79629517  602.17791748]",24.7829017639,0,2.0
6,"[  59.71517181    8.46814823    1.21422088   22.17674446  186.34089661
  190.29670715  488.64025879  112.97158051  428.47991943   23.98668671]","[  11.88616562   31.72699928    3.7618556    10.27566719   46.48054504
  154.14324951  153.           57.80789566  115.32566071    1.74935913]","[  0.35583422   1.14917934   0.77441931   0.42552665   8.00625038
   7.90894604  16.03656197   3.6918776   10.843503     4.14849186]","[   1.75172794   18.72069931   14.80467796   33.83860779   44.35359955
  245.53282166  192.03523254   22.01727295   34.35531998   61.61306763]","[  11.83413124    1.98656058   57.35028839   54.91017532  320.86166382
  153.30696106  476.86657715  355.79629517  602.17791748  195.50205994]",24.6504440308,0,2.0
7,"[   8.46814823    1.21422088   22.17674446  186.34089661  190.29670715
  488.64025879  112.97158051  428.47991943   23.98668671  364.96176147]","[  31.72699928    3.7618556    10.27566719   46.48054504  154.14324951
  153.           57.80789566  115.32566071    1.74935913   80.32553101]","[  1.14917934   0.77441931   0.42552665   8.00625038   7.90894604
  16.03656197   3.6918776   10.843503     4.14849186   5.48007679]","[  18.72069931   14.80467796   33.83860779   44.35359955  245.53282166
  192.03523254   22.01727295   34.35531998   61.61306763  193.37161255]","[   1.98656058   57.35028839   54.91017532  320.86166382  153.30696106
  476.86657715  355.79629517  602.17791748  195.50205994  445.91860962]",24.5096549988,0,2.0
8,"[   1.21422088   22.17674446  186.34089661  190.29670715  488.64025879
  112.97158051  428.47991943   23.98668671  364.96176147  275.95358276]","[   3.7618556    10.27566719   46.48054504  154.14324951  153.
   57.80789566  115.32566071    1.74935913   80.32553101   48.08372879]","[  0.77441931   0.42552665   8.00625038   7.90894604  16.03656197
   3.6918776   10.843503     4.14849186   5.48007679   3.98725724]","[  14.80467796   33.83860779   44.35359955  245.53282166  192.03523254
   22.01727295   34.35531998   61.61306763  193.37161255   53.64734268]","[  57.35028839   54.91017532  320.86166382  153.30696106  476.86657715
  355.79629517  602.17791748  195.50205994  445.91860962  303.82199097]",24.357170105,0,2.0
9,"[  22.17674446  186.34089661  190.29670715  488.64025879  112.97158051
  428.47991943   23.98668671  364.96176147  275.95358276   92.2778244 ]","[  10.27566719   46.48054504  154.14324951  153.           57.80789566
  115.32566071    1.74935913   80.32553101   48.08372879   19.76400185]","[  0.42552665   8.00625038   7.90894604  16.03656197   3.6918776   10.843503
   4.14849186   5.48007679   3.98725724   1.3192625 ]","[  33.83860779   44.35359955  245.53282166  192.03523254   22.01727295
   34.35531998   61.61306763  193.37161255   53.64734268  150.69749451]","[  54.91017532  320.86166382  153.30696106  476.86657715  355.79629517
  602.17791748  195.50205994  445.91860962  303.82199097  367.62103271]",24.1968078613,0,2.0
