,activation_0,activation_1,activation_2,activation_3,activation_4,dist,id,vel
0,"[  50.39201355   26.83990479   36.74220657   16.7100544     4.41262484
   19.42144966    1.92279327  101.1166153    35.02095795   41.67592621]","[ 14.17348003  10.95852852   7.46103048   2.23335838   5.1902566
   3.27527666   3.25501752  20.71054459   3.34583235   7.69314384]","[ 0.38119909  0.63731062  0.21036246  0.47216293  0.19192927  0.42016917
  0.05729808  0.4350225   0.37699595  0.54152161]","[  5.40962648   4.91654587  21.32519913  11.79578876  13.90669918
   3.69769573   8.06825924   3.00628638   8.6969099    6.27468538]","[  5.77912092   7.17679119   3.88339806  14.45780468  14.66910076
   3.75778008  15.90081692   2.58791423   0.09437616  22.25469017]",24.9698944092,0,2.0
1,"[  26.83990479   36.74220657   16.7100544     4.41262484   19.42144966
    1.92279327  101.1166153    35.02095795   41.67592621  569.76483154]","[  10.95852852    7.46103048    2.23335838    5.1902566     3.27527666
    3.25501752   20.71054459    3.34583235    7.69314384  147.71614075]","[ 0.63731062  0.21036246  0.47216293  0.19192927  0.42016917  0.05729808
  0.4350225   0.37699595  0.54152161  7.92205477]","[  4.91654587  21.32519913  11.79578876  13.90669918   3.69769573
   8.06825924   3.00628638   8.6969099    6.27468538   1.49538291]","[  7.17679119   3.88339806  14.45780468  14.66910076   3.75778008
  15.90081692   2.58791423   0.09437616  22.25469017  58.46058273]",24.9614582062,0,2.0
2,"[  36.74220657   16.7100544     4.41262484   19.42144966    1.92279327
  101.1166153    35.02095795   41.67592621  569.76483154   36.96462631]","[   7.46103048    2.23335838    5.1902566     3.27527666    3.25501752
   20.71054459    3.34583235    7.69314384  147.71614075   41.55441284]","[ 0.21036246  0.47216293  0.19192927  0.42016917  0.05729808  0.4350225
  0.37699595  0.54152161  7.92205477  4.07170916]","[ 21.32519913  11.79578876  13.90669918   3.69769573   8.06825924
   3.00628638   8.6969099    6.27468538   1.49538291  77.23871613]","[  3.88339806  14.45780468  14.66910076   3.75778008  15.90081692
   2.58791423   0.09437616  22.25469017  58.46058273   6.59971523]",24.9403381348,0,2.0
3,"[  16.7100544     4.41262484   19.42144966    1.92279327  101.1166153
   35.02095795   41.67592621  569.76483154   36.96462631   35.66336823]","[   2.23335838    5.1902566     3.27527666    3.25501752   20.71054459
    3.34583235    7.69314384  147.71614075   41.55441284   57.27581024]","[  0.47216293   0.19192927   0.42016917   0.05729808   0.4350225
   0.37699595   0.54152161   7.92205477   4.07170916  17.7511673 ]","[  11.79578876   13.90669918    3.69769573    8.06825924    3.00628638
    8.6969099     6.27468538    1.49538291   77.23871613  259.63275146]","[  1.44578047e+01   1.46691008e+01   3.75778008e+00   1.59008169e+01
   2.58791423e+00   9.43761617e-02   2.22546902e+01   5.84605827e+01
   6.59971523e+00   4.26880096e+02]",24.8968830109,0,2.0
4,"[   4.41262484   19.42144966    1.92279327  101.1166153    35.02095795
   41.67592621  569.76483154   36.96462631   35.66336823  260.49533081]","[   5.1902566     3.27527666    3.25501752   20.71054459    3.34583235
    7.69314384  147.71614075   41.55441284   57.27581024  152.45230103]","[  0.19192927   0.42016917   0.05729808   0.4350225    0.37699595
   0.54152161   7.92205477   4.07170916  17.7511673    3.81216693]","[  13.90669918    3.69769573    8.06825924    3.00628638    8.6969099
    6.27468538    1.49538291   77.23871613  259.63275146   85.17347717]","[  1.46691008e+01   3.75778008e+00   1.59008169e+01   2.58791423e+00
   9.43761617e-02   2.22546902e+01   5.84605827e+01   6.59971523e+00
   4.26880096e+02   1.40583649e+02]",24.8182678223,0,2.0
5,"[  19.42144966    1.92279327  101.1166153    35.02095795   41.67592621
  569.76483154   36.96462631   35.66336823  260.49533081  350.30932617]","[   3.27527666    3.25501752   20.71054459    3.34583235    7.69314384
  147.71614075   41.55441284   57.27581024  152.45230103  129.92103577]","[  0.42016917   0.05729808   0.4350225    0.37699595   0.54152161
   7.92205477   4.07170916  17.7511673    3.81216693  12.24085999]","[   3.69769573    8.06825924    3.00628638    8.6969099     6.27468538
    1.49538291   77.23871613  259.63275146   85.17347717  221.60990906]","[  3.75778008e+00   1.59008169e+01   2.58791423e+00   9.43761617e-02
   2.22546902e+01   5.84605827e+01   6.59971523e+00   4.26880096e+02
   1.40583649e+02   5.83755493e+02]",24.7084236145,0,2.0
6,"[   1.92279327  101.1166153    35.02095795   41.67592621  569.76483154
   36.96462631   35.66336823  260.49533081  350.30932617  133.32771301]","[   3.25501752   20.71054459    3.34583235    7.69314384  147.71614075
   41.55441284   57.27581024  152.45230103  129.92103577    0.28989646]","[  0.05729808   0.4350225    0.37699595   0.54152161   7.92205477
   4.07170916  17.7511673    3.81216693  12.24085999   5.84808445]","[   8.06825924    3.00628638    8.6969099     6.27468538    1.49538291
   77.23871613  259.63275146   85.17347717  221.60990906   53.95029449]","[  1.59008169e+01   2.58791423e+00   9.43761617e-02   2.22546902e+01
   5.84605827e+01   6.59971523e+00   4.26880096e+02   1.40583649e+02
   5.83755493e+02   1.53606094e+02]",24.5750198364,0,2.0
7,"[ 101.1166153    35.02095795   41.67592621  569.76483154   36.96462631
   35.66336823  260.49533081  350.30932617  133.32771301  251.48658752]","[  20.71054459    3.34583235    7.69314384  147.71614075   41.55441284
   57.27581024  152.45230103  129.92103577    0.28989646  103.80940247]","[  0.4350225    0.37699595   0.54152161   7.92205477   4.07170916
  17.7511673    3.81216693  12.24085999   5.84808445   2.11266875]","[   3.00628638    8.6969099     6.27468538    1.49538291   77.23871613
  259.63275146   85.17347717  221.60990906   53.95029449  215.72099304]","[  2.58791423e+00   9.43761617e-02   2.22546902e+01   5.84605827e+01
   6.59971523e+00   4.26880096e+02   1.40583649e+02   5.83755493e+02
   1.53606094e+02   3.59989197e+02]",24.4252338409,0,2.0
8,"[  35.02095795   41.67592621  569.76483154   36.96462631   35.66336823
  260.49533081  350.30932617  133.32771301  251.48658752  230.62493896]","[   3.34583235    7.69314384  147.71614075   41.55441284   57.27581024
  152.45230103  129.92103577    0.28989646  103.80940247   83.13654327]","[  0.37699595   0.54152161   7.92205477   4.07170916  17.7511673
   3.81216693  12.24085999   5.84808445   2.11266875  12.35937691]","[   8.6969099     6.27468538    1.49538291   77.23871613  259.63275146
   85.17347717  221.60990906   53.95029449  215.72099304  101.98000336]","[  9.43761617e-02   2.22546902e+01   5.84605827e+01   6.59971523e+00
   4.26880096e+02   1.40583649e+02   5.83755493e+02   1.53606094e+02
   3.59989197e+02   2.72993225e+02]",24.2649078369,0,2.0
9,"[  41.67592621  569.76483154   36.96462631   35.66336823  260.49533081
  350.30932617  133.32771301  251.48658752  230.62493896  208.1627655 ]","[   7.69314384  147.71614075   41.55441284   57.27581024  152.45230103
  129.92103577    0.28989646  103.80940247   83.13654327   58.39971924]","[  0.54152161   7.92205477   4.07170916  17.7511673    3.81216693
  12.24085999   5.84808445   2.11266875  12.35937691   3.64704919]","[   6.27468538    1.49538291   77.23871613  259.63275146   85.17347717
  221.60990906   53.95029449  215.72099304  101.98000336  117.24204254]","[  22.25469017   58.46058273    6.59971523  426.88009644  140.58364868
  583.75549316  153.60609436  359.98919678  272.9932251   267.53295898]",24.0982341766,0,2.0
