,activation,dist,id,vel
0,"[  26.87868118  -73.54639435   48.70846939 -119.88249207   -4.57508707
  -85.01709747   33.88351822  -44.98457718   19.67741776  -78.93659973]",24.9789505005,0,2.0
1,"[  -73.54639435    48.70846939  -119.88249207    -4.57508707   -85.01709747
    33.88351822   -44.98457718    19.67741776   -78.93659973 -2306.45507812]",24.9810714722,0,2.0
2,"[   48.70846939  -119.88249207    -4.57508707   -85.01709747    33.88351822
   -44.98457718    19.67741776   -78.93659973 -2306.45507812   374.47644043]",24.9942188263,0,2.0
3,"[ -119.88249207    -4.57508707   -85.01709747    33.88351822   -44.98457718
    19.67741776   -78.93659973 -2306.45507812   374.47644043   831.07189941]",24.9760036469,0,2.0
4,"[   -4.57508707   -85.01709747    33.88351822   -44.98457718    19.67741776
   -78.93659973 -2306.45507812   374.47644043   831.07189941   618.21618652]",24.8958053589,0,2.0
5,"[  -85.01709747    33.88351822   -44.98457718    19.67741776   -78.93659973
 -2306.45507812   374.47644043   831.07189941   618.21618652  2256.39624023]",24.832326889,0,2.0
6,"[   33.88351822   -44.98457718    19.67741776   -78.93659973 -2306.45507812
   374.47644043   831.07189941   618.21618652  2256.39624023   314.96066284]",24.6773757935,0,2.0
7,"[  -44.98457718    19.67741776   -78.93659973 -2306.45507812   374.47644043
   831.07189941   618.21618652  2256.39624023   314.96066284  1246.0513916 ]",24.5846939087,0,2.0
8,"[   19.67741776   -78.93659973 -2306.45507812   374.47644043   831.07189941
   618.21618652  2256.39624023   314.96066284  1246.0513916   1138.31750488]",24.39037323,0,2.0
9,"[  -78.93659973 -2306.45507812   374.47644043   831.07189941   618.21618652
  2256.39624023   314.96066284  1246.0513916   1138.31750488   866.85406494]",24.2850818634,0,2.0
10,"[-2306.45507812   374.47644043   831.07189941   618.21618652  2256.39624023
   314.96066284  1246.0513916   1138.31750488   866.85406494   513.50476074]",24.1246871948,0,2.0
11,"[  374.47644043   831.07189941   618.21618652  2256.39624023   314.96066284
  1246.0513916   1138.31750488   866.85406494   513.50476074   -10.42184258]",23.9610996246,0,2.0
12,"[  831.07189941   618.21618652  2256.39624023   314.96066284  1246.0513916
  1138.31750488   866.85406494   513.50476074   -10.42184258   657.62652588]",23.7387332916,0,2.0
13,"[  618.21618652  2256.39624023   314.96066284  1246.0513916   1138.31750488
   866.85406494   513.50476074   -10.42184258   657.62652588   422.44790649]",23.622095108,0,2.0
14,"[ 2256.39624023   314.96066284  1246.0513916   1138.31750488   866.85406494
   513.50476074   -10.42184258   657.62652588   422.44790649   664.07971191]",23.4460334778,0,2.0
15,"[  314.96066284  1246.0513916   1138.31750488   866.85406494   513.50476074
   -10.42184258   657.62652588   422.44790649   664.07971191   345.512146  ]",23.2657585144,0,2.0
