,activation,dist,id,vel
0,"[ 19.68543625   9.63166142  37.52874374   6.87130594   0.92289191
   1.96632266  31.24412155  23.44355011   5.78030252   1.03201377]",24.9536781311,0,2.0
1,"[   9.63166142   37.52874374    6.87130594    0.92289191    1.96632266
   31.24412155   23.44355011    5.78030252    1.03201377  585.36358643]",24.9525299072,0,2.0
2,"[  37.52874374    6.87130594    0.92289191    1.96632266   31.24412155
   23.44355011    5.78030252    1.03201377  585.36358643  335.81896973]",24.9368419647,0,2.0
3,"[   6.87130594    0.92289191    1.96632266   31.24412155   23.44355011
    5.78030252    1.03201377  585.36358643  335.81896973    3.20388961]",24.9055995941,0,2.0
4,"[   0.92289191    1.96632266   31.24412155   23.44355011    5.78030252
    1.03201377  585.36358643  335.81896973    3.20388961  138.81532288]",24.8437957764,0,2.0
5,"[   1.96632266   31.24412155   23.44355011    5.78030252    1.03201377
  585.36358643  335.81896973    3.20388961  138.81532288  149.86276245]",24.7481079102,0,2.0
6,"[  31.24412155   23.44355011    5.78030252    1.03201377  585.36358643
  335.81896973    3.20388961  138.81532288  149.86276245   27.3037281 ]",24.6226463318,0,2.0
7,"[  23.44355011    5.78030252    1.03201377  585.36358643  335.81896973
    3.20388961  138.81532288  149.86276245   27.3037281    31.17051506]",24.4788551331,0,2.0
8,"[   5.78030252    1.03201377  585.36358643  335.81896973    3.20388961
  138.81532288  149.86276245   27.3037281    31.17051506  179.91966248]",24.3214454651,0,2.0
9,"[   1.03201377  585.36358643  335.81896973    3.20388961  138.81532288
  149.86276245   27.3037281    31.17051506  179.91966248  339.77932739]",24.1568832397,0,2.0
10,"[ 585.36358643  335.81896973    3.20388961  138.81532288  149.86276245
   27.3037281    31.17051506  179.91966248  339.77932739   33.75751877]",23.9851951599,0,2.0
11,"[ 335.81896973    3.20388961  138.81532288  149.86276245   27.3037281
   31.17051506  179.91966248  339.77932739   33.75751877   14.10568714]",23.8093223572,0,2.0
12,"[   3.20388961  138.81532288  149.86276245   27.3037281    31.17051506
  179.91966248  339.77932739   33.75751877   14.10568714   70.73145294]",23.6280841827,0,2.0
13,"[ 138.81532288  149.86276245   27.3037281    31.17051506  179.91966248
  339.77932739   33.75751877   14.10568714   70.73145294   97.28673553]",23.4433269501,0,2.0
