time,optic_flow,activation,distance,velocity
3.693e+11,"[[[  2.58083936e-08   3.32671632e-08]
  [ -5.35275966e-08   1.32542697e-08]
  [ -8.39335144e-08  -2.54468215e-08]
  ..., 
  [  2.47140724e-06  -2.98750194e-07]
  [  1.65695872e-06  -2.25509282e-07]
  [  5.76299763e-09  -1.73964565e-07]]

 [[ -1.52188420e-07   7.22698843e-08]
  [ -3.45514309e-07   6.32377493e-08]
  [ -3.19393735e-07   3.94942461e-08]
  ..., 
  [  2.93213861e-06  -2.78548157e-07]
  [  1.88944057e-06  -1.81999610e-07]
  [ -1.13142093e-07  -9.13586717e-08]]

 [[ -1.57696277e-07   3.90557702e-08]
  [ -5.11650626e-07   4.12839114e-08]
  [ -5.10235850e-07   3.30917871e-08]
  ..., 
  [  2.64431014e-06  -3.35841776e-07]
  [  1.40129453e-06  -1.29738268e-07]
  [ -8.02463887e-07   5.44593632e-08]]

 ..., 
 [[  3.63714695e-02   6.57705367e-02]
  [  3.08707617e-02   6.12767376e-02]
  [  2.81239245e-02   5.69270067e-02]
  ..., 
  [  3.24379615e-02   1.94395371e-02]
  [  4.37544100e-02   2.29938738e-02]
  [  4.75838520e-02   2.52147224e-02]]

 [[  4.03098315e-02   6.11575283e-02]
  [  3.46261859e-02   5.67389280e-02]
  [  3.17474976e-02   5.32671809e-02]
  ..., 
  [  2.89283358e-02   2.08055601e-02]
  [  4.12621759e-02   2.47533731e-02]
  [  4.57334109e-02   2.69693099e-02]]

 [[  4.49190661e-02   4.68984507e-02]
  [  4.22938615e-02   4.20182273e-02]
  [  3.81099321e-02   3.98579091e-02]
  ..., 
  [  2.19228640e-02   1.52885290e-02]
  [  3.40048000e-02   2.02499591e-02]
  [  3.90929766e-02   2.28735786e-02]]]",19.2207792371,30.0826379905,-0.0479837693274
3.694e+11,"[[[  3.63470326e-06  -4.74680405e-07]
  [  3.65566780e-06  -5.27209693e-07]
  [  4.41992051e-06  -7.01054660e-07]
  ..., 
  [ -5.84414329e-06   7.91992477e-07]
  [ -4.27970645e-06   6.39758980e-07]
  [  2.92769300e-07   2.91100832e-07]]

 [[  5.45686089e-06  -1.88099671e-06]
  [  5.18466186e-06  -2.02232854e-06]
  [  5.67526195e-06  -2.19949879e-06]
  ..., 
  [ -7.42065777e-06   1.24004180e-06]
  [ -5.41867712e-06   1.13722399e-06]
  [  9.11150266e-08   8.02338889e-07]]

 [[  6.20542733e-06  -3.65316441e-06]
  [  5.98208499e-06  -3.90637979e-06]
  [  6.46604667e-06  -3.97615986e-06]
  ..., 
  [ -8.42444115e-06   1.78842913e-06]
  [ -6.16307125e-06   1.75423793e-06]
  [ -3.10894308e-07   1.44466082e-06]]

 ..., 
 [[  1.08658004e+00  -7.27119875e+00]
  [  1.03626227e+00  -7.27862358e+00]
  [  9.76759017e-01  -7.28685093e+00]
  ..., 
  [ -1.27084613e+00  -5.90486240e+00]
  [ -1.26605129e+00  -5.77454758e+00]
  [ -1.38338852e+00  -5.90495634e+00]]

 [[  1.09537613e+00  -7.25960732e+00]
  [  1.05252886e+00  -7.26547194e+00]
  [  9.90316510e-01  -7.27108097e+00]
  ..., 
  [ -1.15843642e+00  -5.48676443e+00]
  [ -1.13884306e+00  -5.35337496e+00]
  [ -1.26073825e+00  -5.51700592e+00]]

 [[  1.14691663e+00  -7.15968418e+00]
  [  1.10935211e+00  -7.15628195e+00]
  [  1.04151154e+00  -7.15796232e+00]
  ..., 
  [ -9.04436290e-01  -4.46558762e+00]
  [ -8.80032182e-01  -4.31964445e+00]
  [ -1.00802493e+00  -4.56247807e+00]]]",-6448.20126784,30.0759341449,0.0610229820013
3.695e+11,"[[[  4.07521293e-06  -9.25682286e-07]
  [  3.60936269e-06  -9.56672011e-07]
  [  3.74079650e-06  -9.14526311e-07]
  ..., 
  [  3.75234936e-06  -1.48130664e-06]
  [  4.48691299e-06  -1.41433497e-06]
  [  4.03661670e-06  -1.48085587e-06]]

 [[  4.99878161e-06  -1.51681593e-06]
  [  4.58742534e-06  -1.56148951e-06]
  [  5.04057107e-06  -1.38174869e-06]
  ..., 
  [  4.85315650e-06  -2.62576509e-06]
  [  5.59646378e-06  -2.59458352e-06]
  [  5.15373904e-06  -2.88172760e-06]]

 [[  5.01167324e-06  -2.05732022e-06]
  [  4.78508855e-06  -2.09483551e-06]
  [  5.41994677e-06  -1.73463729e-06]
  ..., 
  [  5.35253139e-06  -3.81942573e-06]
  [  6.05327523e-06  -3.76976936e-06]
  [  5.62408650e-06  -4.31464878e-06]]

 ..., 
 [[  6.23838663e-01  -2.69189072e+00]
  [  6.14244223e-01  -2.67843127e+00]
  [  5.90933144e-01  -2.65043402e+00]
  ..., 
  [ -6.96528852e-01  -2.44928861e+00]
  [ -6.95196271e-01  -2.33073759e+00]
  [ -6.48905277e-01  -2.19440341e+00]]

 [[  6.40540302e-01  -2.62183309e+00]
  [  6.35261118e-01  -2.61960125e+00]
  [  6.19497657e-01  -2.60786414e+00]
  ..., 
  [ -6.35510564e-01  -2.34811497e+00]
  [ -6.19542897e-01  -2.20164943e+00]
  [ -5.75112343e-01  -2.03277469e+00]]

 [[  6.90417647e-01  -2.54136300e+00]
  [  6.88491344e-01  -2.54755235e+00]
  [  6.75835729e-01  -2.53930402e+00]
  ..., 
  [ -5.55559099e-01  -2.14207482e+00]
  [ -5.24403512e-01  -1.97346151e+00]
  [ -4.62384254e-01  -1.73961556e+00]]]",-2384.39451653,30.0562980069,0.213559389114
3.696e+11,"[[[ -5.87558679e-06   3.82572625e-06]
  [ -5.17458921e-06   3.82329790e-06]
  [ -4.56387579e-06   3.82561984e-06]
  ..., 
  [  5.70711063e-06   1.28592364e-06]
  [  5.81680797e-06   1.22382039e-06]
  [  5.29228146e-06   1.13984345e-06]]

 [[ -7.10771110e-06   5.19999048e-06]
  [ -6.24867334e-06   5.28265355e-06]
  [ -5.55920269e-06   5.25062569e-06]
  ..., 
  [  6.93186257e-06   1.58553507e-06]
  [  7.42977863e-06   1.56730141e-06]
  [  6.88188720e-06   1.46318462e-06]]

 [[ -6.96249799e-06   6.08557957e-06]
  [ -6.30004934e-06   6.21931895e-06]
  [ -5.59883711e-06   6.21261916e-06]
  ..., 
  [  9.43562372e-06   1.59953174e-06]
  [  1.00131783e-05   1.67692792e-06]
  [  9.38047833e-06   1.66241966e-06]]

 ..., 
 [[ -1.27726948e+00   6.81832933e+00]
  [ -1.23599529e+00   6.79140615e+00]
  [ -1.10320175e+00   6.74551773e+00]
  ..., 
  [  8.51282001e-01   6.90572500e+00]
  [  1.02061975e+00   6.68724823e+00]
  [  1.07095969e+00   6.50429153e+00]]

 [[ -1.19362450e+00   6.74495173e+00]
  [ -1.15376878e+00   6.70647287e+00]
  [ -1.04927862e+00   6.64239073e+00]
  ..., 
  [  8.27312231e-01   6.86729050e+00]
  [  9.90749955e-01   6.61125088e+00]
  [  1.01263773e+00   6.37985134e+00]]

 [[ -1.01455569e+00   6.42019129e+00]
  [ -1.01863968e+00   6.36029196e+00]
  [ -9.73113894e-01   6.28306055e+00]
  ..., 
  [  8.16877186e-01   6.82251024e+00]
  [  9.83335912e-01   6.54859591e+00]
  [  9.89420176e-01   6.28061867e+00]]]",6051.89987113,30.0183510765,0.469688922167
3.697e+11,"[[[ -3.46773186e-06   2.10550115e-06]
  [ -3.93356459e-06   1.85166812e-06]
  [ -4.89840841e-06   1.84796227e-06]
  ..., 
  [  5.36084872e-06   3.69309328e-06]
  [  5.59611590e-06   3.31556203e-06]
  [  6.77464323e-06   3.08790391e-06]]

 [[ -5.54389635e-06   3.42456428e-06]
  [ -5.57586918e-06   3.15270177e-06]
  [ -6.21894014e-06   3.15570810e-06]
  ..., 
  [  7.57761063e-06   4.79806977e-06]
  [  8.12664894e-06   4.42816372e-06]
  [  9.75202693e-06   4.15006389e-06]]

 [[ -6.37476387e-06   4.44927218e-06]
  [ -6.18692411e-06   4.18704303e-06]
  [ -6.76841682e-06   4.15345630e-06]
  ..., 
  [  1.01536671e-05   5.31570367e-06]
  [  1.08796139e-05   4.97529709e-06]
  [  1.26551204e-05   4.77994445e-06]]

 ..., 
 [[ -1.44852877e+00   6.37717628e+00]
  [ -1.41058683e+00   6.34500837e+00]
  [ -1.36094439e+00   6.32269526e+00]
  ..., 
  [  1.04738152e+00   5.08270454e+00]
  [  1.16922688e+00   5.19928026e+00]
  [  1.38457906e+00   5.40376234e+00]]

 [[ -1.43863344e+00   6.21892548e+00]
  [ -1.38137662e+00   6.18035126e+00]
  [ -1.32844985e+00   6.15140820e+00]
  ..., 
  [  9.47870255e-01   4.72433949e+00]
  [  1.08820975e+00   4.89309120e+00]
  [  1.28156209e+00   5.10750008e+00]]

 [[ -1.41252685e+00   5.87274885e+00]
  [ -1.33260608e+00   5.79781866e+00]
  [ -1.27786076e+00   5.73913574e+00]
  ..., 
  [  7.88552999e-01   3.98363471e+00]
  [  9.27788019e-01   4.14664173e+00]
  [  1.07227743e+00   4.31111097e+00]]]",5528.92660608,29.9544419209,0.739085018635
3.698e+11,"[[[ -3.71024385e-06   9.22415666e-07]
  [ -4.51861524e-06   1.15840339e-06]
  [ -4.72465535e-06   1.08932659e-06]
  ..., 
  [ -2.56338376e-06   2.04619232e-06]
  [ -2.42592728e-06   2.07144103e-06]
  [ -2.24055111e-06   2.04443472e-06]]

 [[ -4.51513324e-06   1.66534448e-06]
  [ -5.67647294e-06   2.18455534e-06]
  [ -6.07610627e-06   2.16587637e-06]
  ..., 
  [ -1.23135283e-06   3.62030846e-06]
  [ -7.65474340e-07   3.61070238e-06]
  [ -2.52287521e-07   3.38937798e-06]]

 [[ -5.76135926e-06   2.41506746e-06]
  [ -7.21741526e-06   3.14042722e-06]
  [ -7.72182739e-06   3.16073897e-06]
  ..., 
  [ -2.86977127e-07   4.91641049e-06]
  [  2.80237288e-07   4.97941892e-06]
  [  1.20237530e-06   4.56614680e-06]]

 ..., 
 [[ -7.15684712e-01   3.34561968e+00]
  [ -7.10260987e-01   3.35797787e+00]
  [ -7.18044102e-01   3.37691760e+00]
  ..., 
  [  1.05772650e+00   3.01860261e+00]
  [  1.19864845e+00   3.01215744e+00]
  [  1.28902566e+00   3.01041079e+00]]

 [[ -7.10314453e-01   3.34052444e+00]
  [ -7.00760126e-01   3.35847306e+00]
  [ -7.06605494e-01   3.38002729e+00]
  ..., 
  [  1.04767060e+00   2.98349309e+00]
  [  1.17445827e+00   2.96885586e+00]
  [  1.26499116e+00   2.96713543e+00]]

 [[ -7.07577765e-01   3.30491829e+00]
  [ -6.94935441e-01   3.33148193e+00]
  [ -6.97631478e-01   3.35818267e+00]
  ..., 
  [  1.00767338e+00   2.83029723e+00]
  [  1.11573875e+00   2.81122160e+00]
  [  1.20933664e+00   2.81993914e+00]]]",2693.06171505,29.8665315802,0.947935700417
3.699e+11,"[[[ -3.01690284e-06  -1.98732005e-06]
  [ -2.90177786e-06  -2.03294053e-06]
  [ -2.12638884e-06  -1.87623391e-06]
  ..., 
  [ -2.44327612e-06  -4.50061805e-07]
  [ -3.74017100e-06  -3.61852045e-07]
  [ -4.42738519e-06  -3.07094894e-07]]

 [[ -4.35962738e-06  -3.13204168e-06]
  [ -4.19741582e-06  -3.23637710e-06]
  [ -3.17071090e-06  -2.95185987e-06]
  ..., 
  [ -2.76562082e-06  -1.32094090e-06]
  [ -3.90781088e-06  -1.06106540e-06]
  [ -4.59706143e-06  -8.41302437e-07]]

 [[ -5.34591709e-06  -3.74358819e-06]
  [ -5.10172868e-06  -3.94505560e-06]
  [ -3.91989943e-06  -3.70113094e-06]
  ..., 
  [ -3.01984846e-06  -1.81228165e-06]
  [ -3.75889363e-06  -1.46698039e-06]
  [ -4.21210507e-06  -1.16430488e-06]]

 ..., 
 [[ -4.62358862e-01   1.29930389e+00]
  [ -4.79741931e-01   1.28784323e+00]
  [ -4.88824785e-01   1.28703451e+00]
  ..., 
  [  8.75071883e-01   9.87833738e-01]
  [  8.54710877e-01   9.40799177e-01]
  [  8.25658500e-01   8.96513462e-01]]

 [[ -5.01571655e-01   1.32697392e+00]
  [ -5.06393015e-01   1.31101632e+00]
  [ -5.03233433e-01   1.30729127e+00]
  ..., 
  [  8.65444601e-01   9.23074186e-01]
  [  8.25310051e-01   8.73100936e-01]
  [  7.76153147e-01   8.26759100e-01]]

 [[ -5.23412406e-01   1.32859194e+00]
  [ -5.19310594e-01   1.31307518e+00]
  [ -5.04922628e-01   1.30368233e+00]
  ..., 
  [  8.51275384e-01   8.57302904e-01]
  [  7.96503663e-01   8.03524435e-01]
  [  7.29536951e-01   7.50524819e-01]]]",934.82279249,29.7595855957,1.09431111813
3.7e+11,"[[[  3.35270556e-06   9.19529043e-07]
  [  3.53276096e-06   9.05751506e-07]
  [  3.74885008e-06   9.04064223e-07]
  ..., 
  [  1.55876000e-06  -7.77884338e-07]
  [  4.43274843e-07  -1.01324133e-06]
  [ -9.12345570e-07  -8.97388702e-07]]

 [[  4.02502610e-06   1.29636624e-06]
  [  4.43866429e-06   1.19599179e-06]
  [  4.74111266e-06   1.10372071e-06]
  ..., 
  [  1.54098677e-06  -7.92753781e-07]
  [ -9.44691010e-08  -1.06801247e-06]
  [ -1.66014433e-06  -9.84845315e-07]]

 [[  4.89424929e-06   8.31719319e-07]
  [  5.40381689e-06   7.60988996e-07]
  [  5.69090344e-06   6.47946308e-07]
  ..., 
  [  1.10691201e-06  -1.03186699e-06]
  [ -7.23968242e-07  -1.31505760e-06]
  [ -2.31749550e-06  -1.22881420e-06]]

 ..., 
 [[ -5.70750475e-01   8.97030234e-01]
  [ -5.55036545e-01   9.15461361e-01]
  [ -4.80947793e-01   9.15842175e-01]
  ..., 
  [  7.05355704e-01   7.34779119e-01]
  [  7.09324241e-01   7.08475947e-01]
  [  7.38064110e-01   6.78850889e-01]]

 [[ -6.01137280e-01   9.48921323e-01]
  [ -5.61702311e-01   9.58951712e-01]
  [ -4.75775421e-01   9.44076240e-01]
  ..., 
  [  5.86924613e-01   7.07721889e-01]
  [  5.93988657e-01   6.78864777e-01]
  [  6.38912916e-01   6.32282078e-01]]

 [[ -6.09907985e-01   9.66008902e-01]
  [ -5.55311441e-01   9.72565472e-01]
  [ -4.68919903e-01   9.49304044e-01]
  ..., 
  [  4.33830440e-01   6.59551382e-01]
  [  4.32861000e-01   6.32354498e-01]
  [  4.74870443e-01   5.68508983e-01]]]",452.468567609,29.6413377087,1.18801140785
3.701e+11,"[[[  5.18900697e-06   6.80463813e-07]
  [  5.24445659e-06   8.50682284e-07]
  [  4.72277816e-06   8.43412067e-07]
  ..., 
  [ -9.11758036e-07  -1.55118721e-06]
  [  1.29616453e-07  -1.47311573e-06]
  [  2.12588873e-07  -1.23875543e-06]]

 [[  7.32508124e-06   3.58998960e-07]
  [  7.37333221e-06   6.17318335e-07]
  [  6.63630635e-06   6.91239791e-07]
  ..., 
  [ -1.36725100e-06  -1.66392067e-06]
  [  6.16695850e-09  -1.66930556e-06]
  [  2.43572401e-07  -1.50987466e-06]]

 [[  8.08982713e-06   5.54652040e-08]
  [  8.19325851e-06   4.11112836e-07]
  [  7.48323782e-06   5.74939463e-07]
  ..., 
  [ -1.95030384e-06  -1.38593509e-06]
  [ -3.73082599e-07  -1.55905798e-06]
  [ -1.84942248e-08  -1.51388269e-06]]

 ..., 
 [[ -4.51220751e-01   1.11216545e+00]
  [ -4.71168280e-01   1.15508747e+00]
  [ -4.56063837e-01   1.19421268e+00]
  ..., 
  [  8.38442683e-01   1.01419592e+00]
  [  8.80183280e-01   1.04693210e+00]
  [  9.31313396e-01   1.05191541e+00]]

 [[ -4.18041825e-01   1.08422816e+00]
  [ -4.56817150e-01   1.13831818e+00]
  [ -4.48885620e-01   1.17096019e+00]
  ..., 
  [  7.54253328e-01   9.35239971e-01]
  [  7.64604688e-01   9.32383001e-01]
  [  7.66328037e-01   8.97840559e-01]]

 [[ -3.91373932e-01   1.02721894e+00]
  [ -4.51302141e-01   1.09250629e+00]
  [ -4.56723809e-01   1.13399613e+00]
  ..., 
  [  5.95802903e-01   7.54922986e-01]
  [  5.77611864e-01   7.13838875e-01]
  [  5.42591512e-01   6.49178088e-01]]]",672.315200455,29.5138604922,1.24812793732
3.702e+11,"[[[  1.86729142e-06  -3.20783698e-07]
  [  1.47400635e-06  -5.24139750e-07]
  [  1.21356106e-06  -6.15918054e-07]
  ..., 
  [ -3.86687771e-06   1.31036779e-06]
  [ -4.62307253e-06   1.37472057e-06]
  [ -4.75417619e-06   1.24982785e-06]]

 [[  2.34508093e-06  -3.98373572e-07]
  [  1.95903294e-06  -7.38515098e-07]
  [  1.74691763e-06  -8.62602121e-07]
  ..., 
  [ -5.68074029e-06   2.15144883e-06]
  [ -6.94322580e-06   2.26613815e-06]
  [ -7.88911893e-06   2.16174362e-06]]

 [[  2.21767914e-06  -5.46715000e-07]
  [  1.88265324e-06  -1.06510413e-06]
  [  1.88494994e-06  -1.15878242e-06]
  ..., 
  [ -7.07151003e-06   2.91205583e-06]
  [ -9.06538116e-06   3.00091665e-06]
  [ -1.05725303e-05   2.81299799e-06]]

 ..., 
 [[ -7.39824295e-01   1.60269916e+00]
  [ -7.30110765e-01   1.58722258e+00]
  [ -7.17970788e-01   1.57276905e+00]
  ..., 
  [  7.75692225e-01   1.51806998e+00]
  [  7.97801018e-01   1.46653843e+00]
  [  7.96429217e-01   1.38629103e+00]]

 [[ -6.89439833e-01   1.71666622e+00]
  [ -6.93106532e-01   1.68876278e+00]
  [ -6.91098332e-01   1.66162491e+00]
  ..., 
  [  6.86441422e-01   1.42836750e+00]
  [  6.98621273e-01   1.36509538e+00]
  [  6.84036851e-01   1.25407064e+00]]

 [[ -6.54911339e-01   1.78179312e+00]
  [ -6.64681852e-01   1.76637292e+00]
  [ -6.59846842e-01   1.74275923e+00]
  ..., 
  [  5.05414963e-01   1.19913387e+00]
  [  5.00534296e-01   1.13581371e+00]
  [  4.82414275e-01   1.02656066e+00]]]",1087.08530836,29.3824407922,1.29259538651
