,activation,distance,fov_x,velocity
0,0.316519676399,1.8,30,3.07
1,0.625833569371,1.83,120,4.13
2,0.325274127414,2.07,120,2.01
3,0.293209209155,2.07,90,2.01
4,0.203572227495,2.07,30,2.01
5,0.386426308682,1.8,60,3.07
6,0.559978739237,1.83,90,4.13
7,0.131214427152,1.98,90,1.0
8,0.248232796865,2.07,60,2.01
9,0.493443493561,1.83,e-general,4.13
10,0.0842843463762,1.98,30,1.0
11,0.445688037427,1.8,90,3.07
12,0.149596628997,1.98,120,1.0
13,0.40367604244,1.83,30,4.13
14,0.110908516519,1.98,60,1.0
15,0.536101636965,1.8,120,3.07
16,0.493443493561,1.83,60,4.13
