,activation_0,activation_1,dist,id,vel,"('activation_2',)"
0,"[ 28.61728859   2.35587049  25.06099129  35.94752121  20.97683334
   9.62072468  27.64809608   1.11781096  34.0166626   13.53224373]","[ 1.36567354  0.29227355  0.71479017  1.51575243  0.17782909  2.06973171
  0.23734534  0.00484197  0.70148212  0.14897653]",24.9922866821,0,2.0,"[  4.8932848   26.38902855  26.45769691  20.27015686  13.42278576
  29.6125164   13.19534302   4.30142784  20.21100998  40.33312225]"
1,"[   2.35587049   25.06099129   35.94752121   20.97683334    9.62072468
   27.64809608    1.11781096   34.0166626    13.53224373  299.6892395 ]","[  2.92273551e-01   7.14790165e-01   1.51575243e+00   1.77829087e-01
   2.06973171e+00   2.37345338e-01   4.84197401e-03   7.01482117e-01
   1.48976535e-01   2.29141846e+01]",24.9874897003,0,2.0,"[  26.38902855   26.45769691   20.27015686   13.42278576   29.6125164
   13.19534302    4.30142784   20.21100998   40.33312225  911.33996582]"
2,"[  25.06099129   35.94752121   20.97683334    9.62072468   27.64809608
    1.11781096   34.0166626    13.53224373  299.6892395     0.71840858]","[  7.14790165e-01   1.51575243e+00   1.77829087e-01   2.06973171e+00
   2.37345338e-01   4.84197401e-03   7.01482117e-01   1.48976535e-01
   2.29141846e+01   9.73025322e+00]",24.9694576263,0,2.0,"[  26.45769691   20.27015686   13.42278576   29.6125164    13.19534302
    4.30142784   20.21100998   40.33312225  911.33996582  202.46324158]"
3,"[  35.94752121   20.97683334    9.62072468   27.64809608    1.11781096
   34.0166626    13.53224373  299.6892395     0.71840858  146.03767395]","[  1.51575243e+00   1.77829087e-01   2.06973171e+00   2.37345338e-01
   4.84197401e-03   7.01482117e-01   1.48976535e-01   2.29141846e+01
   9.73025322e+00   3.10871601e+01]",24.9349384308,0,2.0,"[  20.27015686   13.42278576   29.6125164    13.19534302    4.30142784
   20.21100998   40.33312225  911.33996582  202.46324158  273.93615723]"
4,"[  20.97683334    9.62072468   27.64809608    1.11781096   34.0166626
   13.53224373  299.6892395     0.71840858  146.03767395   47.95324326]","[  1.77829087e-01   2.06973171e+00   2.37345338e-01   4.84197401e-03
   7.01482117e-01   1.48976535e-01   2.29141846e+01   9.73025322e+00
   3.10871601e+01   6.48522711e+00]",24.8683128357,0,2.0,"[  13.42278576   29.6125164    13.19534302    4.30142784   20.21100998
   40.33312225  911.33996582  202.46324158  273.93615723  242.50045776]"
5,"[   9.62072468   27.64809608    1.11781096   34.0166626    13.53224373
  299.6892395     0.71840858  146.03767395   47.95324326  623.92108154]","[  2.06973171e+00   2.37345338e-01   4.84197401e-03   7.01482117e-01
   1.48976535e-01   2.29141846e+01   9.73025322e+00   3.10871601e+01
   6.48522711e+00   5.63905191e+00]",24.7689266205,0,2.0,"[  29.6125164    13.19534302    4.30142784   20.21100998   40.33312225
  911.33996582  202.46324158  273.93615723  242.50045776   50.30635071]"
6,"[  27.64809608    1.11781096   34.0166626    13.53224373  299.6892395
    0.71840858  146.03767395   47.95324326  623.92108154  158.76850891]","[  2.37345338e-01   4.84197401e-03   7.01482117e-01   1.48976535e-01
   2.29141846e+01   9.73025322e+00   3.10871601e+01   6.48522711e+00
   5.63905191e+00   2.09429359e+01]",24.6439151764,0,2.0,"[  13.19534302    4.30142784   20.21100998   40.33312225  911.33996582
  202.46324158  273.93615723  242.50045776   50.30635071  451.00158691]"
7,"[   1.11781096   34.0166626    13.53224373  299.6892395     0.71840858
  146.03767395   47.95324326  623.92108154  158.76850891    1.70315003]","[  4.84197401e-03   7.01482117e-01   1.48976535e-01   2.29141846e+01
   9.73025322e+00   3.10871601e+01   6.48522711e+00   5.63905191e+00
   2.09429359e+01   4.07727385e+00]",24.5004081726,0,2.0,"[   4.30142784   20.21100998   40.33312225  911.33996582  202.46324158
  273.93615723  242.50045776   50.30635071  451.00158691  312.48324585]"
8,"[  34.0166626    13.53224373  299.6892395     0.71840858  146.03767395
   47.95324326  623.92108154  158.76850891    1.70315003  301.8288269 ]","[  0.70148212   0.14897653  22.91418457   9.73025322  31.08716011
   6.48522711   5.63905191  20.94293594   4.07727385   1.22964025]",24.3451213837,0,2.0,"[  20.21100998   40.33312225  911.33996582  202.46324158  273.93615723
  242.50045776   50.30635071  451.00158691  312.48324585  267.28213501]"
9,"[  13.53224373  299.6892395     0.71840858  146.03767395   47.95324326
  623.92108154  158.76850891    1.70315003  301.8288269   188.08628845]","[  0.14897653  22.91418457   9.73025322  31.08716011   6.48522711
   5.63905191  20.94293594   4.07727385   1.22964025  22.56692886]",24.1824150085,0,2.0,"[  40.33312225  911.33996582  202.46324158  273.93615723  242.50045776
   50.30635071  451.00158691  312.48324585  267.28213501  267.6293335 ]"
