,activation_0,activation_1,dist,id,vel,"('activation_2',)"
0,"[   7.45693016   23.8236866    29.37693596   28.57247543  102.54650116
    9.96594048   64.85366821   76.21546936   73.70313263   53.82906342]","[ 4.65844917  3.61949539  0.2869556   8.3457756   9.90744972  0.26938885
  3.48974037  1.22216117  7.41214991  2.82541847]",24.9455184937,0,2.0,"[ 50.22067642  63.39805603  33.2315712   26.66617775  11.10005283
  30.34331703  15.17942238  58.57134247  79.35614777  37.36137009]"
1,"[  23.8236866    29.37693596   28.57247543  102.54650116    9.96594048
   64.85366821   76.21546936   73.70313263   53.82906342  121.32949829]","[  3.61949539   0.2869556    8.3457756    9.90744972   0.26938885
   3.48974037   1.22216117   7.41214991   2.82541847  17.17181587]",24.9381999969,0,2.0,"[  63.39805603   33.2315712    26.66617775   11.10005283   30.34331703
   15.17942238   58.57134247   79.35614777   37.36137009  536.8939209 ]"
2,"[  29.37693596   28.57247543  102.54650116    9.96594048   64.85366821
   76.21546936   73.70313263   53.82906342  121.32949829  255.15026855]","[  0.2869556    8.3457756    9.90744972   0.26938885   3.48974037
   1.22216117   7.41214991   2.82541847  17.17181587   6.17910004]",24.9169483185,0,2.0,"[  33.2315712    26.66617775   11.10005283   30.34331703   15.17942238
   58.57134247   79.35614777   37.36137009  536.8939209   641.18743896]"
3,"[  28.57247543  102.54650116    9.96594048   64.85366821   76.21546936
   73.70313263   53.82906342  121.32949829  255.15026855  455.18927002]","[  8.3457756    9.90744972   0.26938885   3.48974037   1.22216117
   7.41214991   2.82541847  17.17181587   6.17910004  24.95392799]",24.8739814758,0,2.0,"[  26.66617775   11.10005283   30.34331703   15.17942238   58.57134247
   79.35614777   37.36137009  536.8939209   641.18743896  570.37689209]"
4,"[ 102.54650116    9.96594048   64.85366821   76.21546936   73.70313263
   53.82906342  121.32949829  255.15026855  455.18927002  184.27145386]","[  9.90744972   0.26938885   3.48974037   1.22216117   7.41214991
   2.82541847  17.17181587   6.17910004  24.95392799  43.32008743]",24.7965335846,0,2.0,"[  11.10005283   30.34331703   15.17942238   58.57134247   79.35614777
   37.36137009  536.8939209   641.18743896  570.37689209  204.81697083]"
5,"[   9.96594048   64.85366821   76.21546936   73.70313263   53.82906342
  121.32949829  255.15026855  455.18927002  184.27145386  228.00688171]","[  0.26938885   3.48974037   1.22216117   7.41214991   2.82541847
  17.17181587   6.17910004  24.95392799  43.32008743  54.08995819]",24.6888160706,0,2.0,"[  30.34331703   15.17942238   58.57134247   79.35614777   37.36137009
  536.8939209   641.18743896  570.37689209  204.81697083   25.99730682]"
6,"[  64.85366821   76.21546936   73.70313263   53.82906342  121.32949829
  255.15026855  455.18927002  184.27145386  228.00688171  183.12677002]","[  3.48974037   1.22216117   7.41214991   2.82541847  17.17181587
   6.17910004  24.95392799  43.32008743  54.08995819  31.70438957]",24.5522994995,0,2.0,"[  15.17942238   58.57134247   79.35614777   37.36137009  536.8939209
  641.18743896  570.37689209  204.81697083   25.99730682   97.14627838]"
7,"[  76.21546936   73.70313263   53.82906342  121.32949829  255.15026855
  455.18927002  184.27145386  228.00688171  183.12677002  199.82780457]","[  1.22216117   7.41214991   2.82541847  17.17181587   6.17910004
  24.95392799  43.32008743  54.08995819  31.70438957  29.91305161]",24.4012641907,0,2.0,"[  58.57134247   79.35614777   37.36137009  536.8939209   641.18743896
  570.37689209  204.81697083   25.99730682   97.14627838  671.24761963]"
8,"[  73.70313263   53.82906342  121.32949829  255.15026855  455.18927002
  184.27145386  228.00688171  183.12677002  199.82780457  116.57722473]","[  7.41214991   2.82541847  17.17181587   6.17910004  24.95392799
  43.32008743  54.08995819  31.70438957  29.91305161  13.52239037]",24.238615036,0,2.0,"[  79.35614777   37.36137009  536.8939209   641.18743896  570.37689209
  204.81697083   25.99730682   97.14627838  671.24761963  326.00097656]"
9,"[  53.82906342  121.32949829  255.15026855  455.18927002  184.27145386
  228.00688171  183.12677002  199.82780457  116.57722473   95.50936127]","[  2.82541847  17.17181587   6.17910004  24.95392799  43.32008743
  54.08995819  31.70438957  29.91305161  13.52239037  20.08397293]",24.0702610016,0,2.0,"[  37.36137009  536.8939209   641.18743896  570.37689209  204.81697083
   25.99730682   97.14627838  671.24761963  326.00097656  328.95159912]"
