,activation_0,activation_1,activation_2,dist,id,vel
0,"[ 86.70265961   2.67574215   2.42542291  25.96544647  12.19526672
  17.4927597   29.30148888   0.40669116  10.83119678  40.10881042]","[ 1.88877714  0.06160724  0.96815521  2.99966335  1.08489811  1.98466229
  0.10621636  0.32127258  2.31295609  1.15454936]","[ 24.8754673   20.896101     7.57655954  28.84126282  14.47620678
   6.107903     4.43321466  12.40947723  19.11328506  24.66391563]",24.9542751312,0,2.0
1,"[  2.67574215   2.42542291  25.96544647  12.19526672  17.4927597
  29.30148888   0.40669116  10.83119678  40.10881042  29.09599686]","[  0.06160724   0.96815521   2.99966335   1.08489811   1.98466229
   0.10621636   0.32127258   2.31295609   1.15454936  26.28261948]","[  20.896101      7.57655954   28.84126282   14.47620678    6.107903
    4.43321466   12.40947723   19.11328506   24.66391563  291.46035767]",24.9531936646,0,2.0
2,"[  2.42542291e+00   2.59654465e+01   1.21952667e+01   1.74927597e+01
   2.93014889e+01   4.06691164e-01   1.08311968e+01   4.01088104e+01
   2.90959969e+01   6.16125488e+02]","[  0.96815521   2.99966335   1.08489811   1.98466229   0.10621636
   0.32127258   2.31295609   1.15454936  26.28261948  30.6337719 ]","[   7.57655954   28.84126282   14.47620678    6.107903      4.43321466
   12.40947723   19.11328506   24.66391563  291.46035767  494.61691284]",24.9391117096,0,2.0
3,"[  2.59654465e+01   1.21952667e+01   1.74927597e+01   2.93014889e+01
   4.06691164e-01   1.08311968e+01   4.01088104e+01   2.90959969e+01
   6.16125488e+02   5.82057495e+02]","[  2.99966335   1.08489811   1.98466229   0.10621636   0.32127258
   2.31295609   1.15454936  26.28261948  30.6337719   50.85548782]","[  28.84126282   14.47620678    6.107903      4.43321466   12.40947723
   19.11328506   24.66391563  291.46035767  494.61691284  192.66874695]",24.9051055908,0,2.0
4,"[  1.21952667e+01   1.74927597e+01   2.93014889e+01   4.06691164e-01
   1.08311968e+01   4.01088104e+01   2.90959969e+01   6.16125488e+02
   5.82057495e+02   7.63918518e+02]","[  1.08489811   1.98466229   0.10621636   0.32127258   2.31295609
   1.15454936  26.28261948  30.6337719   50.85548782   4.47167587]","[  14.47620678    6.107903      4.43321466   12.40947723   19.11328506
   24.66391563  291.46035767  494.61691284  192.66874695  255.397995  ]",24.839509964,0,2.0
5,"[  1.74927597e+01   2.93014889e+01   4.06691164e-01   1.08311968e+01
   4.01088104e+01   2.90959969e+01   6.16125488e+02   5.82057495e+02
   7.63918518e+02   3.13884888e+02]","[  1.98466229   0.10621636   0.32127258   2.31295609   1.15454936
  26.28261948  30.6337719   50.85548782   4.47167587  97.97637177]","[   6.107903      4.43321466   12.40947723   19.11328506   24.66391563
  291.46035767  494.61691284  192.66874695  255.397995    865.57696533]",24.7392578125,0,2.0
6,"[  2.93014889e+01   4.06691164e-01   1.08311968e+01   4.01088104e+01
   2.90959969e+01   6.16125488e+02   5.82057495e+02   7.63918518e+02
   3.13884888e+02   2.25675644e+02]","[  0.10621636   0.32127258   2.31295609   1.15454936  26.28261948
  30.6337719   50.85548782   4.47167587  97.97637177   4.70011139]","[   4.43321466   12.40947723   19.11328506   24.66391563  291.46035767
  494.61691284  192.66874695  255.397995    865.57696533  343.27523804]",24.6128101349,0,2.0
7,"[  4.06691164e-01   1.08311968e+01   4.01088104e+01   2.90959969e+01
   6.16125488e+02   5.82057495e+02   7.63918518e+02   3.13884888e+02
   2.25675644e+02   4.08356079e+02]","[  0.32127258   2.31295609   1.15454936  26.28261948  30.6337719
  50.85548782   4.47167587  97.97637177   4.70011139  54.03128052]","[  12.40947723   19.11328506   24.66391563  291.46035767  494.61691284
  192.66874695  255.397995    865.57696533  343.27523804  506.85681152]",24.4672298431,0,2.0
8,"[  10.83119678   40.10881042   29.09599686  616.12548828  582.05749512
  763.91851807  313.8848877   225.67564392  408.3560791   338.35919189]","[  2.31295609   1.15454936  26.28261948  30.6337719   50.85548782
   4.47167587  97.97637177   4.70011139  54.03128052  39.38377762]","[  19.11328506   24.66391563  291.46035767  494.61691284  192.66874695
  255.397995    865.57696533  343.27523804  506.85681152  349.1725769 ]",24.2910137177,0,2.0
9,"[  40.10881042   29.09599686  616.12548828  582.05749512  763.91851807
  313.8848877   225.67564392  408.3560791   338.35919189  294.70135498]","[  1.15454936  26.28261948  30.6337719   50.85548782   4.47167587
  97.97637177   4.70011139  54.03128052  39.38377762  37.14335251]","[  24.66391563  291.46035767  494.61691284  192.66874695  255.397995
  865.57696533  343.27523804  506.85681152  349.1725769   266.53729248]",24.1248588562,0,2.0
