,activation_0,activation_1,activation_2,dist,id,vel
0,"[ 19.77338219  10.30077744  21.54258728  17.23228455  17.76602745
  28.34305573  19.3126297   28.60342407   2.51893067  65.70488739]","[ 3.57296681  0.27750424  3.10646152  0.98951662  0.89262271  0.1519013
  0.42397508  0.50507593  0.14115597  1.88225055]","[ 82.24975586  14.31440735  43.36790848  22.42957687  15.59132671
   2.35046625  17.10939789  23.35837173  33.88374329  22.98127937]",24.9591732025,0,2.0
1,"[  10.30077744   21.54258728   17.23228455   17.76602745   28.34305573
   19.3126297    28.60342407    2.51893067   65.70488739  116.89798737]","[  0.27750424   3.10646152   0.98951662   0.89262271   0.1519013
   0.42397508   0.50507593   0.14115597   1.88225055  38.20019531]","[  14.31440735   43.36790848   22.42957687   15.59132671    2.35046625
   17.10939789   23.35837173   33.88374329   22.98127937  111.43087006]",24.9320335388,0,2.0
2,"[  21.54258728   17.23228455   17.76602745   28.34305573   19.3126297
   28.60342407    2.51893067   65.70488739  116.89798737  238.44607544]","[  3.10646152   0.98951662   0.89262271   0.1519013    0.42397508
   0.50507593   0.14115597   1.88225055  38.20019531  34.66275787]","[  43.36790848   22.42957687   15.59132671    2.35046625   17.10939789
   23.35837173   33.88374329   22.98127937  111.43087006   33.88341141]",24.8901882172,0,2.0
3,"[  17.23228455   17.76602745   28.34305573   19.3126297    28.60342407
    2.51893067   65.70488739  116.89798737  238.44607544  638.5668335 ]","[  0.98951662   0.89262271   0.1519013    0.42397508   0.50507593
   0.14115597   1.88225055  38.20019531  34.66275787   4.95091867]","[  22.42957687   15.59132671    2.35046625   17.10939789   23.35837173
   33.88374329   22.98127937  111.43087006   33.88341141  236.76657104]",24.8112030029,0,2.0
4,"[  17.76602745   28.34305573   19.3126297    28.60342407    2.51893067
   65.70488739  116.89798737  238.44607544  638.5668335   104.56170654]","[  0.89262271   0.1519013    0.42397508   0.50507593   0.14115597
   1.88225055  38.20019531  34.66275787   4.95091867  29.65095901]","[  15.59132671    2.35046625   17.10939789   23.35837173   33.88374329
   22.98127937  111.43087006   33.88341141  236.76657104  407.03146362]",24.7019023895,0,2.0
5,"[  28.34305573   19.3126297    28.60342407    2.51893067   65.70488739
  116.89798737  238.44607544  638.5668335   104.56170654  136.77020264]","[  0.1519013    0.42397508   0.50507593   0.14115597   1.88225055
  38.20019531  34.66275787   4.95091867  29.65095901  15.80425262]","[   2.35046625   17.10939789   23.35837173   33.88374329   22.98127937
  111.43087006   33.88341141  236.76657104  407.03146362  399.55786133]",24.5678749084,0,2.0
6,"[  19.3126297    28.60342407    2.51893067   65.70488739  116.89798737
  238.44607544  638.5668335   104.56170654  136.77020264  749.65600586]","[  0.42397508   0.50507593   0.14115597   1.88225055  38.20019531
  34.66275787   4.95091867  29.65095901  15.80425262  31.58639908]","[  17.10939789   23.35837173   33.88374329   22.98127937  111.43087006
   33.88341141  236.76657104  407.03146362  399.55786133  821.86413574]",24.2576255798,0,2.0
7,"[  28.60342407    2.51893067   65.70488739  116.89798737  238.44607544
  638.5668335   104.56170654  136.77020264  749.65600586  247.8614502 ]","[  0.50507593   0.14115597   1.88225055  38.20019531  34.66275787
   4.95091867  29.65095901  15.80425262  31.58639908   6.78731871]","[  23.35837173   33.88374329   22.98127937  111.43087006   33.88341141
  236.76657104  407.03146362  399.55786133  821.86413574  266.18017578]",24.0916881561,0,2.0
8,"[   2.51893067   65.70488739  116.89798737  238.44607544  638.5668335
  104.56170654  136.77020264  749.65600586  247.8614502    96.95055389]","[  0.14115597   1.88225055  38.20019531  34.66275787   4.95091867
  29.65095901  15.80425262  31.58639908   6.78731871   0.20441617]","[  33.88374329   22.98127937  111.43087006   33.88341141  236.76657104
  407.03146362  399.55786133  821.86413574  266.18017578  181.75198364]",23.9174880981,0,2.0
9,"[  65.70488739  116.89798737  238.44607544  638.5668335   104.56170654
  136.77020264  749.65600586  247.8614502    96.95055389  389.15548706]","[  1.88225055  38.20019531  34.66275787   4.95091867  29.65095901
  15.80425262  31.58639908   6.78731871   0.20441617  11.17239094]","[  22.98127937  111.43087006   33.88341141  236.76657104  407.03146362
  399.55786133  821.86413574  266.18017578  181.75198364  222.58512878]",23.5552482605,0,2.0
10,"[ 116.89798737  238.44607544  638.5668335   104.56170654  136.77020264
  749.65600586  247.8614502    96.95055389  389.15548706  316.93502808]","[ 38.20019531  34.66275787   4.95091867  29.65095901  15.80425262
  31.58639908   6.78731871   0.20441617  11.17239094   2.84533882]","[ 111.43087006   33.88341141  236.76657104  407.03146362  399.55786133
  821.86413574  266.18017578  181.75198364  222.58512878  138.22172546]",23.1773643494,0,2.0
11,"[ 238.44607544  638.5668335   104.56170654  136.77020264  749.65600586
  247.8614502    96.95055389  389.15548706  316.93502808   48.90427399]","[ 34.66275787   4.95091867  29.65095901  15.80425262  31.58639908
   6.78731871   0.20441617  11.17239094   2.84533882   3.52338672]","[  33.88341141  236.76657104  407.03146362  399.55786133  821.86413574
  266.18017578  181.75198364  222.58512878  138.22172546   91.80010223]",22.9843177795,0,2.0
12,"[ 638.5668335   104.56170654  136.77020264  749.65600586  247.8614502
   96.95055389  389.15548706  316.93502808   48.90427399  657.84405518]","[  4.95091867  29.65095901  15.80425262  31.58639908   6.78731871
   0.20441617  11.17239094   2.84533882   3.52338672   2.47497678]","[ 236.76657104  407.03146362  399.55786133  821.86413574  266.18017578
  181.75198364  222.58512878  138.22172546   91.80010223  115.88782501]",22.5912494659,0,2.0
13,"[ 104.56170654  136.77020264  749.65600586  247.8614502    96.95055389
  389.15548706  316.93502808   48.90427399  657.84405518  326.53466797]","[ 29.65095901  15.80425262  31.58639908   6.78731871   0.20441617
  11.17239094   2.84533882   3.52338672   2.47497678   8.03503895]","[ 407.03146362  399.55786133  821.86413574  266.18017578  181.75198364
  222.58512878  138.22172546   91.80010223  115.88782501   33.1947403 ]",22.1912269592,0,2.0
