,activation_0,activation_1,activation_2,dist,id,vel
0,"[  23.38422203   43.23480606   69.45742798    7.67074776    1.13367891
  102.57618713   10.51495838   68.63708496   39.44528198   43.30433655]","[ 0.86755794  0.33652899  1.64558017  0.2636227   0.45633563  0.96169776
  0.44704509  3.71497202  0.19175611  1.68465817]","[  7.81309032  39.054245     0.96651739  12.38899899  26.58793259
  35.2656517   14.51494598  34.04447174   6.59684515  14.15875244]",24.9916038513,0,2.0
1,"[  43.23480606   69.45742798    7.67074776    1.13367891  102.57618713
   10.51495838   68.63708496   39.44528198   43.30433655  649.64886475]","[  0.33652899   1.64558017   0.2636227    0.45633563   0.96169776
   0.44704509   3.71497202   0.19175611   1.68465817  30.53837585]","[  39.054245      0.96651739   12.38899899   26.58793259   35.2656517
   14.51494598   34.04447174    6.59684515   14.15875244  268.41064453]",24.9853954315,0,2.0
2,"[  69.45742798    7.67074776    1.13367891  102.57618713   10.51495838
   68.63708496   39.44528198   43.30433655  649.64886475  145.16023254]","[  1.64558017   0.2636227    0.45633563   0.96169776   0.44704509
   3.71497202   0.19175611   1.68465817  30.53837585   9.43567467]","[   0.96651739   12.38899899   26.58793259   35.2656517    14.51494598
   34.04447174    6.59684515   14.15875244  268.41064453    0.36460537]",24.9661693573,0,2.0
3,"[   7.67074776    1.13367891  102.57618713   10.51495838   68.63708496
   39.44528198   43.30433655  649.64886475  145.16023254  511.31561279]","[  0.2636227    0.45633563   0.96169776   0.44704509   3.71497202
   0.19175611   1.68465817  30.53837585   9.43567467  32.77918243]","[  12.38899899   26.58793259   35.2656517    14.51494598   34.04447174
    6.59684515   14.15875244  268.41064453    0.36460537  291.07791138]",24.9286632538,0,2.0
4,"[   1.13367891  102.57618713   10.51495838   68.63708496   39.44528198
   43.30433655  649.64886475  145.16023254  511.31561279  678.59661865]","[  0.45633563   0.96169776   0.44704509   3.71497202   0.19175611
   1.68465817  30.53837585   9.43567467  32.77918243   1.05868864]","[  26.58793259   35.2656517    14.51494598   34.04447174    6.59684515
   14.15875244  268.41064453    0.36460537  291.07791138  246.32783508]",24.8569831848,0,2.0
5,"[ 102.57618713   10.51495838   68.63708496   39.44528198   43.30433655
  649.64886475  145.16023254  511.31561279  678.59661865  254.88291931]","[  0.96169776   0.44704509   3.71497202   0.19175611   1.68465817
  30.53837585   9.43567467  32.77918243   1.05868864   2.92578983]","[  35.2656517    14.51494598   34.04447174    6.59684515   14.15875244
  268.41064453    0.36460537  291.07791138  246.32783508  316.98709106]",24.7537307739,0,2.0
6,"[  10.51495838   68.63708496   39.44528198   43.30433655  649.64886475
  145.16023254  511.31561279  678.59661865  254.88291931  288.91299438]","[  0.44704509   3.71497202   0.19175611   1.68465817  30.53837585
   9.43567467  32.77918243   1.05868864   2.92578983   4.06748295]","[  14.51494598   34.04447174    6.59684515   14.15875244  268.41064453
    0.36460537  291.07791138  246.32783508  316.98709106  301.38995361]",24.6257991791,0,2.0
7,"[  68.63708496   39.44528198   43.30433655  649.64886475  145.16023254
  511.31561279  678.59661865  254.88291931  288.91299438   47.49407196]","[  3.71497202   0.19175611   1.68465817  30.53837585   9.43567467
  32.77918243   1.05868864   2.92578983   4.06748295  12.92953396]","[  34.04447174    6.59684515   14.15875244  268.41064453    0.36460537
  291.07791138  246.32783508  316.98709106  301.38995361  334.85473633]",24.4810314178,0,2.0
8,"[  39.44528198   43.30433655  649.64886475  145.16023254  511.31561279
  678.59661865  254.88291931  288.91299438   47.49407196  361.11727905]","[  0.19175611   1.68465817  30.53837585   9.43567467  32.77918243
   1.05868864   2.92578983   4.06748295  12.92953396  12.19343948]","[   6.59684515   14.15875244  268.41064453    0.36460537  291.07791138
  246.32783508  316.98709106  301.38995361  334.85473633  223.85540771]",24.3253192902,0,2.0
9,"[  43.30433655  649.64886475  145.16023254  511.31561279  678.59661865
  254.88291931  288.91299438   47.49407196  361.11727905  264.25183105]","[  1.68465817  30.53837585   9.43567467  32.77918243   1.05868864
   2.92578983   4.06748295  12.92953396  12.19343948  12.53817654]","[  14.15875244  268.41064453    0.36460537  291.07791138  246.32783508
  316.98709106  301.38995361  334.85473633  223.85540771  294.69558716]",24.1496658325,0,2.0
