,activation_0,activation_1,activation_2,activation_3,activation_4,dist,id,vel
0,"[  11.42091751    6.95832777    6.89960909   56.70428848  127.45017242
  145.53636169  154.65332031  107.66017914  431.5786438   116.54090881]","[  16.17290497    3.85858703   15.46678448   39.68950272   68.21645355
   80.01454926   89.87142944   74.99720001  207.14581299   55.90647888]","[  3.79824519  16.2957058   12.44515133   3.29570341  15.20468521
  23.282341    33.19887161  36.18119431  53.20270538  26.80835724]","[ 29.43538475  40.68533707   3.09412909  16.66530228   4.32100439
  14.95363235  24.44280243  27.15164185  65.03375244  25.24589348]","[ 16.43000412  30.16170502   3.49379897  10.93046856   4.34907436
   6.58489847  12.08225441  19.64167786  53.66759109  12.96664047]",39.9711837769,0,2.0
1,"[   6.95832777    6.89960909   56.70428848  127.45017242  145.53636169
  154.65332031  107.66017914  431.5786438   116.54090881  337.87130737]","[   3.85858703   15.46678448   39.68950272   68.21645355   80.01454926
   89.87142944   74.99720001  207.14581299   55.90647888  274.16537476]","[  16.2957058    12.44515133    3.29570341   15.20468521   23.282341
   33.19887161   36.18119431   53.20270538   26.80835724  248.95146179]","[  40.68533707    3.09412909   16.66530228    4.32100439   14.95363235
   24.44280243   27.15164185   65.03375244   25.24589348  622.69689941]","[  30.16170502    3.49379897   10.93046856    4.34907436    6.58489847
   12.08225441   19.64167786   53.66759109   12.96664047  314.76123047]",39.9614257812,0,2.0
2,"[   6.89960909   56.70428848  127.45017242  145.53636169  154.65332031
  107.66017914  431.5786438   116.54090881  337.87130737  231.37591553]","[  15.46678448   39.68950272   68.21645355   80.01454926   89.87142944
   74.99720001  207.14581299   55.90647888  274.16537476   34.0579834 ]","[  12.44515133    3.29570341   15.20468521   23.282341     33.19887161
   36.18119431   53.20270538   26.80835724  248.95146179  142.88768005]","[   3.09412909   16.66530228    4.32100439   14.95363235   24.44280243
   27.15164185   65.03375244   25.24589348  622.69689941  109.08559418]","[   3.49379897   10.93046856    4.34907436    6.58489847   12.08225441
   19.64167786   53.66759109   12.96664047  314.76123047    2.15115237]",39.9364280701,0,2.0
3,"[  56.70428848  127.45017242  145.53636169  154.65332031  107.66017914
  431.5786438   116.54090881  337.87130737  231.37591553  927.08435059]","[  39.68950272   68.21645355   80.01454926   89.87142944   74.99720001
  207.14581299   55.90647888  274.16537476   34.0579834   682.38012695]","[   3.29570341   15.20468521   23.282341     33.19887161   36.18119431
   53.20270538   26.80835724  248.95146179  142.88768005  117.70215607]","[  16.66530228    4.32100439   14.95363235   24.44280243   27.15164185
   65.03375244   25.24589348  622.69689941  109.08559418  168.92150879]","[  10.93046856    4.34907436    6.58489847   12.08225441   19.64167786
   53.66759109   12.96664047  314.76123047    2.15115237  108.81459045]",39.8880882263,0,2.0
4,"[ 127.45017242  145.53636169  154.65332031  107.66017914  431.5786438
  116.54090881  337.87130737  231.37591553  927.08435059  157.47920227]","[  68.21645355   80.01454926   89.87142944   74.99720001  207.14581299
   55.90647888  274.16537476   34.0579834   682.38012695   54.78158188]","[  15.20468521   23.282341     33.19887161   36.18119431   53.20270538
   26.80835724  248.95146179  142.88768005  117.70215607   10.99258327]","[   4.32100439   14.95363235   24.44280243   27.15164185   65.03375244
   25.24589348  622.69689941  109.08559418  168.92150879  120.97013855]","[   4.34907436    6.58489847   12.08225441   19.64167786   53.66759109
   12.96664047  314.76123047    2.15115237  108.81459045  148.68821716]",39.8051567078,0,2.0
5,"[ 145.53636169  154.65332031  107.66017914  431.5786438   116.54090881
  337.87130737  231.37591553  927.08435059  157.47920227  969.63824463]","[  80.01454926   89.87142944   74.99720001  207.14581299   55.90647888
  274.16537476   34.0579834   682.38012695   54.78158188  782.65362549]","[  23.282341     33.19887161   36.18119431   53.20270538   26.80835724
  248.95146179  142.88768005  117.70215607   10.99258327  125.53510284]","[  14.95363235   24.44280243   27.15164185   65.03375244   25.24589348
  622.69689941  109.08559418  168.92150879  120.97013855  264.52114868]","[   6.58489847   12.08225441   19.64167786   53.66759109   12.96664047
  314.76123047    2.15115237  108.81459045  148.68821716  102.8704071 ]",39.6913337708,0,2.0
6,"[ 154.65332031  107.66017914  431.5786438   116.54090881  337.87130737
  231.37591553  927.08435059  157.47920227  969.63824463  344.07073975]","[  89.87142944   74.99720001  207.14581299   55.90647888  274.16537476
   34.0579834   682.38012695   54.78158188  782.65362549  215.54148865]","[  33.19887161   36.18119431   53.20270538   26.80835724  248.95146179
  142.88768005  117.70215607   10.99258327  125.53510284   53.17306519]","[  24.44280243   27.15164185   65.03375244   25.24589348  622.69689941
  109.08559418  168.92150879  120.97013855  264.52114868  271.12991333]","[  12.08225441   19.64167786   53.66759109   12.96664047  314.76123047
    2.15115237  108.81459045  148.68821716  102.8704071   155.55195618]",39.5542755127,0,2.0
7,"[ 107.66017914  431.5786438   116.54090881  337.87130737  231.37591553
  927.08435059  157.47920227  969.63824463  344.07073975  465.77886963]","[  74.99720001  207.14581299   55.90647888  274.16537476   34.0579834
  682.38012695   54.78158188  782.65362549  215.54148865  490.59329224]","[  36.18119431   53.20270538   26.80835724  248.95146179  142.88768005
  117.70215607   10.99258327  125.53510284   53.17306519  129.09179688]","[  27.15164185   65.03375244   25.24589348  622.69689941  109.08559418
  168.92150879  120.97013855  264.52114868  271.12991333  169.44944763]","[  19.64167786   53.66759109   12.96664047  314.76123047    2.15115237
  108.81459045  148.68821716  102.8704071   155.55195618  134.2485199 ]",39.4014968872,0,2.0
8,"[ 431.5786438   116.54090881  337.87130737  231.37591553  927.08435059
  157.47920227  969.63824463  344.07073975  465.77886963  901.57739258]","[ 207.14581299   55.90647888  274.16537476   34.0579834   682.38012695
   54.78158188  782.65362549  215.54148865  490.59329224  651.88897705]","[  53.20270538   26.80835724  248.95146179  142.88768005  117.70215607
   10.99258327  125.53510284   53.17306519  129.09179688  131.21266174]","[  65.03375244   25.24589348  622.69689941  109.08559418  168.92150879
  120.97013855  264.52114868  271.12991333  169.44944763  331.84609985]","[  53.66759109   12.96664047  314.76123047    2.15115237  108.81459045
  148.68821716  102.8704071   155.55195618  134.2485199   214.3540802 ]",39.0830612183,0,2.0
9,"[ 116.54090881  337.87130737  231.37591553  927.08435059  157.47920227
  969.63824463  344.07073975  465.77886963  901.57739258  163.6182251 ]","[  55.90647888  274.16537476   34.0579834   682.38012695   54.78158188
  782.65362549  215.54148865  490.59329224  651.88897705   56.02590942]","[  26.80835724  248.95146179  142.88768005  117.70215607   10.99258327
  125.53510284   53.17306519  129.09179688  131.21266174  194.69081116]","[  25.24589348  622.69689941  109.08559418  168.92150879  120.97013855
  264.52114868  271.12991333  169.44944763  331.84609985  144.24603271]","[  12.96664047  314.76123047    2.15115237  108.81459045  148.68821716
  102.8704071   155.55195618  134.2485199   214.3540802    44.58603668]",38.892780304,0,2.0
