,activation_0,activation_1,activation_2,dist,id,vel
0,"[ 42.076828    22.98303032  19.89118767  23.03854942  13.71107197
  21.74240112  36.63546753  16.11155701  59.89026642  39.66902542]","[ 3.30252266  4.92678118  3.71132803  4.07212782  0.40717939  0.43238705
  0.74519861  0.24754715  0.55730224  5.38217068]","[ 33.241436     4.44195032  51.83740997   0.88330352   4.13252306
   0.28306606   6.42132282   0.35669747  11.8696146   10.32242584]",24.9947109222,1,2.0
1,"[  22.98303032   19.89118767   23.03854942   13.71107197   21.74240112
   36.63546753   16.11155701   59.89026642   39.66902542  214.74215698]","[  4.92678118   3.71132803   4.07212782   0.40717939   0.43238705
   0.74519861   0.24754715   0.55730224   5.38217068  67.9813385 ]","[  4.44195032e+00   5.18374100e+01   8.83303523e-01   4.13252306e+00
   2.83066064e-01   6.42132282e+00   3.56697470e-01   1.18696146e+01
   1.03224258e+01   3.50378845e+02]",24.9881744385,1,2.0
2,"[  19.89118767   23.03854942   13.71107197   21.74240112   36.63546753
   16.11155701   59.89026642   39.66902542  214.74215698  151.64376831]","[  3.71132803   4.07212782   0.40717939   0.43238705   0.74519861
   0.24754715   0.55730224   5.38217068  67.9813385   47.09929657]","[  5.18374100e+01   8.83303523e-01   4.13252306e+00   2.83066064e-01
   6.42132282e+00   3.56697470e-01   1.18696146e+01   1.03224258e+01
   3.50378845e+02   1.06975732e+03]",24.926858902,1,2.0
3,"[  23.03854942   13.71107197   21.74240112   36.63546753   16.11155701
   59.89026642   39.66902542  214.74215698  151.64376831  762.1529541 ]","[  4.07212782   0.40717939   0.43238705   0.74519861   0.24754715
   0.55730224   5.38217068  67.9813385   47.09929657  48.74026108]","[  8.83303523e-01   4.13252306e+00   2.83066064e-01   6.42132282e+00
   3.56697470e-01   1.18696146e+01   1.03224258e+01   3.50378845e+02
   1.06975732e+03   6.74518555e+02]",24.8503417969,1,2.0
4,"[  13.71107197   21.74240112   36.63546753   16.11155701   59.89026642
   39.66902542  214.74215698  151.64376831  762.1529541   378.13674927]","[  0.40717939   0.43238705   0.74519861   0.24754715   0.55730224
   5.38217068  67.9813385   47.09929657  48.74026108  10.44876385]","[  4.13252306e+00   2.83066064e-01   6.42132282e+00   3.56697470e-01
   1.18696146e+01   1.03224258e+01   3.50378845e+02   1.06975732e+03
   6.74518555e+02   2.37981659e+02]",24.745759964,1,2.0
5,"[  21.74240112   36.63546753   16.11155701   59.89026642   39.66902542
  214.74215698  151.64376831  762.1529541   378.13674927  262.86212158]","[  0.43238705   0.74519861   0.24754715   0.55730224   5.38217068
  67.9813385   47.09929657  48.74026108  10.44876385  21.06868553]","[  2.83066064e-01   6.42132282e+00   3.56697470e-01   1.18696146e+01
   1.03224258e+01   3.50378845e+02   1.06975732e+03   6.74518555e+02
   2.37981659e+02   4.96101288e+02]",24.6172904968,1,2.0
6,"[  36.63546753   16.11155701   59.89026642   39.66902542  214.74215698
  151.64376831  762.1529541   378.13674927  262.86212158   82.67519379]","[  0.74519861   0.24754715   0.55730224   5.38217068  67.9813385
  47.09929657  48.74026108  10.44876385  21.06868553  47.26415634]","[  6.42132282e+00   3.56697470e-01   1.18696146e+01   1.03224258e+01
   3.50378845e+02   1.06975732e+03   6.74518555e+02   2.37981659e+02
   4.96101288e+02   3.68995972e+02]",24.4729671478,1,2.0
7,"[  16.11155701   59.89026642   39.66902542  214.74215698  151.64376831
  762.1529541   378.13674927  262.86212158   82.67519379  449.16094971]","[  0.24754715   0.55730224   5.38217068  67.9813385   47.09929657
  48.74026108  10.44876385  21.06868553  47.26415634   7.29951859]","[  3.56697470e-01   1.18696146e+01   1.03224258e+01   3.50378845e+02
   1.06975732e+03   6.74518555e+02   2.37981659e+02   4.96101288e+02
   3.68995972e+02   4.65953339e+02]",24.1565952301,1,2.0
8,"[  59.89026642   39.66902542  214.74215698  151.64376831  762.1529541
  378.13674927  262.86212158   82.67519379  449.16094971  181.43304443]","[  0.55730224   5.38217068  67.9813385   47.09929657  48.74026108
  10.44876385  21.06868553  47.26415634   7.29951859  51.51456451]","[   11.8696146     10.32242584   350.37884521  1069.75732422   674.51855469
   237.98165894   496.10128784   368.99597168   465.95333862   233.71159363]",23.9893054962,1,2.0
9,"[  39.66902542  214.74215698  151.64376831  762.1529541   378.13674927
  262.86212158   82.67519379  449.16094971  181.43304443   71.82471466]","[  5.38217068  67.9813385   47.09929657  48.74026108  10.44876385
  21.06868553  47.26415634   7.29951859  51.51456451   1.14618695]","[   10.32242584   350.37884521  1069.75732422   674.51855469   237.98165894
   496.10128784   368.99597168   465.95333862   233.71159363   182.19371033]",23.8177204132,1,2.0
10,"[ 214.74215698  151.64376831  762.1529541   378.13674927  262.86212158
   82.67519379  449.16094971  181.43304443   71.82471466  118.28488159]","[ 67.9813385   47.09929657  48.74026108  10.44876385  21.06868553
  47.26415634   7.29951859  51.51456451   1.14618695  23.15465927]","[  350.37884521  1069.75732422   674.51855469   237.98165894   496.10128784
   368.99597168   465.95333862   233.71159363   182.19371033   115.56642914]",23.6418323517,1,2.0
11,"[ 151.64376831  762.1529541   378.13674927  262.86212158   82.67519379
  449.16094971  181.43304443   71.82471466  118.28488159   84.35343933]","[ 47.09929657  48.74026108  10.44876385  21.06868553  47.26415634
   7.29951859  51.51456451   1.14618695  23.15465927  11.95831776]","[ 1069.75732422   674.51855469   237.98165894   496.10128784   368.99597168
   465.95333862   233.71159363   182.19371033   115.56642914   307.21862793]",23.4622421265,1,2.0
12,"[ 762.1529541   378.13674927  262.86212158   82.67519379  449.16094971
  181.43304443   71.82471466  118.28488159   84.35343933   72.05966949]","[ 48.74026108  10.44876385  21.06868553  47.26415634   7.29951859
  51.51456451   1.14618695  23.15465927  11.95831776  17.49578857]","[ 674.51855469  237.98165894  496.10128784  368.99597168  465.95333862
  233.71159363  182.19371033  115.56642914  307.21862793  137.31282043]",23.2798290253,1,2.0
13,"[ 378.13674927  262.86212158   82.67519379  449.16094971  181.43304443
   71.82471466  118.28488159   84.35343933   72.05966949   91.80589294]","[ 10.44876385  21.06868553  47.26415634   7.29951859  51.51456451
   1.14618695  23.15465927  11.95831776  17.49578857  11.81184101]","[ 237.98165894  496.10128784  368.99597168  465.95333862  233.71159363
  182.19371033  115.56642914  307.21862793  137.31282043  187.32472229]",23.0953159332,1,2.0
14,"[ 262.86212158   82.67519379  449.16094971  181.43304443   71.82471466
  118.28488159   84.35343933   72.05966949   91.80589294   10.73276424]","[ 21.06868553  47.26415634   7.29951859  51.51456451   1.14618695
  23.15465927  11.95831776  17.49578857  11.81184101   4.06837082]","[ 496.10128784  368.99597168  465.95333862  233.71159363  182.19371033
  115.56642914  307.21862793  137.31282043  187.32472229  219.32408142]",22.908613205,1,2.0
