,activation_0,activation_1,dist,id,vel,"('activation_2',)"
0,"[  14.81796646    5.14413738    8.00235367   59.45236206    4.91108799
   10.94895744    3.05207443   25.2381134    11.3339138   233.81300354]","[  7.44960022   2.19933844   3.99460244   7.15082359  14.44299603
   9.11159611   3.17990589   8.16435051   1.8064748   28.18652725]",24.9513702393,1,2.0,"[ 18.01334381  24.59082031  74.40507507  49.34866333  27.78351021
  29.67291832   3.93172002   7.96128893  37.94942474  13.87326241]"
1,"[   5.14413738    8.00235367   59.45236206    4.91108799   10.94895744
    3.05207443   25.2381134    11.3339138   233.81300354  148.76881409]","[  2.19933844   3.99460244   7.15082359  14.44299603   9.11159611
   3.17990589   8.16435051   1.8064748   28.18652725  35.62332916]",24.9106197357,1,2.0,"[  24.59082031   74.40507507   49.34866333   27.78351021   29.67291832
    3.93172002    7.96128893   37.94942474   13.87326241  215.86735535]"
2,"[   8.00235367   59.45236206    4.91108799   10.94895744    3.05207443
   25.2381134    11.3339138   233.81300354  148.76881409  389.82608032]","[  3.99460244   7.15082359  14.44299603   9.11159611   3.17990589
   8.16435051   1.8064748   28.18652725  35.62332916  32.8237114 ]",24.8563137054,1,2.0,"[  74.40507507   49.34866333   27.78351021   29.67291832    3.93172002
    7.96128893   37.94942474   13.87326241  215.86735535  157.55929565]"
3,"[  59.45236206    4.91108799   10.94895744    3.05207443   25.2381134
   11.3339138   233.81300354  148.76881409  389.82608032  258.92764282]","[  7.15082359  14.44299603   9.11159611   3.17990589   8.16435051
   1.8064748   28.18652725  35.62332916  32.8237114   47.67566299]",24.7670955658,1,2.0,"[  49.34866333   27.78351021   29.67291832    3.93172002    7.96128893
   37.94942474   13.87326241  215.86735535  157.55929565  654.99224854]"
4,"[   4.91108799   10.94895744    3.05207443   25.2381134    11.3339138
  233.81300354  148.76881409  389.82608032  258.92764282  108.97885132]","[ 14.44299603   9.11159611   3.17990589   8.16435051   1.8064748
  28.18652725  35.62332916  32.8237114   47.67566299   8.27547455]",24.6451435089,1,2.0,"[  27.78351021   29.67291832    3.93172002    7.96128893   37.94942474
   13.87326241  215.86735535  157.55929565  654.99224854   54.62366486]"
5,"[  10.94895744    3.05207443   25.2381134    11.3339138   233.81300354
  148.76881409  389.82608032  258.92764282  108.97885132  526.20471191]","[  9.11159611   3.17990589   8.16435051   1.8064748   28.18652725
  35.62332916  32.8237114   47.67566299   8.27547455   9.07086754]",24.3463077545,1,2.0,"[  29.67291832    3.93172002    7.96128893   37.94942474   13.87326241
  215.86735535  157.55929565  654.99224854   54.62366486  544.43914795]"
6,"[   3.05207443   25.2381134    11.3339138   233.81300354  148.76881409
  389.82608032  258.92764282  108.97885132  526.20471191  282.71496582]","[  3.17990589   8.16435051   1.8064748   28.18652725  35.62332916
  32.8237114   47.67566299   8.27547455   9.07086754  59.74850845]",24.0097751617,1,2.0,"[   3.93172002    7.96128893   37.94942474   13.87326241  215.86735535
  157.55929565  654.99224854   54.62366486  544.43914795  604.93487549]"
7,"[  25.2381134    11.3339138   233.81300354  148.76881409  389.82608032
  258.92764282  108.97885132  526.20471191  282.71496582  172.99066162]","[  8.16435051   1.8064748   28.18652725  35.62332916  32.8237114
  47.67566299   8.27547455   9.07086754  59.74850845  10.29172325]",23.8339710236,1,2.0,"[   7.96128893   37.94942474   13.87326241  215.86735535  157.55929565
  654.99224854   54.62366486  544.43914795  604.93487549  236.21965027]"
8,"[  11.3339138   233.81300354  148.76881409  389.82608032  258.92764282
  108.97885132  526.20471191  282.71496582  172.99066162  187.26293945]","[  1.8064748   28.18652725  35.62332916  32.8237114   47.67566299
   8.27547455   9.07086754  59.74850845  10.29172325   4.54024792]",23.4695339203,1,2.0,"[  37.94942474   13.87326241  215.86735535  157.55929565  654.99224854
   54.62366486  544.43914795  604.93487549  236.21965027  105.05641174]"
9,"[ 233.81300354  148.76881409  389.82608032  258.92764282  108.97885132
  526.20471191  282.71496582  172.99066162  187.26293945    1.60821867]","[ 28.18652725  35.62332916  32.8237114   47.67566299   8.27547455
   9.07086754  59.74850845  10.29172325   4.54024792  12.36799812]",23.0925731659,1,2.0,"[  13.87326241  215.86735535  157.55929565  654.99224854   54.62366486
  544.43914795  604.93487549  236.21965027  105.05641174  118.59493256]"
