,activation,dist,id,vel
0,"[  2851.20581055   1900.84277344   1145.67321777   1624.81201172
   2505.4777832    5225.53271484  17078.16992188  12534.38085938
  14700.77050781  10948.86328125]",24.9798526764,0,2.0
1,"[  1900.84277344   1145.67321777   1624.81201172   2505.4777832
   5225.53271484  17078.16992188  12534.38085938  14700.77050781
  10948.86328125  16461.28710938]",24.9905910492,0,2.0
2,"[  1145.67321777   1624.81201172   2505.4777832    5225.53271484
  17078.16992188  12534.38085938  14700.77050781  10948.86328125
  16461.28710938   5926.28466797]",24.9221935272,0,2.0
3,"[  1624.81201172   2505.4777832    5225.53271484  17078.16992188
  12534.38085938  14700.77050781  10948.86328125  16461.28710938
   5926.28466797  15835.9453125 ]",24.7651615143,0,2.0
4,"[  2505.4777832    5225.53271484  17078.16992188  12534.38085938
  14700.77050781  10948.86328125  16461.28710938   5926.28466797
  15835.9453125   11218.63769531]",24.5325984955,0,2.0
5,"[  5225.53271484  17078.16992188  12534.38085938  14700.77050781
  10948.86328125  16461.28710938   5926.28466797  15835.9453125
  11218.63769531  20587.97265625]",24.2236118317,0,2.0
6,"[ 17078.16992188  12534.38085938  14700.77050781  10948.86328125
  16461.28710938   5926.28466797  15835.9453125   11218.63769531
  20587.97265625   9500.75976562]",23.8940944672,0,2.0
7,"[ 12534.38085938  14700.77050781  10948.86328125  16461.28710938
   5926.28466797  15835.9453125   11218.63769531  20587.97265625
   9500.75976562   9719.81933594]",23.6038722992,0,2.0
8,"[ 14700.77050781  10948.86328125  16461.28710938   5926.28466797
  15835.9453125   11218.63769531  20587.97265625   9500.75976562
   9719.81933594   9751.74121094]",23.3179416656,0,2.0
9,"[ 10948.86328125  16461.28710938   5926.28466797  15835.9453125
  11218.63769531  20587.97265625   9500.75976562   9719.81933594
   9751.74121094   7480.16845703]",23.0039596558,0,2.0
10,"[ 16461.28710938   5926.28466797  15835.9453125   11218.63769531
  20587.97265625   9500.75976562   9719.81933594   9751.74121094
   7480.16845703   2424.28271484]",22.6872653961,0,2.0
11,"[  5926.28466797  15835.9453125   11218.63769531  20587.97265625
   9500.75976562   9719.81933594   9751.74121094   7480.16845703
   2424.28271484   3686.64770508]",22.3823280334,0,2.0
12,"[ 15835.9453125   11218.63769531  20587.97265625   9500.75976562
   9719.81933594   9751.74121094   7480.16845703   2424.28271484
   3686.64770508   3663.88452148]",22.0503902435,0,2.0
13,"[ 11218.63769531  20587.97265625   9500.75976562   9719.81933594
   9751.74121094   7480.16845703   2424.28271484   3686.64770508
   3663.88452148   2670.9375    ]",21.6610240936,0,2.0
14,"[ 20587.97265625   9500.75976562   9719.81933594   9751.74121094
   7480.16845703   2424.28271484   3686.64770508   3663.88452148
   2670.9375       2985.58544922]",21.3311252594,0,2.0
15,"[ 9500.75976562  9719.81933594  9751.74121094  7480.16845703  2424.28271484
  3686.64770508  3663.88452148  2670.9375      2985.58544922  1569.91809082]",21.0142192841,0,2.0
16,"[ 9719.81933594  9751.74121094  7480.16845703  2424.28271484  3686.64770508
  3663.88452148  2670.9375      2985.58544922  1569.91809082  1339.83605957]",20.6716213226,0,2.0
17,"[ 9751.74121094  7480.16845703  2424.28271484  3686.64770508  3663.88452148
  2670.9375      2985.58544922  1569.91809082  1339.83605957  2574.07519531]",20.3346767426,0,2.0
18,"[ 7480.16845703  2424.28271484  3686.64770508  3663.88452148  2670.9375
  2985.58544922  1569.91809082  1339.83605957  2574.07519531  1623.49133301]",20.0101222992,0,2.0
19,"[ 2424.28271484  3686.64770508  3663.88452148  2670.9375      2985.58544922
  1569.91809082  1339.83605957  2574.07519531  1623.49133301  2214.28564453]",19.6602478027,0,2.0
20,"[ 3686.64770508  3663.88452148  2670.9375      2985.58544922  1569.91809082
  1339.83605957  2574.07519531  1623.49133301  2214.28564453  1464.57177734]",19.3192405701,0,2.0
21,"[ 3663.88452148  2670.9375      2985.58544922  1569.91809082  1339.83605957
  2574.07519531  1623.49133301  2214.28564453  1464.57177734  1836.84204102]",18.994934082,0,2.0
22,"[ 2670.9375      2985.58544922  1569.91809082  1339.83605957  2574.07519531
  1623.49133301  2214.28564453  1464.57177734  1836.84204102  1952.29797363]",18.5875053406,0,2.0
23,"[ 2985.58544922  1569.91809082  1339.83605957  2574.07519531  1623.49133301
  2214.28564453  1464.57177734  1836.84204102  1952.29797363  3131.55932617]",18.2360515594,0,2.0
24,"[ 1569.91809082  1339.83605957  2574.07519531  1623.49133301  2214.28564453
  1464.57177734  1836.84204102  1952.29797363  3131.55932617  1688.43505859]",17.8919258118,0,2.0
25,"[ 1339.83605957  2574.07519531  1623.49133301  2214.28564453  1464.57177734
  1836.84204102  1952.29797363  3131.55932617  1688.43505859  4817.37597656]",17.5622196198,0,2.0
26,"[ 2574.07519531  1623.49133301  2214.28564453  1464.57177734  1836.84204102
  1952.29797363  3131.55932617  1688.43505859  4817.37597656  5234.13378906]",17.1504707336,0,2.0
27,"[ 1623.49133301  2214.28564453  1464.57177734  1836.84204102  1952.29797363
  3131.55932617  1688.43505859  4817.37597656  5234.13378906  2936.22094727]",16.7971286774,0,2.0
28,"[ 2214.28564453  1464.57177734  1836.84204102  1952.29797363  3131.55932617
  1688.43505859  4817.37597656  5234.13378906  2936.22094727  5553.97851562]",16.4531612396,0,2.0
29,"[ 1464.57177734  1836.84204102  1952.29797363  3131.55932617  1688.43505859
  4817.37597656  5234.13378906  2936.22094727  5553.97851562  3686.28271484]",16.0457134247,0,2.0
30,"[ 1836.84204102  1952.29797363  3131.55932617  1688.43505859  4817.37597656
  5234.13378906  2936.22094727  5553.97851562  3686.28271484  2473.45800781]",15.720334053,0,2.0
31,"[ 1952.29797363  3131.55932617  1688.43505859  4817.37597656  5234.13378906
  2936.22094727  5553.97851562  3686.28271484  2473.45800781   414.37771606]",15.3716344833,0,2.0
32,"[ 3131.55932617  1688.43505859  4817.37597656  5234.13378906  2936.22094727
  5553.97851562  3686.28271484  2473.45800781   414.37771606   298.51477051]",15.0305328369,0,2.0
33,"[ 1688.43505859  4817.37597656  5234.13378906  2936.22094727  5553.97851562
  3686.28271484  2473.45800781   414.37771606   298.51477051   497.45455933]",14.7034540176,0,2.0
34,"[ 4817.37597656  5234.13378906  2936.22094727  5553.97851562  3686.28271484
  2473.45800781   414.37771606   298.51477051   497.45455933   716.17266846]",14.3519659042,0,2.0
35,"[ 5234.13378906  2936.22094727  5553.97851562  3686.28271484  2473.45800781
   414.37771606   298.51477051   497.45455933   716.17266846   400.64151001]",13.9440946579,0,2.0
36,"[ 2936.22094727  5553.97851562  3686.28271484  2473.45800781   414.37771606
   298.51477051   497.45455933   716.17266846   400.64151001   383.54388428]",13.6016788483,0,2.0
37,"[ 5553.97851562  3686.28271484  2473.45800781   414.37771606   298.51477051
   497.45455933   716.17266846   400.64151001   383.54388428   243.21720886]",13.2758140564,0,2.0
