,activation,dist,id,vel
0,"[ -35.83919907  -55.80670929  -73.52153015   52.68507385 -101.00752258
   28.48910904  -86.97785187   32.03032684  -59.27822113  151.64877319]",24.9564723969,1,2.0
1,"[  -55.80670929   -73.52153015    52.68507385  -101.00752258    28.48910904
   -86.97785187    32.03032684   -59.27822113   151.64877319 -1870.66345215]",24.9565811157,1,2.0
2,"[  -73.52153015    52.68507385  -101.00752258    28.48910904   -86.97785187
    32.03032684   -59.27822113   151.64877319 -1870.66345215   828.89221191]",24.971414566,1,2.0
3,"[   52.68507385  -101.00752258    28.48910904   -86.97785187    32.03032684
   -59.27822113   151.64877319 -1870.66345215   828.89221191  1866.86303711]",24.9951190948,1,2.0
4,"[ -101.00752258    28.48910904   -86.97785187    32.03032684   -59.27822113
   151.64877319 -1870.66345215   828.89221191  1866.86303711   516.67034912]",24.9388160706,1,2.0
5,"[   28.48910904   -86.97785187    32.03032684   -59.27822113   151.64877319
 -1870.66345215   828.89221191  1866.86303711   516.67034912  1595.05688477]",24.8482513428,1,2.0
6,"[  -86.97785187    32.03032684   -59.27822113   151.64877319 -1870.66345215
   828.89221191  1866.86303711   516.67034912  1595.05688477  1385.77758789]",24.7316703796,1,2.0
7,"[   32.03032684   -59.27822113   151.64877319 -1870.66345215   828.89221191
  1866.86303711   516.67034912  1595.05688477  1385.77758789  1011.34204102]",24.5995597839,1,2.0
8,"[  -59.27822113   151.64877319 -1870.66345215   828.89221191  1866.86303711
   516.67034912  1595.05688477  1385.77758789  1011.34204102  1839.52026367]",24.4566459656,1,2.0
9,"[  151.64877319 -1870.66345215   828.89221191  1866.86303711   516.67034912
  1595.05688477  1385.77758789  1011.34204102  1839.52026367   904.49450684]",24.3079624176,1,2.0
10,"[-1870.66345215   828.89221191  1866.86303711   516.67034912  1595.05688477
  1385.77758789  1011.34204102  1839.52026367   904.49450684   404.81011963]",24.1546993256,1,2.0
11,"[  828.89221191  1866.86303711   516.67034912  1595.05688477  1385.77758789
  1011.34204102  1839.52026367   904.49450684   404.81011963    53.83425903]",23.9934902191,1,2.0
12,"[ 1866.86303711   516.67034912  1595.05688477  1385.77758789  1011.34204102
  1839.52026367   904.49450684   404.81011963    53.83425903   744.20477295]",23.8256492615,1,2.0
13,"[  516.67034912  1595.05688477  1385.77758789  1011.34204102  1839.52026367
   904.49450684   404.81011963    53.83425903   744.20477295   516.26983643]",23.6615810394,1,2.0
14,"[ 1595.05688477  1385.77758789  1011.34204102  1839.52026367   904.49450684
   404.81011963    53.83425903   744.20477295   516.26983643   258.90844727]",23.492395401,1,2.0
15,"[ 1385.77758789  1011.34204102  1839.52026367   904.49450684   404.81011963
    53.83425903   744.20477295   516.26983643   258.90844727   382.81359863]",23.3250484467,1,2.0
16,"[ 1011.34204102  1839.52026367   904.49450684   404.81011963    53.83425903
   744.20477295   516.26983643   258.90844727   382.81359863   386.71801758]",23.1541652679,1,2.0
17,"[ 1839.52026367   904.49450684   404.81011963    53.83425903   744.20477295
   516.26983643   258.90844727   382.81359863   386.71801758   158.6595459 ]",22.9838409424,1,2.0
18,"[ 904.49450684  404.81011963   53.83425903  744.20477295  516.26983643
  258.90844727  382.81359863  386.71801758  158.6595459   408.89300537]",22.8106689453,1,2.0
19,"[ 404.81011963   53.83425903  744.20477295  516.26983643  258.90844727
  382.81359863  386.71801758  158.6595459   408.89300537  477.67904663]",22.6363544464,1,2.0
20,"[  53.83425903  744.20477295  516.26983643  258.90844727  382.81359863
  386.71801758  158.6595459   408.89300537  477.67904663  543.69329834]",22.4595069885,1,2.0
21,"[ 744.20477295  516.26983643  258.90844727  382.81359863  386.71801758
  158.6595459   408.89300537  477.67904663  543.69329834  460.34173584]",22.2808666229,1,2.0
22,"[ 516.26983643  258.90844727  382.81359863  386.71801758  158.6595459
  408.89300537  477.67904663  543.69329834  460.34173584  685.82183838]",22.1005439758,1,2.0
23,"[ 258.90844727  382.81359863  386.71801758  158.6595459   408.89300537
  477.67904663  543.69329834  460.34173584  685.82183838  643.04925537]",21.9158210754,1,2.0
24,"[ 382.81359863  386.71801758  158.6595459   408.89300537  477.67904663
  543.69329834  460.34173584  685.82183838  643.04925537  500.48352051]",21.7270965576,1,2.0
25,"[ 386.71801758  158.6595459   408.89300537  477.67904663  543.69329834
  460.34173584  685.82183838  643.04925537  500.48352051  526.28173828]",21.5406131744,1,2.0
26,"[ 158.6595459   408.89300537  477.67904663  543.69329834  460.34173584
  685.82183838  643.04925537  500.48352051  526.28173828  282.36373901]",21.3509883881,1,2.0
27,"[ 408.89300537  477.67904663  543.69329834  460.34173584  685.82183838
  643.04925537  500.48352051  526.28173828  282.36373901  588.41033936]",21.1622753143,1,2.0
28,"[ 477.67904663  543.69329834  460.34173584  685.82183838  643.04925537
  500.48352051  526.28173828  282.36373901  588.41033936  389.42791748]",20.9711494446,1,2.0
29,"[ 543.69329834  460.34173584  685.82183838  643.04925537  500.48352051
  526.28173828  282.36373901  588.41033936  389.42791748  319.75421143]",20.7805976868,1,2.0
30,"[ 460.34173584  685.82183838  643.04925537  500.48352051  526.28173828
  282.36373901  588.41033936  389.42791748  319.75421143  361.2253418 ]",20.5882225037,1,2.0
31,"[ 685.82183838  643.04925537  500.48352051  526.28173828  282.36373901
  588.41033936  389.42791748  319.75421143  361.2253418   565.71148682]",20.395368576,1,2.0
32,"[ 643.04925537  500.48352051  526.28173828  282.36373901  588.41033936
  389.42791748  319.75421143  361.2253418   565.71148682  108.83946991]",20.2005290985,1,2.0
33,"[ 500.48352051  526.28173828  282.36373901  588.41033936  389.42791748
  319.75421143  361.2253418   565.71148682  108.83946991  367.06253052]",20.0051746368,1,2.0
34,"[ 526.28173828  282.36373901  588.41033936  389.42791748  319.75421143
  361.2253418   565.71148682  108.83946991  367.06253052  592.96740723]",19.7449073792,1,2.0
35,"[ 282.36373901  588.41033936  389.42791748  319.75421143  361.2253418
  565.71148682  108.83946991  367.06253052  592.96740723  986.15490723]",19.5480213165,1,2.0
