,activation,dist,id,vel
0,"[ 243.43093872  576.33422852  168.14320374  275.15203857  329.91448975
  464.68896484  346.98892212  140.58889771  188.74505615  237.26014709]",24.9449653625,2,2.0
1,"[ 576.33422852  168.14320374  275.15203857  329.91448975  464.68896484
  346.98892212  140.58889771  188.74505615  237.26014709   82.2012558 ]",24.938419342,2,2.0
2,"[ 168.14320374  275.15203857  329.91448975  464.68896484  346.98892212
  140.58889771  188.74505615  237.26014709   82.2012558   284.8734436 ]",24.9155826569,2,2.0
3,"[ 275.15203857  329.91448975  464.68896484  346.98892212  140.58889771
  188.74505615  237.26014709   82.2012558   284.8734436   259.50012207]",24.8689785004,2,2.0
4,"[ 329.91448975  464.68896484  346.98892212  140.58889771  188.74505615
  237.26014709   82.2012558   284.8734436   259.50012207  195.01765442]",24.7415084839,2,2.0
5,"[ 464.68896484  346.98892212  140.58889771  188.74505615  237.26014709
   82.2012558   284.8734436   259.50012207  195.01765442  500.33929443]",24.6160831451,2,2.0
6,"[  346.98892212   140.58889771   188.74505615   237.26014709    82.2012558
   284.8734436    259.50012207   195.01765442   500.33929443  3476.59423828]",24.4701213837,2,2.0
7,"[  140.58889771   188.74505615   237.26014709    82.2012558    284.8734436
   259.50012207   195.01765442   500.33929443  3476.59423828  5810.28320312]",24.3117370605,2,2.0
8,"[  188.74505615   237.26014709    82.2012558    284.8734436    259.50012207
   195.01765442   500.33929443  3476.59423828  5810.28320312  5197.93701172]",24.0902080536,2,2.0
9,"[  237.26014709    82.2012558    284.8734436    259.50012207   195.01765442
   500.33929443  3476.59423828  5810.28320312  5197.93701172  6075.02929688]",23.9158229828,2,2.0
10,"[   82.2012558    284.8734436    259.50012207   195.01765442   500.33929443
  3476.59423828  5810.28320312  5197.93701172  6075.02929688  4044.56420898]",23.7372112274,2,2.0
11,"[  284.8734436    259.50012207   195.01765442   500.33929443  3476.59423828
  5810.28320312  5197.93701172  6075.02929688  4044.56420898  1773.03771973]",23.5556983948,2,2.0
12,"[  259.50012207   195.01765442   500.33929443  3476.59423828  5810.28320312
  5197.93701172  6075.02929688  4044.56420898  1773.03771973  2580.92602539]",23.3183517456,2,2.0
13,"[  195.01765442   500.33929443  3476.59423828  5810.28320312  5197.93701172
  6075.02929688  4044.56420898  1773.03771973  2580.92602539  3975.02978516]",23.1279659271,2,2.0
14,"[  500.33929443  3476.59423828  5810.28320312  5197.93701172  6075.02929688
  4044.56420898  1773.03771973  2580.92602539  3975.02978516  2412.72412109]",22.9358577728,2,2.0
15,"[ 3476.59423828  5810.28320312  5197.93701172  6075.02929688  4044.56420898
  1773.03771973  2580.92602539  3975.02978516  2412.72412109  1687.92077637]",22.6612892151,2,2.0
16,"[ 5810.28320312  5197.93701172  6075.02929688  4044.56420898  1773.03771973
  2580.92602539  3975.02978516  2412.72412109  1687.92077637  2230.22583008]",22.4622058868,2,2.0
17,"[ 5197.93701172  6075.02929688  4044.56420898  1773.03771973  2580.92602539
  3975.02978516  2412.72412109  1687.92077637  2230.22583008  1545.31030273]",22.2610263824,2,2.0
18,"[ 6075.02929688  4044.56420898  1773.03771973  2580.92602539  3975.02978516
  2412.72412109  1687.92077637  2230.22583008  1545.31030273   743.63476562]",21.9928607941,2,2.0
19,"[ 4044.56420898  1773.03771973  2580.92602539  3975.02978516  2412.72412109
  1687.92077637  2230.22583008  1545.31030273   743.63476562   966.98095703]",21.788230896,2,2.0
20,"[ 1773.03771973  2580.92602539  3975.02978516  2412.72412109  1687.92077637
  2230.22583008  1545.31030273   743.63476562   966.98095703  1021.25714111]",21.5823326111,2,2.0
21,"[ 2580.92602539  3975.02978516  2412.72412109  1687.92077637  2230.22583008
  1545.31030273   743.63476562   966.98095703  1021.25714111  1444.24182129]",21.3759422302,2,2.0
22,"[ 3975.02978516  2412.72412109  1687.92077637  2230.22583008  1545.31030273
   743.63476562   966.98095703  1021.25714111  1444.24182129  1527.89282227]",21.1019229889,2,2.0
23,"[ 2412.72412109  1687.92077637  2230.22583008  1545.31030273   743.63476562
   966.98095703  1021.25714111  1444.24182129  1527.89282227  2149.69555664]",20.9024372101,2,2.0
24,"[ 1687.92077637  2230.22583008  1545.31030273   743.63476562   966.98095703
  1021.25714111  1444.24182129  1527.89282227  2149.69555664   977.73077393]",20.6954097748,2,2.0
25,"[ 2230.22583008  1545.31030273   743.63476562   966.98095703  1021.25714111
  1444.24182129  1527.89282227  2149.69555664   977.73077393  1923.37280273]",20.4043483734,2,2.0
26,"[ 1545.31030273   743.63476562   966.98095703  1021.25714111  1444.24182129
  1527.89282227  2149.69555664   977.73077393  1923.37280273  1612.11584473]",20.1954555511,2,2.0
27,"[  743.63476562   966.98095703  1021.25714111  1444.24182129  1527.89282227
  2149.69555664   977.73077393  1923.37280273  1612.11584473  1331.67578125]",19.9859046936,2,2.0
28,"[  966.98095703  1021.25714111  1444.24182129  1527.89282227  2149.69555664
   977.73077393  1923.37280273  1612.11584473  1331.67578125  1361.04772949]",19.7758560181,2,2.0
29,"[ 1021.25714111  1444.24182129  1527.89282227  2149.69555664   977.73077393
  1923.37280273  1612.11584473  1331.67578125  1361.04772949  1478.31164551]",19.4978466034,2,2.0
30,"[ 1444.24182129  1527.89282227  2149.69555664   977.73077393  1923.37280273
  1612.11584473  1331.67578125  1361.04772949  1478.31164551  1349.65148926]",19.2872695923,2,2.0
31,"[ 1527.89282227  2149.69555664   977.73077393  1923.37280273  1612.11584473
  1331.67578125  1361.04772949  1478.31164551  1349.65148926  1616.81616211]",19.075712204,2,2.0
32,"[ 2149.69555664   977.73077393  1923.37280273  1612.11584473  1331.67578125
  1361.04772949  1478.31164551  1349.65148926  1616.81616211  1851.73583984]",18.8055896759,2,2.0
33,"[  977.73077393  1923.37280273  1612.11584473  1331.67578125  1361.04772949
  1478.31164551  1349.65148926  1616.81616211  1851.73583984  1680.14025879]",18.5939369202,2,2.0
34,"[ 1923.37280273  1612.11584473  1331.67578125  1361.04772949  1478.31164551
  1349.65148926  1616.81616211  1851.73583984  1680.14025879  1258.20239258]",18.3832473755,2,2.0
35,"[ 1612.11584473  1331.67578125  1361.04772949  1478.31164551  1349.65148926
  1616.81616211  1851.73583984  1680.14025879  1258.20239258  1148.83874512]",18.0900173187,2,2.0
36,"[ 1331.67578125  1361.04772949  1478.31164551  1349.65148926  1616.81616211
  1851.73583984  1680.14025879  1258.20239258  1148.83874512  1804.33740234]",17.8791809082,2,2.0
37,"[ 1361.04772949  1478.31164551  1349.65148926  1616.81616211  1851.73583984
  1680.14025879  1258.20239258  1148.83874512  1804.33740234  1526.45507812]",17.601316452,2,2.0
38,"[ 1478.31164551  1349.65148926  1616.81616211  1851.73583984  1680.14025879
  1258.20239258  1148.83874512  1804.33740234  1526.45507812  1496.15527344]",17.3885231018,2,2.0
39,"[ 1349.65148926  1616.81616211  1851.73583984  1680.14025879  1258.20239258
  1148.83874512  1804.33740234  1526.45507812  1496.15527344  1435.05395508]",17.1770877838,2,2.0
40,"[ 1616.81616211  1851.73583984  1680.14025879  1258.20239258  1148.83874512
  1804.33740234  1526.45507812  1496.15527344  1435.05395508  1273.01342773]",16.904914856,2,2.0
41,"[ 1851.73583984  1680.14025879  1258.20239258  1148.83874512  1804.33740234
  1526.45507812  1496.15527344  1435.05395508  1273.01342773  1132.20495605]",16.6935901642,2,2.0
42,"[ 1680.14025879  1258.20239258  1148.83874512  1804.33740234  1526.45507812
  1496.15527344  1435.05395508  1273.01342773  1132.20495605  1852.82165527]",16.4807109833,2,2.0
43,"[ 1258.20239258  1148.83874512  1804.33740234  1526.45507812  1496.15527344
  1435.05395508  1273.01342773  1132.20495605  1852.82165527  1687.26489258]",16.2697639465,2,2.0
44,"[ 1148.83874512  1804.33740234  1526.45507812  1496.15527344  1435.05395508
  1273.01342773  1132.20495605  1852.82165527  1687.26489258  1398.63562012]",15.9745635986,2,2.0
45,"[ 1804.33740234  1526.45507812  1496.15527344  1435.05395508  1273.01342773
  1132.20495605  1852.82165527  1687.26489258  1398.63562012  1019.23376465]",15.7641963959,2,2.0
46,"[ 1526.45507812  1496.15527344  1435.05395508  1273.01342773  1132.20495605
  1852.82165527  1687.26489258  1398.63562012  1019.23376465  2127.59594727]",15.5531892776,2,2.0
47,"[ 1496.15527344  1435.05395508  1273.01342773  1132.20495605  1852.82165527
  1687.26489258  1398.63562012  1019.23376465  2127.59594727  1725.46533203]",15.2766160965,2,2.0
48,"[ 1435.05395508  1273.01342773  1132.20495605  1852.82165527  1687.26489258
  1398.63562012  1019.23376465  2127.59594727  1725.46533203  1355.85827637]",15.0684366226,2,2.0
49,"[ 1273.01342773  1132.20495605  1852.82165527  1687.26489258  1398.63562012
  1019.23376465  2127.59594727  1725.46533203  1355.85827637  1319.27893066]",14.857875824,2,2.0
50,"[ 1132.20495605  1852.82165527  1687.26489258  1398.63562012  1019.23376465
  2127.59594727  1725.46533203  1355.85827637  1319.27893066  1406.68432617]",14.5899143219,2,2.0
51,"[ 1852.82165527  1687.26489258  1398.63562012  1019.23376465  2127.59594727
  1725.46533203  1355.85827637  1319.27893066  1406.68432617  2728.39550781]",14.3789691925,2,2.0
52,"[ 1687.26489258  1398.63562012  1019.23376465  2127.59594727  1725.46533203
  1355.85827637  1319.27893066  1406.68432617  2728.39550781  1772.8079834 ]",14.0843057632,2,2.0
53,"[ 1398.63562012  1019.23376465  2127.59594727  1725.46533203  1355.85827637
  1319.27893066  1406.68432617  2728.39550781  1772.8079834   1730.85498047]",13.8732728958,2,2.0
