,activation,dist,id,vel
0,"[ 382.01638794  350.52087402  448.4979248   517.95922852  253.61688232
  470.27844238  248.62327576  420.7545166   100.48013306  299.23248291]",24.9487762451,2,2.0
1,"[ 350.52087402  448.4979248   517.95922852  253.61688232  470.27844238
  248.62327576  420.7545166   100.48013306  299.23248291  278.73822021]",24.9474868774,2,2.0
2,"[  448.4979248    517.95922852   253.61688232   470.27844238   248.62327576
   420.7545166    100.48013306   299.23248291   278.73822021  5874.17089844]",24.9237880707,2,2.0
3,"[  517.95922852   253.61688232   470.27844238   248.62327576   420.7545166
   100.48013306   299.23248291   278.73822021  5874.17089844  3494.29223633]",24.8679218292,2,2.0
4,"[  253.61688232   470.27844238   248.62327576   420.7545166    100.48013306
   299.23248291   278.73822021  5874.17089844  3494.29223633  5634.96728516]",24.7431297302,2,2.0
5,"[  470.27844238   248.62327576   420.7545166    100.48013306   299.23248291
   278.73822021  5874.17089844  3494.29223633  5634.96728516  3432.5300293 ]",24.6169528961,2,2.0
6,"[  248.62327576   420.7545166    100.48013306   299.23248291   278.73822021
  5874.17089844  3494.29223633  5634.96728516  3432.5300293   2011.35461426]",24.4725952148,2,2.0
7,"[  420.7545166    100.48013306   299.23248291   278.73822021  5874.17089844
  3494.29223633  5634.96728516  3432.5300293   2011.35461426  2510.8581543 ]",24.2616672516,2,2.0
8,"[  100.48013306   299.23248291   278.73822021  5874.17089844  3494.29223633
  5634.96728516  3432.5300293   2011.35461426  2510.8581543   3961.21923828]",24.0939731598,2,2.0
9,"[  299.23248291   278.73822021  5874.17089844  3494.29223633  5634.96728516
  3432.5300293   2011.35461426  2510.8581543   3961.21923828  4667.96533203]",23.7980957031,2,2.0
10,"[  278.73822021  5874.17089844  3494.29223633  5634.96728516  3432.5300293
  2011.35461426  2510.8581543   3961.21923828  4667.96533203  1784.98193359]",23.6158332825,2,2.0
11,"[ 5874.17089844  3494.29223633  5634.96728516  3432.5300293   2011.35461426
  2510.8581543   3961.21923828  4667.96533203  1784.98193359  1176.92138672]",23.4303150177,2,2.0
12,"[ 3494.29223633  5634.96728516  3432.5300293   2011.35461426  2510.8581543
  3961.21923828  4667.96533203  1784.98193359  1176.92138672   705.71026611]",23.1792869568,2,2.0
13,"[ 5634.96728516  3432.5300293   2011.35461426  2510.8581543   3961.21923828
  4667.96533203  1784.98193359  1176.92138672   705.71026611  1200.99865723]",22.8545265198,2,2.0
14,"[ 3432.5300293   2011.35461426  2510.8581543   3961.21923828  4667.96533203
  1784.98193359  1176.92138672   705.71026611  1200.99865723  1288.44775391]",22.6582889557,2,2.0
