,activation,dist,id,vel
0,"[-162.42988586 -152.69119263  -96.18231964  -81.36119843 -105.88005066
 -124.89286804  -58.90069962  -58.44867706 -128.3429718   -41.15968704]",24.9896907806,2,2.0
1,"[ -152.69119263   -96.18231964   -81.36119843  -105.88005066  -124.89286804
   -58.90069962   -58.44867706  -128.3429718    -41.15968704 -1799.51965332]",24.9904823303,2,2.0
2,"[  -96.18231964   -81.36119843  -105.88005066  -124.89286804   -58.90069962
   -58.44867706  -128.3429718    -41.15968704 -1799.51965332  1064.41564941]",24.9738712311,2,2.0
3,"[  -81.36119843  -105.88005066  -124.89286804   -58.90069962   -58.44867706
  -128.3429718    -41.15968704 -1799.51965332  1064.41564941    18.33353615]",24.9322433472,2,2.0
4,"[ -105.88005066  -124.89286804   -58.90069962   -58.44867706  -128.3429718
   -41.15968704 -1799.51965332  1064.41564941    18.33353615  1336.46691895]",24.8625602722,2,2.0
5,"[ -124.89286804   -58.90069962   -58.44867706  -128.3429718    -41.15968704
 -1799.51965332  1064.41564941    18.33353615  1336.46691895   378.76187134]",24.747379303,2,2.0
6,"[  -58.90069962   -58.44867706  -128.3429718    -41.15968704 -1799.51965332
  1064.41564941    18.33353615  1336.46691895   378.76187134   776.99163818]",24.6155033112,2,2.0
7,"[  -58.44867706  -128.3429718    -41.15968704 -1799.51965332  1064.41564941
    18.33353615  1336.46691895   378.76187134   776.99163818  2364.90356445]",24.4797210693,2,2.0
8,"[ -128.3429718    -41.15968704 -1799.51965332  1064.41564941    18.33353615
  1336.46691895   378.76187134   776.99163818  2364.90356445  1466.58837891]",24.3092060089,2,2.0
9,"[  -41.15968704 -1799.51965332  1064.41564941    18.33353615  1336.46691895
   378.76187134   776.99163818  2364.90356445  1466.58837891   775.24200439]",24.1574726105,2,2.0
10,"[-1799.51965332  1064.41564941    18.33353615  1336.46691895   378.76187134
   776.99163818  2364.90356445  1466.58837891   775.24200439  1108.05163574]",23.9748458862,2,2.0
11,"[ 1064.41564941    18.33353615  1336.46691895   378.76187134   776.99163818
  2364.90356445  1466.58837891   775.24200439  1108.05163574   505.67605591]",23.8011493683,2,2.0
12,"[   18.33353615  1336.46691895   378.76187134   776.99163818  2364.90356445
  1466.58837891   775.24200439  1108.05163574   505.67605591  1395.53161621]",23.6244297028,2,2.0
13,"[ 1336.46691895   378.76187134   776.99163818  2364.90356445  1466.58837891
   775.24200439  1108.05163574   505.67605591  1395.53161621   292.7644043 ]",23.4440574646,2,2.0
14,"[  378.76187134   776.99163818  2364.90356445  1466.58837891   775.24200439
  1108.05163574   505.67605591  1395.53161621   292.7644043    186.78837585]",23.260433197,2,2.0
15,"[  776.99163818  2364.90356445  1466.58837891   775.24200439  1108.05163574
   505.67605591  1395.53161621   292.7644043    186.78837585   403.42922974]",23.0749549866,2,2.0
16,"[ 2364.90356445  1466.58837891   775.24200439  1108.05163574   505.67605591
  1395.53161621   292.7644043    186.78837585   403.42922974   527.28790283]",22.887594223,2,2.0
17,"[ 1466.58837891   775.24200439  1108.05163574   505.67605591  1395.53161621
   292.7644043    186.78837585   403.42922974   527.28790283   334.67596436]",22.6984615326,2,2.0
18,"[  775.24200439  1108.05163574   505.67605591  1395.53161621   292.7644043
   186.78837585   403.42922974   527.28790283   334.67596436   926.88342285]",22.5077648163,2,2.0
19,"[ 1108.05163574   505.67605591  1395.53161621   292.7644043    186.78837585
   403.42922974   527.28790283   334.67596436   926.88342285  -188.98951721]",22.1222305298,2,2.0
20,"[  505.67605591  1395.53161621   292.7644043    186.78837585   403.42922974
   527.28790283   334.67596436   926.88342285  -188.98951721  1055.85949707]",21.9274654388,2,2.0
21,"[ 1395.53161621   292.7644043    186.78837585   403.42922974   527.28790283
   334.67596436   926.88342285  -188.98951721  1055.85949707   654.46038818]",21.7318077087,2,2.0
22,"[  292.7644043    186.78837585   403.42922974   527.28790283   334.67596436
   926.88342285  -188.98951721  1055.85949707   654.46038818  1622.10827637]",21.5350322723,2,2.0
23,"[  186.78837585   403.42922974   527.28790283   334.67596436   926.88342285
  -188.98951721  1055.85949707   654.46038818  1622.10827637   696.36340332]",21.3374443054,2,2.0
24,"[  403.42922974   527.28790283   334.67596436   926.88342285  -188.98951721
  1055.85949707   654.46038818  1622.10827637   696.36340332   911.41650391]",21.1386260986,2,2.0
25,"[  527.28790283   334.67596436   926.88342285  -188.98951721  1055.85949707
   654.46038818  1622.10827637   696.36340332   911.41650391  1264.06530762]",20.7377567291,2,2.0
26,"[  334.67596436   926.88342285  -188.98951721  1055.85949707   654.46038818
  1622.10827637   696.36340332   911.41650391  1264.06530762   894.6149292 ]",20.536157608,2,2.0
27,"[  926.88342285  -188.98951721  1055.85949707   654.46038818  1622.10827637
   696.36340332   911.41650391  1264.06530762   894.6149292    625.65130615]",20.3343315125,2,2.0
28,"[ -188.98951721  1055.85949707   654.46038818  1622.10827637   696.36340332
   911.41650391  1264.06530762   894.6149292    625.65130615   872.6161499 ]",20.1326007843,2,2.0
29,"[ 1055.85949707   654.46038818  1622.10827637   696.36340332   911.41650391
  1264.06530762   894.6149292    625.65130615   872.6161499    831.84521484]",19.9305305481,2,2.0
