,activation,dist,id,vel
0,"[ -50.46098328  -38.72932816  -22.66041183 -115.49838257 -109.30908203
  -58.8996048    42.88475037  -38.84304047  -27.72315979  -62.92347336]",24.9469108582,2,2.0
1,"[  -38.72932816   -22.66041183  -115.49838257  -109.30908203   -58.8996048
    42.88475037   -38.84304047   -27.72315979   -62.92347336 -1782.25402832]",24.9453754425,2,2.0
2,"[  -22.66041183  -115.49838257  -109.30908203   -58.8996048     42.88475037
   -38.84304047   -27.72315979   -62.92347336 -1782.25402832  -461.6322937 ]",24.9289531708,2,2.0
3,"[ -115.49838257  -109.30908203   -58.8996048     42.88475037   -38.84304047
   -27.72315979   -62.92347336 -1782.25402832  -461.6322937   1315.73791504]",24.8967819214,2,2.0
4,"[ -109.30908203   -58.8996048     42.88475037   -38.84304047   -27.72315979
   -62.92347336 -1782.25402832  -461.6322937   1315.73791504  1424.86120605]",24.8346672058,2,2.0
5,"[  -58.8996048     42.88475037   -38.84304047   -27.72315979   -62.92347336
 -1782.25402832  -461.6322937   1315.73791504  1424.86120605  1964.19335938]",24.7391815186,2,2.0
6,"[   42.88475037   -38.84304047   -27.72315979   -62.92347336 -1782.25402832
  -461.6322937   1315.73791504  1424.86120605  1964.19335938   697.0489502 ]",24.6125679016,2,2.0
7,"[  -38.84304047   -27.72315979   -62.92347336 -1782.25402832  -461.6322937
  1315.73791504  1424.86120605  1964.19335938   697.0489502   1734.7310791 ]",24.4678173065,2,2.0
8,"[  -27.72315979   -62.92347336 -1782.25402832  -461.6322937   1315.73791504
  1424.86120605  1964.19335938   697.0489502   1734.7310791   1112.22888184]",24.3086166382,2,2.0
9,"[  -62.92347336 -1782.25402832  -461.6322937   1315.73791504  1424.86120605
  1964.19335938   697.0489502   1734.7310791   1112.22888184  1499.71472168]",23.968996048,2,2.0
10,"[-1782.25402832  -461.6322937   1315.73791504  1424.86120605  1964.19335938
   697.0489502   1734.7310791   1112.22888184  1499.71472168   727.02661133]",23.7916545868,2,2.0
11,"[ -461.6322937   1315.73791504  1424.86120605  1964.19335938   697.0489502
  1734.7310791   1112.22888184  1499.71472168   727.02661133   316.42312622]",23.6096496582,2,2.0
12,"[ 1315.73791504  1424.86120605  1964.19335938   697.0489502   1734.7310791
  1112.22888184  1499.71472168   727.02661133   316.42312622   296.04898071]",23.4245357513,2,2.0
13,"[ 1424.86120605  1964.19335938   697.0489502   1734.7310791   1112.22888184
  1499.71472168   727.02661133   316.42312622   296.04898071   237.72383118]",23.2352409363,2,2.0
