time,optic_flow_cn45,decision_c45,decision_cn45,activation,activation_c45,optic_flow,activation_cn45,distance,optic_flow_c45,decision,velocity
0.0,,,,,,,,,,,
8.651e+11,,,,,,,,25.2875150692,,,-0.0447038859129
8.652e+11,,,,-0.144130106109,1.96094971079,"[[[ -6.63172557e-07   1.49210678e-06]
  [ -9.84057237e-07   2.07305675e-06]
  [ -1.00121008e-06   2.76967012e-06]
  ..., 
  [  2.67968773e-07   3.17521682e-07]
  [  2.84164372e-07   2.03830325e-07]
  [  1.46525821e-07   1.20087009e-07]]

 [[ -6.95385893e-07   1.77392326e-06]
  [ -9.36576726e-07   2.33200126e-06]
  [ -7.84977829e-07   3.13105943e-06]
  ..., 
  [  1.75895281e-07   5.65110554e-07]
  [  2.70898653e-07   2.95911207e-07]
  [  1.65633637e-07   1.30673584e-07]]

 [[ -7.83850737e-07   2.36534970e-06]
  [ -1.08825679e-06   3.03378170e-06]
  [ -8.81137282e-07   4.10423308e-06]
  ..., 
  [ -2.78296426e-07   8.39494191e-07]
  [  2.94470883e-08   3.54276722e-07]
  [  1.40796189e-07   1.02519543e-07]]

 ..., 
 [[  3.13604996e-02  -6.64644718e-01]
  [  4.77127060e-02  -1.51605642e+00]
  [  7.51781464e-02  -2.47914171e+00]
  ..., 
  [  2.67668068e-01  -1.17889869e+00]
  [  2.02236533e-01  -8.20793569e-01]
  [  8.07966292e-02  -5.54982603e-01]]

 [[  2.92565282e-02  -5.68550646e-01]
  [  4.22292054e-02  -1.34398806e+00]
  [  7.06585795e-02  -2.26981688e+00]
  ..., 
  [  1.81807667e-01  -6.34436369e-01]
  [  1.42721653e-01  -4.19704676e-01]
  [  7.32513517e-02  -2.97808170e-01]]

 [[  2.69804373e-02  -4.68914002e-01]
  [  3.64056006e-02  -1.11592925e+00]
  [  6.25156164e-02  -1.79952240e+00]
  ..., 
  [  8.19552466e-02  -2.43959382e-01]
  [  4.27746661e-02  -1.42174110e-01]
  [  1.98845342e-02  -1.02202937e-01]]]",1.96094971079,25.2800165984,,0.0,0.139675810933
8.653e+11,,,,,,,,25.2546946719,,,0.289592176676
8.654e+11,,,,-0.0739985740848,2.00717500302,"[[[  7.14200837e-07  -1.26707448e-07]
  [  1.30909984e-06  -1.05390349e-07]
  [  1.77408674e-06   1.70558412e-09]
  ..., 
  [  6.62983553e-08   1.81590622e-07]
  [  1.43404847e-07   1.44271766e-07]
  [  1.82742511e-07   7.73060478e-08]]

 [[  8.65638071e-07  -3.08817505e-07]
  [  1.53965584e-06  -3.81087091e-07]
  [  2.12104419e-06  -2.91815809e-07]
  ..., 
  [ -1.31117432e-07   1.87906792e-07]
  [ -1.79822948e-08   1.49066821e-07]
  [  8.21296169e-08   6.95059157e-08]]

 [[  8.76697470e-07  -4.90043135e-07]
  [  1.50186656e-06  -6.41786471e-07]
  [  2.11970428e-06  -6.24792335e-07]
  ..., 
  [ -3.52772304e-07   1.98445107e-07]
  [ -2.05795430e-07   1.69776797e-07]
  [ -3.70324216e-08   7.01039298e-08]]

 ..., 
 [[  2.31269315e-01  -3.92751783e-01]
  [  3.25744778e-01  -5.45422137e-01]
  [  4.60173637e-01  -7.66668677e-01]
  ..., 
  [ -1.10322881e+00  -5.23905218e-01]
  [ -8.06480289e-01  -3.31179231e-01]
  [ -5.50937235e-01  -2.00937837e-01]]

 [[  2.17331544e-01  -3.45916659e-01]
  [  2.60216445e-01  -4.28828686e-01]
  [  2.87762433e-01  -5.22240877e-01]
  ..., 
  [ -7.31062472e-01  -3.63795340e-01]
  [ -4.81212735e-01  -2.08022133e-01]
  [ -3.04653406e-01  -1.15546159e-01]]

 [[  1.22427315e-01  -1.99821293e-01]
  [  1.37956828e-01  -2.62621820e-01]
  [  1.52381182e-01  -3.37852001e-01]
  ..., 
  [ -4.17350709e-01  -1.71638295e-01]
  [ -2.17194408e-01  -5.97465336e-02]
  [ -1.07437290e-01  -1.37192002e-02]]]",2.00717500302,25.204485485,,0.0,0.7190721035
8.655e+11,,,,0.552624489488,1.9708967212,"[[[ -2.69046109e-06  -4.33369216e-08]
  [ -3.79239646e-06  -9.80514798e-08]
  [ -5.37668438e-06  -1.21368515e-07]
  ..., 
  [  1.33563199e-05   7.97034591e-06]
  [  8.92725348e-06   5.74962360e-06]
  [  6.04545585e-06   3.78271329e-06]]

 [[ -3.66820859e-06   3.32390364e-08]
  [ -5.07863842e-06   6.70065470e-09]
  [ -6.87403099e-06   1.03459463e-08]
  ..., 
  [  2.33646169e-05   1.07798705e-05]
  [  1.21511393e-05   7.27977340e-06]
  [  6.32045385e-06   4.50272910e-06]]

 [[ -4.86074032e-06   1.45134806e-07]
  [ -6.48857531e-06   1.47228718e-07]
  [ -8.54941027e-06   1.04116545e-07]
  ..., 
  [  4.20602846e-05   3.90417517e-06]
  [  2.10067556e-05   2.45511933e-06]
  [  8.16553074e-06   1.59445517e-06]]

 ..., 
 [[ -1.76723704e-01  -3.04373242e-02]
  [ -2.70149618e-01  -3.03868465e-02]
  [ -3.29897106e-01  -4.60681086e-03]
  ..., 
  [  7.19231248e-01   9.55037847e-02]
  [  7.35855699e-01   9.99266580e-02]
  [  3.77065986e-01   7.75339007e-02]]

 [[ -9.69887823e-02  -4.14380394e-02]
  [ -1.48726568e-01  -4.89667952e-02]
  [ -1.84781492e-01  -3.71692963e-02]
  ..., 
  [  5.74059010e-01   9.69373360e-02]
  [  5.84630609e-01   9.70430672e-02]
  [  2.81890213e-01   6.66546226e-02]]

 [[ -5.71208186e-02  -2.76449192e-02]
  [ -7.85490870e-02  -3.65735367e-02]
  [ -6.27531856e-02  -4.20798846e-02]
  ..., 
  [  5.51453471e-01   8.83900821e-02]
  [  5.41511655e-01   7.83511326e-02]
  [  2.34187022e-01   4.57283668e-02]]]",1.9708967212,25.1003217244,,0.0,1.22907412052
8.656e+11,,,,,,,,24.9534869982,,,1.62220847607
8.657e+11,,,,0.51029602909,0.13414030649,"[[[ -2.50961193e-07   1.52669500e-07]
  [ -1.26007720e-08   3.04221174e-07]
  [  1.98831856e-07   4.47442773e-07]
  ..., 
  [  1.27875649e-06   8.14171131e-09]
  [  9.93068397e-07   2.25139041e-09]
  [  7.04167292e-07  -1.12138432e-09]]

 [[ -2.69747176e-07   1.80495007e-07]
  [ -4.16037294e-09   3.45579110e-07]
  [  2.49557985e-07   4.92318236e-07]
  ..., 
  [  1.27420401e-06   2.00884628e-07]
  [  9.62875447e-07   8.05308815e-08]
  [  6.20339335e-07  -6.34283903e-10]]

 [[ -2.17752969e-07   2.67035119e-07]
  [  3.65014756e-08   4.64182563e-07]
  [  2.59798441e-07   6.43973067e-07]
  ..., 
  [  5.89964770e-07   3.26547109e-07]
  [  3.48043983e-07   1.50516257e-07]
  [  2.53991516e-07   1.57533790e-08]]

 ..., 
 [[  1.56566948e-01   1.17319238e+00]
  [  3.54983687e-01   1.98045015e+00]
  [  5.33301711e-01   2.88126564e+00]
  ..., 
  [  1.20775104e+00   1.92025578e+00]
  [  9.37775791e-01   1.38043654e+00]
  [  3.69263321e-01   7.35269904e-01]]

 [[  1.05140224e-01   7.25173295e-01]
  [  2.84311384e-01   1.42206824e+00]
  [  4.70080018e-01   2.30418563e+00]
  ..., 
  [  8.87505054e-01   1.41206908e+00]
  [  7.29577005e-01   1.00105250e+00]
  [  2.96655208e-01   5.02633989e-01]]

 [[  9.40547734e-02   4.96625483e-01]
  [  2.72740066e-01   1.11494029e+00]
  [  4.59308356e-01   1.95745921e+00]
  ..., 
  [  6.69786572e-01   1.14889610e+00]
  [  5.56212485e-01   7.69593179e-01]
  [  2.52594084e-01   3.62992674e-01]]]",0.13414030649,24.7700223823,,0.0,1.93280625343
8.658e+11,,,,,,,,24.5633058136,,,2.1166203022
8.659e+11,,,,-0.244329112638,0.0176706110659,"[[[ -5.14208942e-08   4.76515076e-08]
  [ -2.43330248e-07   7.49778906e-08]
  [ -3.74975514e-07   1.35107939e-07]
  ..., 
  [  4.66114159e-07   4.59902111e-07]
  [  1.82955773e-07   3.33047382e-07]
  [ -7.04120140e-08   2.20808630e-07]]

 [[ -1.54063642e-07   1.84605241e-07]
  [ -3.96323145e-07   2.42810131e-07]
  [ -5.82486166e-07   4.38670156e-07]
  ..., 
  [  4.91548406e-07   5.34503897e-07]
  [  2.53727734e-07   3.70150730e-07]
  [ -6.22316243e-09   2.52249805e-07]]

 [[ -2.09517609e-07   4.06584093e-07]
  [ -5.16284558e-07   5.24657537e-07]
  [ -7.66264520e-07   9.88235115e-07]
  ..., 
  [  4.73978645e-07   6.18853733e-07]
  [  2.87206774e-07   3.90554590e-07]
  [ -2.30787283e-08   2.33161060e-07]]

 ..., 
 [[ -5.71982980e-01  -1.67698145e+00]
  [ -7.21154034e-01  -2.65860415e+00]
  [ -7.26704955e-01  -3.44315457e+00]
  ..., 
  [  5.16670823e-01  -8.96675587e-01]
  [  4.03007090e-01  -7.04999089e-01]
  [  2.63788164e-01  -4.85918194e-01]]

 [[ -5.44524014e-01  -1.48726141e+00]
  [ -6.96666300e-01  -2.41880918e+00]
  [ -7.07611620e-01  -3.21394777e+00]
  ..., 
  [  3.76816779e-01  -6.62047088e-01]
  [  2.94775665e-01  -5.03760338e-01]
  [  1.77368522e-01  -3.16837043e-01]]

 [[ -3.26853812e-01  -1.09174931e+00]
  [ -4.67048705e-01  -1.91356015e+00]
  [ -5.42811215e-01  -2.78842998e+00]
  ..., 
  [  2.55076647e-01  -4.47794408e-01]
  [  1.91397578e-01  -3.21260154e-01]
  [  1.15309000e-01  -2.05221221e-01]]]",0.0176706110659,24.341441058,,0.0,2.24093818665
